毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
20.69%,5.08亿,-1.029,-2.53亿,9.55亿,-5.391元,-,http://quote.eastmoney.com/sz002604.html,-317.98%,-0.423,114.57%,6.00亿,002604,*ST龙力,53.32%,11.27亿,-1.83,-37.52%,6.76亿,2011-07-28
44.89%,2.67亿,4.502,7684万,26.82亿,1.530元,24.52,http://quote.eastmoney.com/sz002605.html,49.70%,0.307,36.24%,3.98亿,002605,姚记扑克,4.73%,39.90亿,2.23,22.14%,5.32亿,2011-08-05
22.62%,4.04亿,2.149,-676.5万,29.32亿,0.768元,-,http://quote.eastmoney.com/sz002606.html,-111.36%,-0.046,34.30%,4.07亿,002606,大连电瓷,-0.76%,29.58亿,3.38,-1.81%,4.40亿,2011-08-05
6.95%,8.20亿,0.429,4037万,99.67亿,0.007元,48.75,http://quote.eastmoney.com/sz002607.html,-27.22%,0.187,55.96%,61.67亿,002607,中公教育,2.10%,749.3亿,28.32,0.87%,43.67亿,2011-08-10
12.40%,5.39亿,6.411,15.83亿,49.96亿,-0.319元,10.00,http://quote.eastmoney.com/sz002608.html,11.88%,0.695,42.71%,37.78亿,002608,江苏国信,7.87%,350.2亿,1.45,12.93%,157.3亿,2011-08-10
41.19%,3.93亿,3.383,4971万,34.74亿,0.465元,46.72,http://quote.eastmoney.com/sz002609.html,-59.21%,0.142,16.39%,6.59亿,002609,捷顺科技,2.20%,58.33亿,2.62,10.15%,5.04亿,2011-08-15
19.31%,42.23亿,1.305,1.34亿,106.8亿,0.112元,69.56,http://quote.eastmoney.com/sz002610.html,-13.36%,0.027,65.12%,44.90亿,002610,爱康科技,2.34%,113.6亿,1.94,3.88%,36.71亿,2011-08-15
22.10%,11.11亿,2.423,3.46亿,49.77亿,0.600元,-,http://quote.eastmoney.com/sz002611.html,69.09%,-1.863,32.30%,18.39亿,002611,东方精工,4.41%,82.37亿,1.85,9.69%,36.06亿,2011-08-30
56.64%,2.03亿,6.984,1.85亿,20.96亿,1.943元,19.65,http://quote.eastmoney.com/sz002612.html,80.58%,0.523,46.20%,4.00亿,002612,朗姿股份,6.69%,41.36亿,1.49,7.68%,19.96亿,2011-08-30
23.33%,6.30亿,1.584,7796万,22.10亿,0.317元,65.13,http://quote.eastmoney.com/sz002613.html,407.56%,0.040,25.03%,9.37亿,002613,北玻股份,5.26%,32.89亿,2.22,9.62%,10.16亿,2011-08-30
36.16%,3.33亿,5.801,3.09亿,61.62亿,2.498元,17.31,http://quote.eastmoney.com/sz002614.html,47.04%,0.801,44.24%,5.61亿,002614,奥佳华,10.20%,103.8亿,3.19,8.32%,37.78亿,2011-09-09
30.19%,2.30亿,2.014,8194万,14.80亿,0.714元,18.77,http://quote.eastmoney.com/sz002615.html,-22.80%,0.257,53.98%,4.10亿,002615,哈尔斯,10.03%,26.43亿,3.20,5.83%,13.30亿,2011-09-09
17.43%,10.47亿,1.773,1.63亿,50.87亿,0.604元,-,http://quote.eastmoney.com/sz002617.html,-30.29%,-0.539,58.27%,11.02亿,002617,露笑科技,6.18%,53.57亿,2.74,6.31%,25.79亿,2011-09-20
45.05%,5.48亿,3.168,2513万,94.52亿,0.760元,225.52,http://quote.eastmoney.com/sz002618.html,49.82%,0.057,29.13%,5.48亿,002618,丹邦科技,1.47%,94.52亿,5.45,10.06%,2.50亿,2011-09-20
79.69%,13.97亿,3.530,3.50亿,63.69亿,0.643元,8.60,http://quote.eastmoney.com/sz002619.html,48.59%,0.398,11.67%,18.45亿,002619,艾格拉斯,5.87%,84.13亿,1.29,63.89%,5.48亿,2011-09-29
13.04%,3.04亿,6.039,1.23亿,21.40亿,1.527元,12.87,http://quote.eastmoney.com/sz002620.html,22.70%,0.411,50.03%,3.63亿,002620,瑞和股份,5.77%,25.56亿,1.17,5.49%,25.96亿,2011-09-29
44.31%,2.71亿,3.457,1339万,62.25亿,1.094元,196.02,http://quote.eastmoney.com/sz002621.html,-49.37%,0.088,15.07%,3.48亿,002621,三垒股份,1.15%,79.95亿,6.65,8.42%,1.59亿,2011-09-29
44.87%,8.40亿,1.558,1956万,40.23亿,0.457元,42.83,http://quote.eastmoney.com/sz002622.html,-37.54%,0.084,29.64%,8.40亿,002622,融钰集团,1.57%,40.24亿,3.07,14.96%,2.86亿,2011-10-18
