毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
37.31%,8323万,11.70,2.03亿,24.22亿,4.008元,12.80,http://quote.eastmoney.com/sh603801.html,31.51%,1.706,29.17%,1.60亿,603801,志邦家居,11.64%,46.56亿,2.49,11.73%,17.34亿,2017-06-30
41.59%,2.20亿,5.784,8044万,30.79亿,2.762元,55.00,http://quote.eastmoney.com/sh603803.html,-37.28%,0.191,31.43%,4.21亿,603803,瑞斯康达,3.20%,58.99亿,2.42,4.68%,17.06亿,2017-04-20
69.28%,3.30亿,7.050,2.68亿,57.76亿,2.742元,16.50,http://quote.eastmoney.com/sh603808.html,32.65%,0.796,25.65%,3.37亿,603808,歌力思,12.01%,59.01亿,2.48,18.52%,17.36亿,2015-04-22
34.62%,8219万,10.03,1.19亿,13.85亿,5.297元,15.91,http://quote.eastmoney.com/sh603809.html,5.43%,0.794,28.56%,1.49亿,603809,豪能股份,7.68%,25.16亿,1.68,18.89%,6.79亿,2017-11-28
25.76%,2000万,13.29,9497万,8.32亿,3.770元,26.29,http://quote.eastmoney.com/sh603810.html,49.71%,1.187,32.39%,8000万,603810,丰山集团,16.50%,33.29亿,3.13,9.40%,10.11亿,2018-09-17
62.40%,8026万,5.326,7118万,14.66亿,1.098元,22.95,http://quote.eastmoney.com/sh603811.html,56.03%,0.597,15.89%,1.19亿,603811,诚意药业,11.57%,21.78亿,3.43,17.80%,4.00亿,2017-03-15
14.45%,4681万,6.837,4171万,9.51亿,2.768元,32.71,http://quote.eastmoney.com/sh603813.html,9.90%,0.466,17.87%,8955万,603813,原尚股份,7.06%,18.19亿,2.97,6.73%,6.14亿,2017-09-18
35.72%,8910万,10.01,7.86亿,49.31亿,3.836元,22.73,http://quote.eastmoney.com/sh603816.html,26.70%,1.826,49.73%,4.30亿,603816,顾家家居,18.30%,238.1亿,5.53,12.75%,63.93亿,2016-10-14
49.27%,1.80亿,3.296,7853万,13.75亿,0.845元,32.83,http://quote.eastmoney.com/sh603817.html,0.91%,0.175,44.14%,4.50亿,603817,海峡环保,5.41%,34.38亿,2.32,24.65%,3.18亿,2017-02-20
40.17%,4.84亿,3.360,9505万,39.55亿,1.500元,31.67,http://quote.eastmoney.com/sh603818.html,-45.40%,0.194,71.98%,4.91亿,603818,曲美家居,5.80%,40.14亿,2.43,5.90%,16.90亿,2015-04-22
13.48%,5610万,6.323,3294万,9.82亿,1.374元,48.13,http://quote.eastmoney.com/sh603819.html,28.17%,0.273,36.49%,1.21亿,603819,神力股份,4.37%,21.14亿,2.77,4.86%,6.78亿,2016-11-25
24.46%,7034万,6.135,1.51亿,13.46亿,2.918元,21.38,http://quote.eastmoney.com/sh603823.html,74.70%,0.672,30.66%,2.25亿,603823,百合花,11.38%,43.06亿,3.12,12.73%,13.56亿,2016-12-20
11.13%,9239万,5.396,7052万,15.38亿,1.905元,40.75,http://quote.eastmoney.com/sh603825.html,90.73%,0.307,77.05%,2.30亿,603825,华扬联众,5.57%,38.31亿,3.09,0.83%,74.98亿,2017-08-02
16.98%,4.21亿,2.613,6656万,45.19亿,1.025元,51.90,http://quote.eastmoney.com/sh603828.html,69.77%,0.155,69.84%,4.29亿,603828,柯利达,6.50%,46.06亿,4.11,5.22%,13.67亿,2015-02-26
19.73%,7240万,3.922,3361万,8.64亿,0.698元,42.63,http://quote.eastmoney.com/sh603829.html,-16.33%,0.210,29.49%,1.60亿,603829,洛凯股份,5.42%,19.10亿,3.04,8.63%,3.92亿,2017-10-17
37.88%,9211万,17.10,12.00亿,93.95亿,8.917元,26.78,http://quote.eastmoney.com/sh603833.html,27.07%,2.856,32.26%,4.20亿,603833,欧派家居,17.58%,428.6亿,5.96,14.64%,81.97亿,2017-03-28
30.45%,2.67亿,2.735,5331万,26.08亿,1.098元,36.69,http://quote.eastmoney.com/sh603838.html,49.77%,0.200,13.93%,2.67亿,603838,四通股份,7.59%,26.08亿,3.58,14.98%,3.56亿,2015-07-01
67.62%,1.06亿,6.711,2.47亿,12.69亿,2.953元,14.77,http://quote.eastmoney.com/sh603839.html,20.69%,0.611,16.46%,4.04亿,603839,安正时尚,9.38%,48.64亿,1.79,21.22%,11.62亿,2017-02-14
10.41%,1.93亿,3.310,5058万,16.80亿,1.047元,51.66,http://quote.eastmoney.com/sh603843.html,145.21%,0.127,71.12%,4.00亿,603843,正平股份,3.88%,34.84亿,2.63,3.74%,16.95亿,2016-09-05
41.47%,7111万,3.006,1.86亿,12.56亿,1.074元,28.52,http://quote.eastmoney.com/sh603848.html,35.10%,0.464,14.72%,4.01亿,603848,好太太,16.24%,70.82亿,5.87,20.64%,9.02亿,2017-12-01
53.90%,2.02亿,4.207,1.03亿,18.94亿,0.916元,22.67,http://quote.eastmoney.com/sh603855.html,61.40%,0.311,39.96%,3.31亿,603855,华荣股份,7.13%,31.12亿,2.23,9.57%,10.73亿,2017-05-24
23.22%,9143万,6.046,1.25亿,11.78亿,2.168元,16.11,http://quote.eastmoney.com/sh603856.html,22.27%,0.600,19.49%,2.56亿,603856,东宏股份,8.47%,33.03亿,2.13,10.52%,11.89亿,2017-11-06
82.82%,4.26亿,14.96,12.16亿,122.5亿,9.468元,15.72,http://quote.eastmoney.com/sh603858.html,7.57%,1.372,29.81%,8.86亿,603858,步长制药,9.08%,254.8亿,1.92,13.27%,92.86亿,2016-11-18
46.54%,4989万,5.963,1806万,12.84亿,2.184元,121.34,http://quote.eastmoney.com/sh603859.html,81.79%,0.159,15.26%,1.14亿,603859,能科股份,2.70%,29.22亿,4.31,9.06%,2.69亿,2016-10-21
46.15%,2418万,8.463,1460万,6.77亿,3.675元,95.94,http://quote.eastmoney.com/sh603860.html,-12.24%,0.219,13.60%,6668万,603860,中公高科,2.59%,18.67亿,3.31,12.63%,1.20亿,2017-08-02
27.62%,1.21亿,5.401,1.11亿,15.68亿,3.107元,25.32,http://quote.eastmoney.com/sh603861.html,-11.44%,0.384,50.82%,4.43亿,603861,白云电器,5.73%,57.33亿,2.40,6.70%,17.94亿,2016-03-22
39.34%,4.71亿,7.271,4.63亿,251.1亿,2.852元,29.30,http://quote.eastmoney.com/sh603866.html,29.27%,1.365,14.29%,4.71亿,603866,桃李面包,14.37%,251.1亿,7.34,13.13%,35.24亿,2015-12-22
39.60%,4360万,5.458,6.21亿,18.68亿,2.378元,22.56,http://quote.eastmoney.com/sh603868.html,3.47%,1.425,26.54%,4.36亿,603868,飞科电器,25.54%,186.7亿,7.85,22.00%,28.19亿,2016-04-18
40.53%,2.68亿,10.88,2.87亿,56.33亿,2.162元,19.13,http://quote.eastmoney.com/sh603869.html,50.25%,0.824,41.84%,3.49亿,603869,新智认知,7.54%,73.28亿,1.93,13.69%,19.99亿,2015-03-26
9.28%,2800万,13.67,2.24亿,13.22亿,4.753元,17.69,http://quote.eastmoney.com/sh603871.html,30.45%,2.001,29.68%,1.12亿,603871,嘉友国际,17.41%,52.86亿,3.45,7.32%,30.60亿,2018-02-06
8.78%,6500万,7.640,1.79亿,14.41亿,2.744元,39.98,http://quote.eastmoney.com/sh603876.html,9.60%,0.416,61.27%,4.30亿,603876,鼎胜新材,6.23%,95.33亿,2.90,2.36%,77.34亿,2018-04-18
54.35%,2.00亿,6.836,2.82亿,39.16亿,2.669元,24.94,http://quote.eastmoney.com/sh603877.html,69.72%,0.587,45.85%,4.81亿,603877,太平鸟,8.41%,93.89亿,2.86,5.61%,48.88亿,2017-01-09
19.93%,1.01亿,10.38,1.45亿,14.08亿,3.642元,14.78,http://quote.eastmoney.com/sh603878.html,55.72%,0.707,26.15%,2.04亿,603878,武进不锈,6.98%,28.50亿,1.34,9.96%,14.52亿,2016-12-19
16.69%,8100万,3.712,3411万,9.68亿,0.805元,37.84,http://quote.eastmoney.com/sh603879.html,-6.57%,0.237,10.92%,1.44亿,603879,永悦科技,6.45%,17.21亿,3.22,7.63%,4.47亿,2017-06-14
25.35%,6341万,4.383,5250万,8.69亿,1.404元,25.44,http://quote.eastmoney.com/sh603880.html,27.70%,0.404,31.87%,1.30亿,603880,南卫股份,9.41%,17.81亿,3.13,14.61%,3.50亿,2017-08-07
35.38%,1.28亿,4.536,9583万,46.97亿,1.708元,60.55,http://quote.eastmoney.com/sh603881.html,16.65%,0.455,49.89%,2.11亿,603881,数据港,10.38%,77.37亿,8.10,19.44%,4.93亿,2017-02-08
39.04%,2.80亿,3.996,1.64亿,72.65亿,1.112元,54.29,http://quote.eastmoney.com/sh603882.html,11.36%,0.359,52.34%,4.58亿,603882,金域医学,9.21%,119.0亿,6.50,5.44%,33.17亿,2017-09-08
35.56%,2.67亿,10.69,3.25亿,161.9亿,4.413元,29.83,http://quote.eastmoney.com/sh603883.html,18.33%,1.525,58.44%,2.85亿,603883,老百姓,11.18%,172.8亿,5.68,5.56%,67.72亿,2015-04-23
20.06%,17.97亿,5.381,14.34亿,231.5亿,2.299元,12.10,http://quote.eastmoney.com/sh603885.html,15.32%,0.798,50.67%,17.97亿,603885,吉祥航空,15.54%,231.5亿,2.39,13.07%,111.1亿,2015-05-27
64.69%,1.21亿,5.666,2.47亿,26.42亿,2.046元,15.87,http://quote.eastmoney.com/sh603886.html,25.55%,1.030,48.41%,2.40亿,603886,元祖股份,18.93%,52.32亿,3.85,15.15%,16.32亿,2016-12-28
18.26%,8297万,5.731,7095万,15.95亿,2.178元,29.30,http://quote.eastmoney.com/sh603887.html,32.15%,0.492,50.06%,1.44亿,603887,城地股份,8.99%,27.72亿,3.35,6.94%,10.22亿,2016-10-10
44.29%,1.76亿,5.346,1.74亿,39.16亿,1.091元,49.52,http://quote.eastmoney.com/sh603888.html,2.11%,0.336,25.42%,5.19亿,603888,新华网,6.22%,115.2亿,4.15,18.00%,9.66亿,2016-10-28
18.55%,3.94亿,5.834,1.67亿,43.07亿,1.938元,19.39,http://quote.eastmoney.com/sh603889.html,4.71%,0.423,15.91%,3.94亿,603889,新澳股份,7.35%,43.07亿,1.88,8.32%,20.13亿,2014-12-31
17.86%,9678万,7.398,9062万,14.13亿,1.913元,17.97,http://quote.eastmoney.com/sh603890.html,-22.41%,0.609,46.21%,1.92亿,603890,春秋电子,6.65%,28.00亿,1.97,7.15%,12.67亿,2017-12-12
28.89%,3277万,5.973,5120万,8.86亿,1.351元,42.82,http://quote.eastmoney.com/sh603895.html,1.59%,0.474,40.26%,1.08亿,603895,天永智能,10.93%,29.24亿,4.53,13.01%,3.93亿,2018-01-22
86.14%,6106万,6.868,6000万,23.10亿,1.789元,37.90,http://quote.eastmoney.com/sh603896.html,18.12%,0.749,14.89%,1.43亿,603896,寿仙谷,6.66%,54.24亿,5.51,18.50%,3.24亿,2017-05-10
7.75%,4460万,9.423,1.42亿,11.80亿,2.774元,19.57,http://quote.eastmoney.com/sh603897.html,14.75%,1.014,9.30%,1.78亿,603897,长城科技,11.29%,47.19亿,2.81,3.79%,37.47亿,2018-04-10
40.37%,3.10亿,7.287,3.07亿,56.22亿,3.154元,13.96,http://quote.eastmoney.com/sh603898.html,37.30%,0.975,16.53%,3.14亿,603898,好莱客,14.06%,57.08亿,2.49,20.19%,15.18亿,2015-02-17
25.46%,9.20亿,3.509,6.25亿,286.7亿,1.921元,34.42,http://quote.eastmoney.com/sh603899.html,27.31%,0.679,34.49%,9.20亿,603899,晨光文具,20.70%,286.7亿,8.88,10.30%,61.24亿,2015-01-27
55.41%,8512万,7.065,2.13亿,12.26亿,2.542元,17.24,http://quote.eastmoney.com/sh603900.html,-13.31%,0.627,13.14%,3.40亿,603900,莱绅通灵,9.11%,49.03亿,2.04,16.06%,13.25亿,2016-11-23
29.70%,1.84亿,2.956,6923万,15.03亿,0.889元,38.89,http://quote.eastmoney.com/sh603901.html,20.99%,0.158,53.44%,4.39亿,603901,永创智能,7.14%,35.90亿,2.76,5.79%,11.57亿,2015-05-29
24.66%,7414万,7.522,6419万,17.19亿,2.322元,27.99,http://quote.eastmoney.com/sh603903.html,117.35%,0.621,64.38%,1.03亿,603903,中持股份,8.59%,23.95亿,3.08,9.58%,6.91亿,2017-03-14
29.91%,9333万,4.947,5569万,9.37亿,1.476元,34.35,http://quote.eastmoney.com/sh603906.html,-21.73%,0.219,35.69%,2.54亿,603906,龙蟠科技,4.48%,25.51亿,2.03,5.72%,10.47亿,2017-04-10
26.91%,2305万,6.816,4255万,5.92亿,1.976元,30.19,http://quote.eastmoney.com/sh603908.html,-17.96%,0.638,28.67%,6669万,603908,牧高笛,9.42%,17.13亿,3.77,9.25%,4.60亿,2017-03-07
41.15%,2500万,6.465,3483万,6.68亿,3.068元,58.96,http://quote.eastmoney.com/sh603909.html,-25.32%,0.340,43.33%,1.03亿,603909,合诚股份,5.37%,27.38亿,4.13,9.87%,3.48亿,2016-06-28
42.75%,1.08亿,3.182,7896万,18.33亿,0.784元,34.02,http://quote.eastmoney.com/sh603912.html,49.04%,0.375,33.19%,2.11亿,603912,佳力图,12.24%,35.82亿,5.34,20.80%,3.80亿,2017-11-01
36.49%,1.29亿,6.744,2.22亿,16.83亿,2.127元,11.24,http://quote.eastmoney.com/sh603916.html,93.20%,0.871,35.92%,3.09亿,603916,苏博特,11.37%,40.36亿,1.94,13.94%,16.00亿,2017-11-10
33.07%,8026万,5.617,6741万,10.42亿,2.428元,22.65,http://quote.eastmoney.com/sh603917.html,26.51%,0.430,26.03%,1.57亿,603917,合力科技,7.86%,20.35亿,2.31,16.50%,4.09亿,2017-12-04
32.73%,1.77亿,3.008,2690万,26.51亿,1.114元,75.19,http://quote.eastmoney.com/sh603918.html,333.16%,0.150,48.80%,1.80亿,603918,金桥信息,5.08%,26.96亿,4.99,5.77%,4.66亿,2015-05-28
62.54%,3.64亿,5.221,1.60亿,47.79亿,2.187元,18.48,http://quote.eastmoney.com/sh603919.html,-9.20%,0.441,30.83%,3.64亿,603919,金徽酒,8.54%,47.79亿,2.39,17.68%,9.65亿,2016-03-10
21.34%,1.28亿,5.788,1.64亿,18.31亿,1.301元,26.18,http://quote.eastmoney.com/sh603920.html,3.65%,0.409,24.16%,4.02亿,603920,世运电路,6.89%,57.38亿,2.47,10.15%,16.19亿,2017-04-26
18.38%,3200万,8.827,4810万,5.86亿,1.988元,36.52,http://quote.eastmoney.com/sh603922.html,-33.85%,0.376,33.36%,1.28亿,603922,金鸿顺,4.27%,23.42亿,2.07,5.98%,8.04亿,2017-10-23
27.98%,6509万,8.975,6404万,10.86亿,2.672元,24.13,http://quote.eastmoney.com/sh603926.html,-28.11%,0.519,30.61%,1.23亿,603926,铁流股份,5.76%,20.61亿,1.86,9.91%,6.53亿,2017-05-10
21.50%,6277万,5.962,1.08亿,9.56亿,1.942元,21.33,http://quote.eastmoney.com/sh603928.html,17.29%,0.536,19.19%,2.02亿,603928,兴业股份,9.25%,30.70亿,2.55,9.49%,11.38亿,2016-12-12
10.95%,9656万,5.059,1.41亿,18.22亿,2.599元,21.43,http://quote.eastmoney.com/sh603929.html,37.79%,0.660,41.71%,2.13亿,603929,亚翔集成,13.71%,40.26亿,3.73,7.51%,18.66亿,2016-12-30
19.16%,3594万,7.248,1.04亿,7.68亿,2.883元,22.07,http://quote.eastmoney.com/sh603933.html,-20.02%,0.726,35.78%,1.44亿,603933,睿能科技,10.40%,30.73亿,2.95,6.99%,14.84亿,2017-07-06
16.79%,1.67亿,9.869,8243万,33.05亿,2.229元,40.44,http://quote.eastmoney.com/sh603936.html,45.87%,0.366,43.37%,2.25亿,603936,博敏电子,7.22%,44.44亿,2.00,5.77%,14.29亿,2015-12-09
15.30%,7586万,6.183,8677万,10.17亿,2.336元,24.19,http://quote.eastmoney.com/sh603937.html,22.70%,0.415,23.06%,2.09亿,603937,丽岛新材,6.91%,27.99亿,2.17,8.95%,9.70亿,2017-11-02
27.17%,5079万,6.896,8714万,10.46亿,2.859元,26.62,http://quote.eastmoney.com/sh603938.html,-8.13%,0.580,7.14%,1.50亿,603938,三孚股份,8.65%,30.93亿,2.99,10.50%,8.30亿,2017-06-28
40.49%,3.63亿,10.56,3.09亿,198.1亿,2.546元,50.00,http://quote.eastmoney.com/sh603939.html,40.23%,0.819,44.70%,3.77亿,603939,益丰药房,3.17%,205.8亿,5.17,6.88%,46.66亿,2015-02-17
27.46%,7132万,9.650,5641万,12.37亿,3.346元,26.07,http://quote.eastmoney.com/sh603955.html,3.08%,0.499,55.11%,1.13亿,603955,大千生态,4.83%,19.61亿,1.80,10.32%,5.48亿,2017-03-10
53.12%,6600万,4.936,733.9万,5.96亿,1.549元,202.93,http://quote.eastmoney.com/sh603958.html,-64.93%,0.033,21.36%,2.20亿,603958,哈森股份,0.65%,19.86亿,1.83,0.58%,9.86亿,2016-06-29
40.24%,1.49亿,3.333,9058万,29.93亿,1.615元,52.17,http://quote.eastmoney.com/sh603959.html,55.43%,0.289,60.89%,3.14亿,603959,百利科技,9.04%,63.00亿,6.03,16.37%,5.53亿,2016-05-17
28.82%,5181万,3.447,4244万,16.64亿,1.184元,66.66,http://quote.eastmoney.com/sh603960.html,59.77%,0.314,40.47%,1.35亿,603960,克来机电,9.37%,43.43亿,8.89,13.38%,3.67亿,2017-03-14
80.19%,7638万,3.530,540.6万,11.67亿,0.705元,275.57,http://quote.eastmoney.com/sh603963.html,-86.15%,0.042,23.94%,1.30亿,603963,大理药业,1.17%,19.86亿,4.33,1.76%,3.07亿,2017-09-22
24.42%,9299万,4.167,4753万,9.97亿,1.379元,35.69,http://quote.eastmoney.com/sh603966.html,9.50%,0.225,35.84%,2.11亿,603966,法兰泰克,5.54%,22.62亿,2.57,9.24%,5.15亿,2017-01-25
19.00%,2.04亿,6.838,1.50亿,30.73亿,3.253元,15.39,http://quote.eastmoney.com/sh603968.html,40.81%,0.732,28.16%,2.04亿,603968,醋化股份,10.66%,30.73亿,2.20,9.99%,14.99亿,2015-05-18
16.43%,8.41亿,1.982,9224万,44.24亿,0.599元,35.97,http://quote.eastmoney.com/sh603969.html,0.52%,0.110,33.78%,8.41亿,603969,银龙股份,5.51%,44.24亿,2.65,5.56%,16.30亿,2015-02-27
11.11%,7960万,5.253,9072万,13.45亿,1.789元,22.35,http://quote.eastmoney.com/sh603970.html,25.08%,0.567,65.50%,1.60亿,603970,中农立华,10.95%,27.04亿,3.22,3.09%,29.45亿,2017-11-16
28.75%,3830万,6.424,6646万,6.76亿,1.532元,30.12,http://quote.eastmoney.com/sh603976.html,3.17%,0.440,9.12%,1.51亿,603976,正川股份,6.89%,26.69亿,2.75,14.61%,4.55亿,2017-08-22
19.68%,7612万,8.554,8202万,18.42亿,3.614元,35.40,http://quote.eastmoney.com/sh603978.html,-0.58%,0.513,21.19%,1.60亿,603978,深圳新星,6.10%,38.72亿,2.83,10.52%,7.80亿,2017-08-07
25.49%,5.83亿,6.885,2.24亿,52.33亿,2.809元,17.50,http://quote.eastmoney.com/sh603979.html,34.60%,0.385,34.68%,5.83亿,603979,金诚信,5.63%,52.33亿,1.30,10.01%,22.19亿,2015-06-30
39.25%,2.46亿,8.379,5.50亿,34.73亿,4.326元,9.64,http://quote.eastmoney.com/sh603980.html,81.26%,1.100,14.34%,5.00亿,603980,吉华集团,13.04%,70.70亿,1.69,27.43%,21.79亿,2017-06-15
25.68%,6656万,10.29,9342万,17.33亿,3.621元,21.73,http://quote.eastmoney.com/sh603985.html,46.82%,0.898,22.77%,1.04亿,603985,恒润股份,9.02%,27.07亿,2.53,11.85%,7.88亿,2017-05-05
38.41%,2.07亿,6.713,3.67亿,224.2亿,3.707元,62.83,http://quote.eastmoney.com/sh603986.html,8.21%,1.291,32.58%,2.85亿,603986,兆易创新,19.99%,307.7亿,16.10,21.30%,17.21亿,2016-08-18
34.15%,2.61亿,2.936,1.13亿,19.28亿,0.997元,21.60,http://quote.eastmoney.com/sh603987.html,25.32%,0.257,19.05%,4.42亿,603987,康德莱,8.91%,32.63亿,2.52,13.06%,10.70亿,2016-11-21
33.75%,2.35亿,2.817,3884万,29.75亿,0.954元,57.46,http://quote.eastmoney.com/sh603988.html,61.10%,0.165,26.24%,2.35亿,603988,中电电机,5.78%,29.75亿,4.49,12.05%,3.22亿,2014-11-04
30.60%,3.90亿,5.293,2.25亿,85.88亿,1.184元,21.24,http://quote.eastmoney.com/sh603989.html,0.39%,0.777,36.68%,3.90亿,603989,艾华集团,11.53%,85.88亿,4.16,14.07%,16.05亿,2015-05-15
75.01%,6027万,5.358,1143万,29.35亿,2.223元,257.77,http://quote.eastmoney.com/sh603990.html,-60.95%,0.142,33.39%,8063万,603990,麦迪科技,2.64%,39.27亿,9.09,7.06%,1.60亿,2016-12-08
40.24%,176.7亿,1.911,41.37亿,856.8亿,0.388元,18.99,http://quote.eastmoney.com/sh603993.html,155.92%,0.192,52.22%,216.0亿,603993,洛阳钼业,10.35%,1048亿,2.54,23.29%,200.8亿,2012-10-09
10.07%,3.00亿,5.233,8930万,33.89亿,2.110元,28.46,http://quote.eastmoney.com/sh603996.html,27.56%,0.298,68.08%,3.00亿,603996,中新科技,5.80%,33.89亿,2.16,1.57%,57.00亿,2015-12-22
32.81%,6.30亿,2.848,2.33亿,58.65亿,1.287元,19.20,http://quote.eastmoney.com/sh603997.html,6.68%,0.364,21.99%,6.39亿,603997,继峰股份,13.03%,59.53亿,3.27,15.67%,15.63亿,2015-03-02
74.07%,4.25亿,2.441,6093万,28.06亿,1.023元,35.47,http://quote.eastmoney.com/sh603998.html,-19.23%,0.140,34.45%,4.37亿,603998,方盛制药,6.00%,28.82亿,2.70,8.33%,7.98亿,2014-12-05
20.66%,5.76亿,2.948,3098万,36.35亿,1.282元,87.98,http://quote.eastmoney.com/sh603999.html,-41.80%,0.054,14.48%,5.76亿,603999,读者传媒,1.82%,36.35亿,2.14,6.27%,4.87亿,2015-12-10
34.76%,97.15亿,12.68,139.8亿,2667亿,7.593元,16.25,http://quote.eastmoney.com/sz000002.html,26.09%,1.267,84.93%,110.4亿,000002,万科A,10.04%,3030亿,2.16,12.38%,1760亿,1991-01-29
82.43%,8301万,1.513,-259.2万,15.56亿,0.370元,-,http://quote.eastmoney.com/sz000004.html,52.31%,-0.031,40.91%,8398万,000004,国农科技,-2.02%,15.74亿,12.38,-2.85%,2.56亿,1991-01-14
34.98%,10.58亿,1.256,653.2万,40.41亿,-0.415元,464.29,http://quote.eastmoney.com/sz000005.html,140.29%,0.006,51.39%,10.59亿,000005,世纪星源,0.49%,40.44亿,3.04,2.24%,3.83亿,1990-12-10
38.98%,13.48亿,4.599,5.03亿,81.84亿,1.948元,6.94,http://quote.eastmoney.com/sz000006.html,48.39%,0.656,51.79%,13.50亿,000006,深振业A,8.77%,81.94亿,1.32,34.21%,15.94亿,1992-04-27
70.70%,3.09亿,1.092,-866.1万,22.28亿,-0.387元,-,http://quote.eastmoney.com/sz000007.html,-183.86%,-0.025,10.25%,3.46亿,000007,全新好,-2.26%,24.98亿,6.60,-26.98%,3226万,1992-04-13
48.57%,25.58亿,2.554,1.24亿,117.7亿,0.533元,77.64,http://quote.eastmoney.com/sz000008.html,1.34%,0.044,27.40%,27.81亿,000008,神州高铁,1.72%,127.9亿,1.80,10.25%,12.90亿,1992-05-07
35.34%,21.20亿,2.367,9861万,135.9亿,0.866元,104.79,http://quote.eastmoney.com/sz000009.html,-45.36%,0.046,65.36%,21.49亿,000009,中国宝安,1.95%,137.8亿,2.71,3.90%,66.49亿,1991-06-25
7.95%,5.22亿,1.176,-1.92亿,20.42亿,-1.662元,-,http://quote.eastmoney.com/sz000010.html,-1613.16%,-0.234,70.45%,8.20亿,000010,美丽生态,-18.12%,32.06亿,3.32,-100.78%,1.87亿,1995-10-27
24.17%,1.76亿,4.841,1.44亿,18.55亿,3.149元,32.70,http://quote.eastmoney.com/sz000011.html,-74.97%,0.242,40.91%,5.96亿,000011,深物业A,4.92%,62.88亿,2.18,12.03%,11.99亿,1992-03-30
24.03%,17.75亿,3.128,4.69亿,105.1亿,1.573元,27.10,http://quote.eastmoney.com/sz000012.html,-34.02%,0.164,53.16%,28.63亿,000012,南玻A,5.39%,169.5亿,1.89,5.96%,81.51亿,1992-02-28
26.48%,2.02亿,3.674,226.5万,22.27亿,1.538元,737.48,http://quote.eastmoney.com/sz000014.html,-49.07%,0.011,56.20%,2.02亿,000014,沙河股份,0.31%,22.27亿,3.00,2.22%,1.86亿,1992-06-02
5.71%,15.97亿,3.329,4.30亿,74.72亿,1.786元,19.66,http://quote.eastmoney.com/sz000016.html,233.60%,0.179,69.99%,24.08亿,000016,深康佳A,5.24%,112.7亿,1.41,1.95%,297.6亿,1992-03-27
10.16%,3.03亿,0.031,108.5万,16.18亿,-2.167元,2035.77,http://quote.eastmoney.com/sz000017.html,179.55%,0.002,71.35%,5.51亿,000017,深中华A,6.60%,29.44亿,173.36,1.22%,1.01亿,1992-03-31
12.77%,9.96亿,1.228,2548万,29.77亿,0.863元,149.45,http://quote.eastmoney.com/sz000018.html,-93.79%,0.015,79.99%,16.98亿,000018,神州长城,1.20%,50.78亿,2.43,1.03%,22.59亿,1992-06-16
27.06%,4.16亿,5.894,-2997万,33.98亿,0.006元,-,http://quote.eastmoney.com/sz000019.html,-13.59%,-0.026,7.68%,11.53亿,000019,深粮控股,-3.22%,94.16亿,1.39,-14.55%,2.17亿,1992-10-12
10.09%,1.81亿,1.134,49.75万,22.70亿,-0.657元,5348.81,http://quote.eastmoney.com/sz000020.html,42.80%,0.002,47.35%,2.83亿,000020,深华发A,0.16%,35.48亿,11.05,0.10%,4.90亿,1992-04-28
3.98%,14.69亿,4.201,4.41亿,124.6亿,1.770元,21.23,http://quote.eastmoney.com/sz000021.html,-6.01%,0.300,55.91%,14.71亿,000021,深科技,7.25%,124.8亿,2.02,3.63%,126.1亿,1994-02-02
9.56%,1.39亿,2.997,1063万,22.60亿,0.889元,159.41,http://quote.eastmoney.com/sz000023.html,-68.58%,0.077,77.43%,1.39亿,000023,深天地A,2.56%,22.60亿,5.43,0.82%,9.95亿,1993-04-29
22.55%,2.71亿,3.361,3584万,94.05亿,0.450元,215.99,http://quote.eastmoney.com/sz000025.html,-11.73%,0.121,32.00%,2.97亿,000025,特力A,3.65%,103.2亿,10.33,12.23%,2.91亿,1993-06-21
42.21%,3.57亿,5.801,1.63亿,31.64亿,1.911元,18.12,http://quote.eastmoney.com/sz000026.html,19.12%,0.367,29.48%,4.43亿,000026,飞亚达A,6.55%,39.29亿,1.53,6.34%,25.65亿,1993-06-03
22.13%,39.64亿,6.097,6.04亿,250.6亿,2.135元,25.72,http://quote.eastmoney.com/sz000027.html,-24.86%,0.184,69.86%,39.64亿,000027,深圳能源,2.79%,250.6亿,1.04,5.45%,123.8亿,1993-09-03
11.49%,3.08亿,25.73,9.27亿,157.6亿,14.882元,17.74,http://quote.eastmoney.com/sz000028.html,15.42%,2.165,52.02%,4.28亿,000028,国药一致,9.21%,219.2亿,1.99,3.18%,317.7亿,1993-08-09
55.83%,8.92亿,3.163,3.74亿,99.60亿,1.104元,22.66,http://quote.eastmoney.com/sz000029.html,150.03%,0.370,30.97%,10.12亿,000029,深深房A,12.41%,113.0亿,3.53,23.37%,16.00亿,1993-09-15
15.23%,17.51亿,3.404,6.61亿,87.00亿,1.817元,10.21,http://quote.eastmoney.com/sz000030.html,2.57%,0.365,38.42%,18.11亿,000030,富奥股份,11.23%,89.98亿,1.46,11.57%,56.88亿,1993-09-29
42.05%,9.56亿,5.558,9.08亿,56.90亿,1.122元,19.29,http://quote.eastmoney.com/sz000031.html,72.67%,0.231,85.74%,39.26亿,000031,中粮地产,12.96%,233.6亿,1.07,17.14%,78.71亿,1993-10-08
