序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
258,HK0391,美亚娱乐资讯,0.22,1.40,0.00,0.07,386.00万,--,0.215,0.214,0.220,0.211
259,HK0700,腾讯控股,349.80,1.39,4.80,0.32,3027.07万,28.33,345.000,348.200,354.600,346.600
260,HK3389,亨得利,0.36,1.39,0.01,0.08,373.60万,--,0.360,0.385,0.385,0.360
261,HK0001,长和,84.00,1.39,1.15,0.18,709.28万,8.99,82.850,83.550,84.250,82.700
262,HK0564,郑煤机,3.66,1.39,0.05,0.44,107.92万,8.32,3.610,3.520,3.790,3.510
263,HK0735,中国电力清洁能源,3.66,1.39,0.05,0.04,50.10万,9.02,3.610,3.610,3.690,3.600
264,HK0043,卜蜂国际,0.74,1.37,0.01,0.02,409.40万,--,0.730,0.730,0.740,0.720
265,HK0869,彩星玩具,0.74,1.37,0.01,0.01,10.80万,15.98,0.730,0.740,0.750,0.740
266,HK0848,茂业国际,0.74,1.37,0.01,0.06,322.30万,2.96,0.730,0.730,0.740,0.700
267,HK6038,信越控股,0.37,1.37,0.01,0.14,136.00万,9.25,0.365,0.360,0.375,0.355
268,HK6119,天源集团,0.75,1.35,0.01,0.05,29.70万,--,0.740,0.730,0.750,0.700
269,HK2031,澳至尊,0.38,1.35,0.01,0.01,6.00万,22.45,0.370,0.375,0.385,0.370
270,HK0122,鳄鱼恤,0.75,1.35,0.01,0.03,25.90万,5.37,0.740,0.740,0.750,0.740
271,HK0954,常茂生物,0.75,1.35,0.01,0.06,10.40万,104.26,0.740,0.740,0.750,0.740
272,HK1115,西藏水资源,3.02,1.34,0.04,0.03,77.70万,20.45,2.980,2.980,3.030,2.980
273,HK3919,金力集团,0.76,1.33,0.01,0.09,20.80万,7.44,0.750,0.770,0.770,0.770
274,HK1420,川控股,0.38,1.33,0.01,0.02,24.40万,12.04,0.375,0.360,0.380,0.360
275,HK0374,四洲集团,3.83,1.32,0.05,0.06,21.60万,4.23,3.780,3.780,3.840,3.780
276,HK0422,越南制造加工出口,0.39,1.32,0.01,0.00,8000,--,0.380,0.385,0.385,0.385
277,HK0525,广深铁路股份,3.85,1.32,0.05,0.41,582.80万,12.23,3.800,3.840,3.890,3.800
278,HK0983,瑞安建业,2.31,1.32,0.03,0.55,264.80万,--,2.280,2.320,2.330,2.300
279,HK1621,域高国际控股,0.23,1.31,0.00,0.13,134.40万,24.17,0.229,0.229,0.232,0.226
280,HK1234,中国利郎,10.08,1.31,0.13,0.15,182.00万,16.58,9.950,10.040,10.140,9.800
281,HK0087,太古股份公司B,13.98,1.30,0.18,0.10,300.04万,0.81,13.800,13.920,13.980,13.800
282,HK0878,金朝阳集团,12.44,1.30,0.16,0.02,6.55万,2.93,12.280,12.400,12.640,12.380
283,HK1830,必瘦站,2.34,1.30,0.03,0.41,449.60万,13.00,2.310,2.310,2.400,2.280
284,HK0862,远见控股,0.39,1.30,0.01,0.00,2.00万,72.22,0.385,0.390,0.390,0.390
285,HK1898,中煤能源,3.15,1.29,0.04,0.43,1772.58万,5.73,3.110,3.120,3.260,3.110
286,HK0686,熊猫绿能,0.40,1.28,0.01,0.04,430.00万,17.25,0.390,0.390,0.395,0.385
287,HK0617,百利保控股,3.20,1.27,0.04,0.00,2.48万,7.54,3.160,3.160,3.220,3.100
288,HK1296,国电科环,0.40,1.27,0.01,0.00,1000,46.34,0.395,0.400,0.400,0.400
289,HK1368,特步国际,4.86,1.25,0.06,0.28,633.95万,21.55,4.800,4.810,4.920,4.740
290,HK0389,通天酒业,0.16,1.25,0.00,0.03,53.00万,--,0.160,0.158,0.162,0.155
291,HK0108,国锐地产,0.81,1.25,0.01,0.00,--,--,0.800,0,0,0
292,HK3626,HsspIntl,1.63,1.24,0.02,0.02,3.60万,27.63,1.610,1.560,1.630,1.560
293,HK1543,中盈盛达融资担保,1.64,1.24,0.02,0.04,21.20万,13.68,1.620,1.600,1.660,1.600
294,HK1207,上置集团,0.17,1.23,0.00,0.02,415.60万,4.59,0.163,0.157,0.165,0.156
295,HK1164,中广核矿业,0.42,1.21,0.01,0.00,20.00万,53.16,0.415,0.410,0.420,0.410
296,HK6138,哈尔滨银行,1.68,1.21,0.02,0.01,31.50万,2.92,1.660,1.660,1.680,1.660
297,HK1975,新兴印刷,0.84,1.21,0.01,0.01,7.20万,46.67,0.830,0.830,0.840,0.830
298,HK1600,天伦燃气,9.35,1.19,0.11,0.08,79.55万,19.02,9.240,9.440,9.480,9.180
299,HK0211,StylandHold,0.09,1.19,0.00,0.01,53.09万,--,0.084,0.083,0.085,0.080
300,HK1681,康臣药业,6.01,1.18,0.07,0.45,392.20万,10.89,5.940,5.960,6.110,5.940
301,HK1141,民银资本,0.43,1.16,0.01,0.01,566.31万,103.57,0.430,0.440,0.440,0.430
302,HK0551,裕元集团,21.80,1.16,0.25,0.07,113.15万,11.90,21.550,22.050,22.050,21.600
303,HK0321,德永佳集团,3.52,1.15,0.04,0.03,40.80万,16.00,3.480,3.440,3.530,3.440
304,HK0485,中国华星,0.09,1.14,0.00,0.07,270.00万,--,0.088,0.080,0.090,0.076
305,HK0872,启迪国际,0.89,1.14,0.01,0.01,17.00万,--,0.880,0.850,0.890,0.850
306,HK3318,中国香精香料,2.68,1.13,0.03,0.15,119.00万,11.77,2.650,2.660,2.690,2.630
307,HK1728,正通汽车,4.47,1.13,0.05,0.29,719.00万,6.93,4.420,4.540,4.560,4.340
308,HK1281,隆基泰和智慧能源,1.80,1.12,0.02,0.09,128.20万,8.79,1.780,1.750,1.820,1.680
309,HK0399,领航医药生物科技,0.45,1.12,0.01,0.36,533.40万,--,0.445,0.445,0.450,0.435
310,HK0801,金卫医疗,0.90,1.12,0.01,0.01,42.80万,0.78,0.890,0.890,0.900,0.880
311,HK3939,万国国际矿业,1.81,1.12,0.02,0.14,101.40万,13.02,1.790,1.820,1.850,1.800
312,HK1878,南戈壁-S,0.91,1.11,0.01,0.04,11.22万,--,0.900,0.870,0.910,0.870
313,HK0910,中国三迪,0.46,1.11,0.01,0.02,76.02万,12.64,0.450,0.420,0.465,0.420
314,HK0494,利丰,2.73,1.11,0.03,0.13,1130.08万,--,2.700,2.750,2.770,2.710
315,HK0356,鼎立资本,0.09,1.10,0.00,0.01,15.00万,21.91,0.091,0.092,0.093,0.089
316,HK0002,中电控股,87.80,1.09,0.95,0.14,352.95万,15.57,86.850,86.600,88.300,86.550
317,HK1862,景瑞控股,2.78,1.09,0.03,0.18,250.00万,3.74,2.750,2.780,2.850,2.680
318,HK1707,致浩达控股,0.47,1.09,0.01,0.16,228.80万,58.86,0.460,0.460,0.500,0.460
319,HK0816,华电福新,1.87,1.08,0.02,0.20,518.79万,4.77,1.850,1.850,1.890,1.820
320,HK1727,河北建设,4.69,1.08,0.05,0.25,116.35万,4.89,4.640,4.600,4.800,4.600
321,HK1382,互太纺织,6.67,1.06,0.07,0.10,144.80万,13.08,6.600,6.600,6.670,6.600
322,HK0760,新天地产集团,0.10,1.05,0.00,0.00,30.00万,12.91,0.095,0.095,0.096,0.094
323,HK1373,国际家居零售,1.94,1.04,0.02,0.04,25.90万,13.29,1.920,1.890,1.940,1.890
324,HK0132,中国兴业控股,0.48,1.04,0.01,0.00,--,26.50,0.480,0,0,0
325,HK0279,民众金融科技,0.10,1.03,0.00,0.96,1.51亿,5.57,0.097,0.099,0.101,0.096
326,HK0124,粤海置地,1.96,1.03,0.02,0.02,30.20万,1694.25,1.940,1.980,1.980,1.890
327,HK0683,嘉里建设,39.35,1.03,0.40,0.10,143.89万,6.15,38.950,39.450,40.500,38.850
328,HK1363,中滔环保,1.00,1.01,0.01,0.07,448.00万,9.09,0.990,1.000,1.010,0.980
329,HK0682,超大现代,0.10,0.99,0.00,0.03,99.02万,--,0.101,0.098,0.104,0.098
330,HK0303,VtechHoldings,87.00,0.99,0.85,0.05,11.46万,13.50,86.150,86.300,88.350,86.100
331,HK0684,亚伦国际,2.05,0.98,0.02,0.00,6000,14.75,2.030,2.050,2.050,2.050
332,HK6178,光大证券,8.33,0.97,0.08,0.04,30.94万,10.51,8.250,8.310,8.360,8.080
333,HK1249,通力电子,7.29,0.97,0.07,0.01,1.20万,9.23,7.220,7.200,7.290,7.200
334,HK6858,本间高尔夫,7.32,0.97,0.07,0.20,120.05万,15.33,7.250,7.250,7.480,7.240
335,HK3393,威胜控股,4.24,0.95,0.04,0.02,20.40万,11.79,4.200,4.200,4.240,4.150
336,HK0059,天誉置业,5.33,0.95,0.05,0.09,248.40万,21.17,5.280,5.250,5.340,5.250
337,HK2022,游莱互动,1.07,0.94,0.01,0.20,400.80万,105.33,1.060,1.070,1.080,1.040
338,HK0533,金利来集团,3.23,0.94,0.03,0.00,2.80万,9.85,3.200,3.200,3.240,3.190
339,HK0509,世纪阳光,0.22,0.93,0.00,0.01,46.50万,3.85,0.216,0.216,0.220,0.210
340,HK6860,指尖悦动,2.18,0.93,0.02,0.37,734.40万,15.10,2.160,2.150,2.190,2.150
341,HK1037,云智汇科技,1.09,0.93,0.01,0.10,67.60万,12.08,1.080,1.080,1.200,1.080
342,HK6898,中国铝罐,1.10,0.92,0.01,0.03,25.60万,11.96,1.090,1.140,1.140,1.080
343,HK0819,天能动力,11.02,0.92,0.10,0.21,238.70万,8.75,10.920,10.920,11.140,10.820
344,HK1699,普甜食品,0.22,0.91,0.00,0.33,524.40万,37.96,0.221,0.226,0.244,0.221
345,HK0570,中国中药,5.58,0.90,0.05,0.29,1473.80万,17.62,5.530,5.540,5.700,5.520
346,HK0163,英皇国际,2.26,0.89,0.02,0.01,32.40万,2.46,2.240,2.250,2.260,2.220
347,HK1655,OkuraHoldings,1.13,0.89,0.01,0.00,--,37.41,1.120,0,0,0
348,HK1970,IMAXChina,22.80,0.89,0.20,0.22,77.70万,24.21,22.600,22.400,22.950,22.300
349,HK2357,中航科工,4.60,0.88,0.04,0.12,720.90万,18.72,4.560,4.600,4.600,4.510
350,HK1421,工盖有限公司,0.23,0.86,0.00,0.02,20.00万,--,0.232,0.232,0.234,0.223
351,HK0547,数字王国,0.12,0.85,0.00,0.06,1457.00万,--,0.118,0.119,0.123,0.117
352,HK1616,星宏传媒,1.20,0.84,0.01,0.57,715.40万,--,1.190,1.230,1.240,1.120
353,HK1193,华润燃气,36.15,0.84,0.30,0.14,321.35万,21.52,35.850,36.550,36.550,35.950
354,HK6189,爱得威建设集团,7.27,0.83,0.06,0.24,12.70万,11.05,7.210,7.220,7.280,7.220
355,HK3848,富道集团,6.10,0.83,0.05,0.15,21.00万,24.23,6.050,6.180,6.200,6.000
356,HK1191,中国中石控股,0.12,0.83,0.00,0.39,1618.00万,20.33,0.121,0.121,0.125,0.119
357,HK3360,远东宏信,7.38,0.82,0.06,0.03,113.25万,7.33,7.320,7.460,7.590,7.350
358,HK0927,富士高实业,1.24,0.81,0.01,0.01,4.80万,16.99,1.230,1.230,1.240,1.220
359,HK0327,百富环球,3.78,0.80,0.03,0.09,103.50万,10.30,3.750,3.770,3.840,3.740
360,HK1038,长江基建集团,57.95,0.78,0.45,0.10,273.81万,12.28,57.500,57.550,58.000,57.400
361,HK0416,锦州银行,5.22,0.77,0.04,0.00,3000,3.30,5.180,5.180,5.300,5.180
362,HK6896,金嗓子,1.32,0.76,0.01,0.05,34.84万,13.27,1.310,1.320,1.320,1.250
363,HK1053,重庆钢铁股份,1.33,0.76,0.01,0.82,441.00万,6.77,1.320,1.350,1.350,1.280
364,HK1029,铁货,0.13,0.76,0.00,0.04,280.95万,1.06,0.132,0.130,0.133,0.130
365,HK0323,马鞍山钢铁股份,4.00,0.76,0.03,1.08,1877.60万,4.45,3.970,3.970,4.050,3.960
366,HK1365,润东汽车,2.71,0.74,0.02,0.01,11.00万,8.07,2.690,2.690,2.710,2.670
367,HK1238,宝龙地产,4.09,0.74,0.03,0.08,302.30万,4.06,4.060,4.110,4.120,4.000
368,HK0306,冠忠巴士集团,4.18,0.72,0.03,0.00,1.20万,7.00,4.150,4.160,4.180,4.160
369,HK0028,天安,4.20,0.72,0.03,0.00,4.40万,3.09,4.170,4.170,4.200,4.170
370,HK0432,盈大地产,2.80,0.72,0.02,0.00,1.21万,--,2.780,2.800,2.800,2.800
371,HK1460,扬科集团,0.14,0.72,0.00,0.01,44.00万,--,0.139,0.145,0.145,0.136
372,HK0046,科联系统,2.82,0.71,0.02,0.00,2000,12.57,2.800,2.820,2.820,2.820
373,HK1009,国际娱乐,1.41,0.71,0.01,0.03,41.20万,--,1.400,1.410,1.410,1.400
374,HK1176,珠光控股,1.41,0.71,0.01,0.06,377.60万,52.03,1.400,1.390,1.420,1.380
375,HK0215,和记电讯香港,2.83,0.71,0.02,0.07,323.80万,34.43,2.810,2.820,2.840,2.820
376,HK0498,保华集团,0.14,0.71,0.00,0.03,142.80万,1.61,0.141,0.140,0.142,0.139
377,HK0517,中远海运国际,2.95,0.68,0.02,0.01,19.37万,12.68,2.930,2.980,3.010,2.930
378,HK0836,华润电力,14.94,0.67,0.10,0.13,603.65万,15.40,14.840,14.880,15.060,14.800
379,HK0530,高银金融,3.03,0.67,0.02,0.00,4.60万,10.63,3.010,3.100,3.100,3.020
380,HK3813,宝胜国际,1.55,0.65,0.01,0.05,256.10万,11.73,1.540,1.540,1.580,1.520
381,HK0003,香港中华煤气,15.58,0.65,0.10,0.10,1458.55万,26.50,15.480,15.440,15.740,15.400
382,HK1632,膳源控股,9.41,0.64,0.06,0.03,5.40万,--,9.350,9.470,9.470,9.200
383,HK2686,亚美能源,1.57,0.64,0.01,0.02,59.50万,23.81,1.560,1.550,1.660,1.550
384,HK1212,利福国际,15.80,0.64,0.10,0.21,331.67万,7.67,15.700,15.700,15.820,15.480
385,HK1129,中国水业集团,1.59,0.63,0.01,0.06,100.40万,--,1.580,1.560,1.600,1.560
386,HK1518,新世纪医疗,7.95,0.63,0.05,0.00,2.05万,41.44,7.900,7.890,7.950,7.890
387,HK2638,港灯-SS,7.96,0.63,0.05,0.06,492.01万,35.82,7.910,7.870,7.980,7.870
388,HK2119,捷荣国际控股,1.61,0.62,0.01,0.14,103.80万,21.58,1.600,1.610,1.620,1.590
389,HK0752,PicoFarEast,3.22,0.62,0.02,0.02,22.00万,15.51,3.200,3.180,3.230,3.120
390,HK1919,中远海控,3.26,0.62,0.02,0.27,682.47万,32.61,3.240,3.250,3.290,3.200
391,HK0256,冠城钟表珠宝,1.67,0.60,0.01,0.07,294.80万,6.21,1.660,1.670,1.690,1.650
392,HK1419,盈健医疗,1.74,0.58,0.01,0.00,1.20万,31.07,1.730,1.740,1.740,1.740
393,HK2398,友佳国际,1.75,0.57,0.01,0.00,--,9.12,1.740,0,0,0
394,HK1575,慕容控股,1.76,0.57,0.01,0.13,132.60万,9.11,1.750,1.760,1.770,1.730
395,HK0722,联合医务,1.78,0.56,0.01,0.00,2.20万,37.24,1.770,1.770,1.780,1.770
396,HK1786,铁建装备,1.81,0.56,0.01,0.12,61.90万,15.26,1.800,1.760,1.840,1.760
397,HK0006,电能实业,55.20,0.55,0.30,0.12,265.30万,14.30,54.900,55.200,55.350,54.900
398,HK0639,首钢资源,1.85,0.54,0.01,0.14,744.24万,9.08,1.840,1.890,1.900,1.840
399,HK2212,高鹏矿业,0.19,0.54,0.00,0.10,374.00万,--,0.187,0.196,0.196,0.182
400,HK2380,中国电力,1.90,0.53,0.01,0.18,1765.02万,15.85,1.890,1.900,1.910,1.870
401,HK1257,中国光大绿色环保,7.62,0.53,0.04,0.06,122.32万,14.74,7.580,7.610,7.730,7.550
402,HK0368,中外运航运,1.96,0.51,0.01,0.06,227.35万,30.97,1.950,1.950,1.980,1.950
403,HK0342,新海能源,1.99,0.51,0.01,0.18,257.80万,3.49,1.980,1.980,1.990,1.950
404,HK0023,东亚银行,30.25,0.50,0.15,0.05,145.16万,9.42,30.100,30.550,30.550,30.000
405,HK0194,廖创兴企业,12.36,0.49,0.06,0.01,1.80万,6.27,12.300,12.240,12.360,12.200
406,HK1829,中国机械工程,4.15,0.48,0.02,0.17,151.20万,8.44,4.130,4.130,4.170,4.030
407,HK0554,汉思能源,0.22,0.46,0.00,0.01,21.80万,2170.00,0.216,0.217,0.217,0.217
408,HK1080,胜利管道,0.22,0.46,0.00,0.00,7.05万,--,0.220,0.211,0.221,0.211
409,HK1299,友邦保险,66.20,0.46,0.30,0.19,2292.68万,16.62,65.900,67.000,67.100,65.900
410,HK1240,青建国际,2.22,0.45,0.01,0.12,181.00万,7.25,2.210,2.200,2.260,2.190
411,HK2882,香港资源控股,0.23,0.43,0.00,2.73,2879.18万,--,0.230,0.228,0.235,0.227
412,HK0877,昂纳科技集团,4.67,0.43,0.02,0.04,35.80万,16.68,4.650,4.660,4.670,4.650
413,HK0959,奥玛仕国际,0.24,0.43,0.00,0.22,183.03万,--,0.235,0.232,0.236,0.226
414,HK2329,国瑞置业,2.39,0.42,0.01,0.16,728.90万,5.05,2.380,2.350,2.490,2.350
415,HK0107,四川成渝高速公路,2.45,0.41,0.01,0.09,78.40万,3.77,2.440,2.450,2.470,2.440
416,HK1706,双运控股,2.55,0.39,0.01,0.05,46.50万,132.20,2.540,2.540,2.550,2.510
417,HK1184,S.A.S.Dragon,2.56,0.39,0.01,0.04,22.40万,5.28,2.550,2.550,2.570,2.500
418,HK0089,大生地产,5.14,0.39,0.02,0.01,3.80万,2.94,5.120,5.060,5.140,5.050
419,HK0267,中信股份,10.84,0.37,0.04,0.02,648.61万,7.18,10.800,10.680,10.920,10.680
420,HK2356,大新银行集团,16.28,0.37,0.06,0.01,16.48万,10.44,16.220,16.220,16.380,16.220
421,HK0337,绿地香港,2.73,0.37,0.01,0.10,279.60万,4.95,2.720,2.720,2.750,2.680
422,HK1398,工商银行,5.71,0.35,0.02,0.38,3.29亿,5.19,5.690,5.660,5.740,5.620
423,HK1996,弘阳地产,2.91,0.34,0.01,0.11,362.70万,6.36,2.900,2.940,2.940,2.890
424,HK2601,中国太保,29.60,0.34,0.10,0.83,2306.73万,14.44,29.500,29.650,29.850,29.300
425,HK1140,东英金融,3.01,0.33,0.01,0.05,152.80万,44.46,3.000,3.000,3.030,2.990
426,HK0751,创维数码,3.02,0.33,0.01,0.29,881.00万,16.85,3.010,3.010,3.050,2.960
427,HK2488,元征科技,9.13,0.33,0.03,0.32,52.50万,43.69,9.100,9.080,9.200,9.000
428,HK0400,科通芯城,3.17,0.32,0.01,0.07,95.88万,12.77,3.160,3.160,3.300,3.150
429,HK2136,利福中国,3.21,0.31,0.01,0.23,343.20万,15.94,3.200,3.160,3.220,3.150
430,HK1270,朗廷-SS,3.22,0.31,0.01,0.02,41.45万,5.86,3.210,3.200,3.240,3.200
431,HK0053,国浩集团,129.20,0.31,0.40,0.01,3.60万,5.66,128.800,129.000,129.200,128.800
432,HK0496,卡森国际,3.34,0.30,0.01,0.14,210.00万,--,3.330,3.340,3.460,3.310
433,HK0113,迪生创建,3.36,0.30,0.01,0.05,20.54万,8.57,3.350,3.360,3.370,3.350
434,HK0906,中粮包装,3.36,0.30,0.01,0.28,325.35万,10.78,3.350,3.380,3.430,3.300
435,HK0934,中石化冠德,3.38,0.30,0.01,0.05,127.05万,6.96,3.370,3.390,3.390,3.360
436,HK2662,承兴国际控股,6.75,0.30,0.02,0.05,50.60万,84.38,6.730,6.660,6.750,6.600
437,HK0832,建业地产,3.42,0.29,0.01,0.03,81.40万,8.60,3.410,3.450,3.490,3.330
438,HK0939,建设银行,6.95,0.29,0.02,0.12,2.79亿,4.63,6.930,6.900,6.970,6.840
439,HK1071,华电国际电力股份,3.59,0.28,0.01,1.17,2013.20万,10.26,3.580,3.590,3.600,3.480
440,HK0071,美丽华酒店,14.74,0.27,0.04,0.00,1.50万,5.85,14.700,14.760,14.780,14.720
441,HK0271,亚证地产,3.82,0.26,0.01,0.04,51.50万,28.05,3.810,3.790,3.900,3.770
442,HK1848,中国飞机租赁,7.80,0.26,0.02,0.03,16.60万,7.17,7.780,7.830,8.000,7.720
443,HK2688,新奥能源,78.00,0.26,0.20,0.23,245.66万,25.12,77.800,78.500,78.750,76.700
444,HK0101,恒隆地产,16.08,0.25,0.04,0.07,323.41万,7.73,16.040,16.080,16.260,15.940
445,HK0941,中国移动,69.25,0.22,0.15,0.06,1263.88万,10.35,69.100,69.100,69.650,68.800
446,HK0480,香港兴业国际,4.78,0.21,0.01,0.02,21.70万,2.80,4.770,4.890,4.890,4.740
447,HK1271,佳明集团控股,4.92,0.20,0.01,0.01,3.60万,20.33,4.910,4.940,4.970,4.900
448,HK1658,邮储银行,5.03,0.20,0.01,0.09,1849.70万,5.03,5.020,4.990,5.040,4.980
449,HK6823,香港电讯-SS,10.32,0.19,0.02,0.07,503.13万,15.32,10.300,10.260,10.420,10.260
450,HK1660,兆邦基地产,10.90,0.18,0.02,0.26,316.80万,478.07,10.880,10.700,10.900,10.240
451,HK0052,FairwoodHold,29.30,0.17,0.05,0.17,22.45万,17.32,29.250,29.300,29.500,29.250
452,HK0098,兴发铝业,5.97,0.17,0.01,0.03,13.50万,5.41,5.960,5.960,6.100,5.950
453,HK0369,永泰地产,6.06,0.17,0.01,0.03,41.40万,4.12,6.050,6.030,6.100,5.980
454,HK0190,香港建设(控股),6.50,0.15,0.01,0.01,7.21万,3.82,6.490,6.460,6.680,6.450
455,HK0900,AeonCredit,6.60,0.15,0.01,0.04,14.80万,5.80,6.590,6.600,6.600,6.600
456,HK0315,数码通电讯,8.10,0.12,0.01,0.06,69.56万,13.59,8.090,8.050,8.100,8.040
457,HK0034,九龙建业,9.20,0.11,0.01,0.04,40.90万,6.53,9.190,9.200,9.220,9.180
458,HK2018,瑞声科技,94.55,0.11,0.10,0.29,351.36万,20.53,94.450,95.650,95.800,92.900
459,HK1016,STOCK1016,0.00,0.00,0.00,0.00,--,--,0,0,0,0
460,HK1010,太睿国际控股,2.19,0.00,0.00,0.00,--,--,2.190,0,0,0
461,HK1017,STOCK1017,0.00,0.00,0.00,0.00,--,--,0,0,0,0
462,HK1015,STOCK1015,0.00,0.00,0.00,0.00,--,--,0,0,0,0
463,HK1386,国投集团控股,1.21,0.00,0.00,0.00,--,--,1.210,0,0,0
464,HK1393,恒鼎实业,0.27,0.00,0.00,0.02,31.70万,--,0.265,0.265,0.265,0.265
465,HK0131,卓能(集团),4.62,0.00,0.00,0.00,--,2.36,4.620,0,0,0
466,HK1388,安莉芳控股,2.71,0.00,0.00,0.00,--,2.29,2.710,0,0,0
467,HK1027,中国集成控股,0.07,0.00,0.00,0.07,248.20万,66.73,0.072,0.072,0.075,0.070
468,HK1046,寰宇国际金融,0.77,0.00,0.00,0.70,633.18万,--,0.770,0.780,0.790,0.740
469,HK1045,亚太卫星,2.93,0.00,0.00,0.04,32.55万,5.41,2.930,3.000,3.000,2.900
470,HK1340,惠生国际,0.20,0.00,0.00,0.00,1.40万,--,0.196,0.196,0.196,0.196
471,HK1048,煜新控股,2.95,0.00,0.00,0.00,--,--,2.950,0,0,0
472,HK1050,嘉利国际,1.14,0.00,0.00,0.00,7.60万,12.39,1.140,1.140,1.140,1.120
473,HK0174,盛洋投资,1.08,0.00,0.00,0.00,--,13.50,1.080,0,0,0
474,HK1338,霸王集团,0.22,0.00,0.00,0.00,10.00万,30.36,0.222,0.222,0.222,0.222
475,HK1353,诺奇,1.00,0.00,0.00,0.00,--,3.50,1.000,0,0,0
476,HK1358,普华和顺,1.66,0.00,0.00,0.05,82.50万,17.89,1.660,1.660,1.700,1.640
477,HK1021,麦达斯控股─S,3.00,0.00,0.00,0.00,--,33.57,3.000,0,0,0
478,HK1019,康宏环球,0.17,0.00,0.00,0.00,--,--,0.167,0,0,0
479,HK1370,奥威控股,1.99,0.00,0.00,0.00,2.60万,--,1.990,1.970,1.990,1.970
480,HK1022,飞鱼科技,0.55,0.00,0.00,0.01,10.35万,--,0.550,0.550,0.550,0.530
481,HK1026,环球实业科技,0.27,0.00,0.00,0.01,20.00万,203.85,0.265,0.270,0.270,0.265
482,HK0176,先机企业集团,0.33,0.00,0.00,0.00,--,6.96,0.330,0,0,0
483,HK1008,贵联控股,0.93,0.00,0.00,0.00,--,10.33,0.930,0,0,0
484,HK1018,STOCK1018,0.00,0.00,0.00,0.00,--,--,0,0,0,0
485,HK0986,中国环保能源,0.36,0.00,0.00,0.20,107.60万,--,0.360,0.370,0.370,0.340
486,HK0127,华人置业,9.92,0.00,0.00,0.02,36.40万,5.10,9.920,9.900,10.060,9.880
487,HK0188,新华汇富金融,0.09,0.00,0.00,0.02,150.00万,22.50,0.090,0.089,0.092,0.089
488,HK1520,华信金融投资,0.27,0.00,0.00,0.01,15.00万,--,0.270,0.270,0.270,0.270
489,HK0186,敏捷控股,1.05,0.00,0.00,0.00,--,35.00,1.050,0,0,0
490,HK1492,中地乳业,0.58,0.00,0.00,0.00,--,80.63,0.580,0,0,0
491,HK1488,百福控股,1.29,0.00,0.00,0.01,9.60万,66.83,1.290,1.290,1.290,1.290
492,HK0958,华能新能源,2.89,0.00,0.00,0.18,891.00万,8.21,2.890,2.870,2.910,2.840
493,HK0943,意科控股,0.17,0.00,0.00,0.00,37.60万,--,0.168,0.158,0.168,0.157
494,HK1532,中国派对文化,0.50,0.00,0.00,0.00,--,22.54,0.500,0,0,0
495,HK0940,中国动物保健品,5.20,0.00,0.00,0.00,--,563.78,5.200,0,0,0
496,HK1556,建业建荣,0.28,0.00,0.00,0.04,62.50万,5.24,0.285,0.295,0.295,0.280
497,HK0936,鹏程亚洲,0.93,0.00,0.00,0.00,--,--,0.930,0,0,0
498,HK0121,卜蜂莲花,0.10,0.00,0.00,0.00,--,10.53,0.101,0,0,0
499,HK1552,BHCCHolding,0.36,0.00,0.00,0.01,10.00万,7.91,0.365,0.365,0.365,0.365
500,HK0126,佳宁娜,1.17,0.00,0.00,0.09,108.20万,4.63,1.170,1.170,1.180,1.160
501,HK1547,IBIGROUPHLDGS,0.56,0.00,0.00,0.10,84.00万,24.35,0.560,0.560,0.560,0.540
502,HK0967,桑德国际,2.98,0.00,0.00,0.00,--,8.33,2.980,0,0,0
503,HK1480,恩达集团控股,1.30,0.00,0.00,0.05,12.80万,12.87,1.300,1.300,1.300,1.250
504,HK0996,嘉年华国际,0.34,0.00,0.00,0.02,498.00万,17.00,0.340,0.345,0.345,0.335
505,HK0987,中国再生能源投资,0.21,0.00,0.00,0.01,23.06万,8.20,0.210,0.210,0.216,0.209
506,HK1337,雷蛇,1.80,0.00,0.00,0.04,344.60万,--,1.800,1.800,1.830,1.780
507,HK1417,浦江中国,2.00,0.00,0.00,0.02,8.20万,13.90,2.000,2.100,2.170,2.000
508,HK1400,宏太控股,0.10,0.00,0.00,0.04,68.50万,--,0.100,0.096,0.100,0.096
509,HK1000,北青传媒,2.42,0.00,0.00,0.00,--,--,2.420,0,0,0
510,HK1399,飞毛腿,1.04,0.00,0.00,0.00,--,44.72,1.040,0,0,0
511,HK0980,联华超市,2.01,0.00,0.00,0.05,20.00万,--,2.010,2.060,2.060,1.970
512,HK0976,齐合环保,3.00,0.00,0.00,0.05,87.00万,11.54,3.000,2.960,3.070,2.920
513,HK0968,信义光能,2.25,0.00,0.00,0.24,1799.15万,6.88,2.250,2.270,2.280,2.220
514,HK0129,泛海集团,1.81,0.00,0.00,0.01,13.60万,1.63,1.810,1.800,1.810,1.780
515,HK1476,恒投证券,2.12,0.00,0.00,0.00,--,7.69,2.120,0,0,0
516,HK0974,中国顺客隆,2.54,0.00,0.00,0.00,--,52.97,2.540,0,0,0
517,HK1450,世纪睿科,0.31,0.00,0.00,0.00,6000,--,0.310,0.310,0.310,0.310
518,HK0130,慕诗国际,0.96,0.00,0.00,0.00,--,96.00,0.960,0,0,0
