code,name,pe
hk00893,中国铁钛,-0.248
hk00731,森信纸业集团,14.324
hk01733,易大宗,-0.301
hk00681,中民控股,-4.24
hk00265,东胜中国,0.0
hk00242,信德集团,13.02
hk00585,意马国际,-5.461
hk01513,丽珠医药,20.76
hk02100,百奥家庭互动,12.273
hk00036,远东控股国际,7.397
hk02368,鹰美,15.16
hk00118,大同机械,-1.3
hk00256,冠城钟表珠宝,23.714
hk03908,中金公司,9.992
hk02202,万科企业,12.787
hk00322,康师傅控股,50.452
hk01543,中盈盛达融资担保,10.12
hk00079,世纪建业,-9.032
hk06898,中国铝罐,7.32
hk01208,五矿资源,-23.49
hk00669,创科实业,24.726
hk00554,汉思能源,-9.2
hk00503,朗生医药,29.487
hk03323,中国建材,33.378
hk01522,中国城市轨道科技,34.118
hk01222,WANG ON GROUP,5.043
hk00992,联想集团,-45.556
hk00187,京城机电股份,-4.467
hk01027,中国集成控股,0.0
hk01778,彩生活,39.333
hk02678,天虹纺织,7.946
hk00236,香港生力啤,51.739
hk00025,CHEVALIER INT'L,11.366
hk00386,中国石油化工股份,22.344
hk00735,中国电力新能源,32.936
hk00101,恒隆地产,11.306
hk01235,专业旅运,9.836
hk00901,鹰力投资,-6.0
hk00107,四川成渝高速公路,6.132
hk00019,太古股份公司Ａ,13.258
hk01610,中粮肉食,0.0
hk00968,信义光能,8.299
hk01884,ＥＰＲＩＮＴ集团,12.449
hk00851,盛源控股,-48.8
hk02362,金川国际,81.333
hk00539,冠华国际控股,1.079
hk00152,深圳国际,12.776
hk01360,MEGAEXPO HLDG,-26.957
hk00603,中油燃气,-17.222
hk00915,道和环球,-25.833
hk02318,中国平安,20.104
hk02303,恒兴黄金,100.0
hk01822,弘达金融控股,-315.0
hk00191,丽新国际,31.524
hk00931,中国天然气,182.857
hk01097,有线宽频,-0.821
hk03899,中集安瑞科,24.063
hk03618,重庆农村商业银行,4.717
hk00156,力宝华润,-5.676
hk00699,神州租车,10.29
hk00765,威发国际集团,-37.308
hk01538,中奥到家,59.091
hk01446,鸿福堂,50.0
hk02386,中石化炼化工程,18.854
hk01637,顺兴集团控股,0.0
hk01319,霭华押业信贷,7.5
hk00771,自动系统,24.906
hk00586,海螺创业,20.995
hk00189,东岳集团,21.368
hk01029,铁货,-0.185
hk02200,浩沙国际,1.762
hk02638,港灯－ＳＳ,20.197
hk01811,中广核新能源,9.514
hk00960,龙湖地产,11.15
hk00145,香港建屋贷款,-0.132
hk00500,先丰服务集团,-11.983
hk00827,玖源集团,-4.344
hk00178,莎莎国际,31.194
hk00031,航天控股,2.194
hk00844,广豪国际,-33.333
hk01041,林达控股,-0.52
hk00832,建业地产,9.056
hk02099,中国黄金国际,-80.375
hk01635,大众公用,0.0
hk00582,蓝鼎国际（六万）,-54.086
hk01263,柏能集团,-163.409
hk00208,保利达资产,60.0
hk03988,中国银行,5.356
hk03301,融信中国,5.607
hk00332,元亨燃气,365.0
hk00711,亚洲联合基建控股,3.411
hk01372,比速科技,-26.506
hk00419,华谊腾讯娱乐,-4.933
hk00291,华润啤酒,-24.785
hk00633,中国全通,3.968
hk00663,金山能源,0.269
hk01131,鸿宝资源,4.904
hk01226,中国投融资,1.222
hk00154,北京控股环境集团,13.75
hk06899,联众,4.54
hk00460,四环医药,6.709
hk01717,澳优,50.421
hk00108,国锐地产,-25.806
hk01345,中国先锋医药,15.094
hk00362,中国天化工,-2.703
hk03606,福耀玻璃,20.264
hk02016,浙商银行,6.154
hk01572,中国艺术金融,9.535
hk00418,方正控股,68.333
hk01030,新城发展控股,24.176
hk00845,恒盛地产,-0.699
hk02628,中国人寿,13.638
hk00047,合兴集团,23.857
hk00837,谭木匠,8.743
hk00094,绿心集团,-1.66
hk01266,西王特钢,16.634
hk00710,精电,2.774
hk03636,保利文化,10.33
hk01090,大明国际,-9.41
hk01866,中国心连心化肥,8.193
hk00056,联合地产（香港）,2.826
hk02689,玖龙纸业,30.605
hk00903,冠捷科技,6.772
hk00010,恒隆集团,7.864
hk00842,理士国际,9.149
hk00113,迪生创建,-4.6
hk01083,港华燃气,21.46
hk02883,中海油田服务,25.874
hk00023,东亚银行,25.27
hk01889,武夷药业,15.0
hk00914,安徽海螺水泥股份,25.766
hk01669,环球信贷集团,7.458
hk00286,同佳健康,62.857
