序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1764,HK1085,亨鑫科技,1.94,-3.00,-0.06,0.02,6.80万,5.50,2.000,1.920,1.940,1.900
1765,HK1157,中联重科,2.90,-3.01,-0.09,0.82,1140.27万,11.60,2.990,2.960,2.970,2.840
1766,HK1728,正通汽车,4.78,-3.04,-0.15,0.52,1267.32万,7.41,4.930,4.900,4.900,4.720
1767,HK1775,精英汇集团,0.94,-3.09,-0.03,1.65,827.20万,--,0.970,0.970,0.970,0.920
1768,HK1114,BrillianceChi,11.16,-3.12,-0.36,0.41,2090.84万,10.73,11.520,11.280,11.400,11.000
1769,HK1990,兴华港口,0.93,-3.12,-0.03,0.00,1.93万,861.90,0.960,0.930,0.930,0.930
1770,HK1417,浦江中国,2.16,-3.14,-0.07,0.09,35.80万,15.01,2.230,2.180,2.180,2.070
1771,HK1611,桐成控股,2.46,-3.15,-0.08,0.10,28.60万,372.73,2.540,2.440,2.460,2.420
1772,HK0574,百信国际,0.46,-3.16,-0.01,0.69,729.00万,37.99,0.475,0.475,0.475,0.460
1773,HK0450,鸿兴印刷集团,1.53,-3.17,-0.05,0.10,87.40万,1.31,1.580,1.550,1.550,1.450
1774,HK0932,顺腾国际控股,0.30,-3.17,-0.01,0.45,960.00万,--,0.315,0.310,0.315,0.295
1775,HK0907,高雅光学,1.81,-3.21,-0.06,0.13,53.20万,--,1.870,1.790,1.810,1.780
1776,HK0381,侨雄国际,0.03,-3.23,-0.00,0.10,600.00万,--,0.031,0.030,0.030,0.029
1777,HK1627,安保工程控股,0.60,-3.23,-0.02,0.02,44.00万,6.86,0.620,0.610,0.610,0.590
1778,HK1036,万科置业海外,4.50,-3.23,-0.15,0.01,2.50万,11.25,4.650,4.500,4.500,4.500
1779,HK0077,进智公共交通,1.19,-3.25,-0.04,0.08,22.80万,--,1.230,1.190,1.200,1.170
1780,HK0459,美联工商铺,0.29,-3.28,-0.01,0.02,35.00万,5.61,0.305,0.295,0.300,0.295
1781,HK0263,高富集团控股,0.18,-3.28,-0.01,0.00,--,--,0.183,0,0,0
1782,HK1651,津上机床中国,7.64,-3.29,-0.26,0.35,131.80万,10.73,7.900,7.900,7.900,7.600
1783,HK0952,中国通海金融,0.88,-3.30,-0.03,0.01,39.00万,60.27,0.910,0.890,0.890,0.880
1784,HK2116,江苏创新,0.58,-3.33,-0.02,0.09,44.60万,6.37,0.600,0.590,0.590,0.570
1785,HK1757,俊裕地基,0.43,-3.33,-0.01,0.27,322.00万,24.44,0.450,0.450,0.450,0.425
1786,HK0476,中国动力控股,0.12,-3.33,-0.00,0.00,14.00万,--,0.120,0.116,0.116,0.116
1787,HK0248,香港通讯国际控股,0.17,-3.33,-0.01,0.04,56.34万,38.67,0.180,0.165,0.174,0.165
1788,HK2886,滨海投资,1.45,-3.33,-0.05,0.04,45.20万,7.67,1.500,1.470,1.500,1.400
1789,HK0510,时富金融服务集团,0.12,-3.36,-0.00,0.08,411.60万,--,0.119,0.116,0.116,0.110
1790,HK0875,中国金控,0.09,-3.37,-0.00,0.11,128.00万,--,0.089,0.087,0.088,0.086
1791,HK0884,旭辉控股集团,4.57,-3.38,-0.16,0.73,5692.39万,5.61,4.730,4.690,4.690,4.330
1792,HK1693,璋利国际,0.28,-3.39,-0.01,0.14,245.60万,9.37,0.295,0.290,0.295,0.270
1793,HK0784,凌锐控股,0.57,-3.39,-0.02,0.48,387.00万,25.91,0.590,0.600,0.600,0.560
1794,HK0993,华融金控,1.14,-3.39,-0.04,0.00,1.10万,4.21,1.180,1.140,1.140,1.140
1795,HK1181,唐宫中国,1.42,-3.40,-0.05,0.09,100.40万,4.79,1.470,1.470,1.500,1.400
1796,HK2120,康宁医院,38.05,-3.43,-1.35,0.02,3800,47.37,39.400,39.400,39.500,38.050
1797,HK0061,绿领控股,0.14,-3.45,-0.01,0.26,1922.80万,10.85,0.145,0.148,0.148,0.137
1798,HK1682,华隆金控,0.55,-3.51,-0.02,0.01,6.80万,38.46,0.570,0.560,0.580,0.550
1799,HK0729,五龙电动车,0.11,-3.51,-0.00,0.39,9159.00万,--,0.114,0.113,0.114,0.109
1800,HK1571,信邦控股,4.38,-3.52,-0.16,0.04,37.10万,8.30,4.540,4.530,4.530,4.310
1801,HK2398,友佳国际,1.64,-3.53,-0.06,0.02,9.60万,8.55,1.700,1.510,1.640,1.500
1802,HK2033,时计宝,1.09,-3.54,-0.04,0.00,2.00万,7.79,1.130,1.030,1.090,1.030
1803,HK0759,CECInt'lHold,0.54,-3.57,-0.02,0.01,5.60万,--,0.560,0.540,0.560,0.530
1804,HK0713,世界(集团),0.54,-3.57,-0.02,0.04,27.80万,--,0.560,0.550,0.550,0.530
1805,HK1096,中能国际控股,0.14,-3.57,-0.01,0.07,108.60万,--,0.140,0.128,0.150,0.125
1806,HK2330,中国上城,0.19,-3.59,-0.01,0.01,6.80万,5.35,0.195,0.180,0.188,0.175
1807,HK3355,先进半导体,0.80,-3.62,-0.03,0.01,9.20万,--,0.830,0.800,0.800,0.800
1808,HK1432,中国圣牧,0.53,-3.64,-0.02,0.06,373.10万,--,0.550,0.550,0.550,0.530
1809,HK1290,中国汇融,1.05,-3.67,-0.04,0.04,44.20万,17.52,1.090,1.050,1.080,1.000
1810,HK1216,中原银行,2.36,-3.67,-0.09,0.02,64.60万,9.37,2.450,2.450,2.450,2.360
