,code,li_0_tmp,li_10_radio,li_10_tmp,li_5_radio,li_5_tmp,starttime
120,ZBRA,153.12,0.004506269592476474,153.81,0.003330721003134737,153.63,1525320000000.0
121,ZBRA,123.75,-0.024404040404040372,120.73,-0.00218181818181815,123.48,1515646800000.0
122,RARX,8.44,0.123222748815166,9.48,0.20260663507109017,10.15,1528257600000.0
123,RARX,7.02,0.3603988603988606,9.55,0.1595441595441597,8.14,1527566400000.0
124,EIGR,14.85,-0.030303030303030255,14.4,-0.010101010101010124,14.7,1527220800000.0
125,EIGR,13.95,0.1469534050179212,16.0,-0.01792114695340502,13.7,1513746000000.0
126,XONE,9.58,0.10542797494780791,10.59,0.006263048016701514,9.64,1536724800000.0
127,XONE,8.84,0.026018099547511362,9.07,-0.04864253393665155,8.41,1534910400000.0
128,XONE,8.14,0.049140049140048964,8.54,0.06879606879606863,8.7,1534132800000.0
129,XONE,9.92,-0.007056451612903254,9.85,0.03931451612903231,10.31,1515128400000.0
130,KRNT,22.1,-0.02714932126696839,21.5,-0.08144796380090501,20.3,1536033600000.0
131,KRNT,20.95,-0.021479713603818583,20.5,0.04295942720763733,21.85,1535083200000.0
132,KRNT,14.15,-0.10600706713780919,12.65,-0.0353356890459364,13.65,1519966800000.0
133,LRCX,224.95,-0.09922204934429871,202.63,-0.013469659924427656,221.92,1519966800000.0
134,PTC,89.24,0.1204616763783057,99.99,0.05860600627521296,94.47,1527652800000.0
135,PTC,81.43,0.011298047402676991,82.35,0.043350116664619756,84.96,1523246400000.0
136,BGFV,8.75,-0.11999999999999998,7.7,-0.08571428571428572,8.0,1524110400000.0
137,AXTI,8.125,-0.10153846153846156,7.3,-0.03384615384615389,7.85,1519966800000.0
138,ADBE,253.95,-0.010671392006300373,251.24,0.00858436700137825,256.13,1527652800000.0
139,IAC,149.09,0.03353678985847475,154.09,0.02106110403112205,152.23,1518152400000.0
140,SIEN,22.94,0.11421098517872699,25.56,0.0902353966870096,25.01,1534824000000.0
141,VNET,10.2,-0.042156862745098014,9.77,-0.009803921568627416,10.1,1537243200000.0
142,VNET,9.45,0.011640211640211768,9.56,0.10370370370370376,10.43,1533787200000.0
143,VNET,7.34,0.15940054495912806,8.51,0.06948228882833785,7.85,1526270400000.0
144,USAT,15.95,0.02194357366771169,16.3,-0.021943573667711578,15.6,1533614400000.0
145,NBEV,3.5,-0.27999999999999997,2.52,-0.10285714285714283,3.14,1520226000000.0
146,TRUP,36.08,0.0884146341463416,39.27,0.11613082039911322,40.27,1528171200000.0
147,VCEL,14.8,-0.08783783783783788,13.5,-0.057432432432432526,13.95,1537156800000.0
148,VCEL,12.1,0.02066115702479339,12.35,0.14462809917355374,13.85,1534824000000.0
149,VCEL,5.15,0.17475728155339795,6.05,0.14563106796116504,5.9,1513314000000.0
150,PYPL,90.61,0.019754993930029868,92.4,-0.017216642754662868,89.05,1534824000000.0
151,AVID,5.29,-0.19092627599243853,4.28,-0.0879017013232514,4.825,1519966800000.0
152,ARRY,13.55,-0.026568265682656914,13.19,0.0,13.55,1513918800000.0
153,FANH,23.54,0.2918436703483433,30.41,0.030161427357689077,24.25,1514437200000.0
154,AAOI,46.95,-0.0741214057507988,43.47,-0.09435569755058572,42.52,1527220800000.0
155,CLIR,2.15,-0.16279069767441856,1.8,-0.09302325581395347,1.95,1534910400000.0
156,CLIR,2.1,-0.10714285714285718,1.875,-0.04761904761904766,2.0,1534824000000.0
157,CLIR,2.15,-0.046511627906976785,2.05,-0.023255813953488292,2.1,1533873600000.0
158,CLIR,1.9793,0.04835042691860765,2.075,-0.014803213257212197,1.95,1525924800000.0
159,SRNE,7.9,-0.08227848101265826,7.25,-0.060126582278481076,7.425,1526875200000.0
160,ATTU,15.9,0.12578616352201247,17.9,0.050314465408804965,16.7,1531886400000.0
161,QLYS,73.15,0.062200956937799,77.7,0.02255639097744349,74.8,1518584400000.0
162,GHDX,58.97,0.09309818551805994,64.46,0.05613023571307448,62.28,1534737600000.0
163,GHDX,48.84,0.01863226863226856,49.75,0.023955773955773845,50.01,1527220800000.0
164,NTAP,82.97,-0.00301313727853441,82.72,-0.00602627455706882,82.47,1533096000000.0
165,NTAP,68.27,-0.02475465065182361,66.58,0.001171817782334822,68.35,1523246400000.0
166,WKHS,2.94,-0.07823129251700679,2.71,0.030612244897959134,3.03,1524628800000.0
167,WKHS,2.92,0.03082191780821913,3.01,-0.04109589041095894,2.8,1523592000000.0
168,AMAG,25.55,-0.14677103718199608,21.8,-0.050880626223092,24.25,1527652800000.0
169,IDXX,195.62,-0.005776505469788341,194.49,0.010275023003782798,197.63,1523246400000.0
170,IDXX,187.61,0.08293800970097528,203.17,-0.009807579553328732,185.77,1518670800000.0
171,IDXX,165.73,0.11072225909612034,184.08,0.0822422011705788,179.36,1514869200000.0
172,INFN,9.11,-0.1855104281009879,7.42,-0.017563117453347987,8.95,1534478400000.0
173,AVEO,2.9,-0.20689655172413796,2.3,-0.24827586206896543,2.18,1530763200000.0
174,IRBT,79.99,-0.046130766345793196,76.3,-0.035629453681710145,77.14,1528344000000.0
175,IRBT,94.36,-0.38639253921153033,57.9,-0.06083086053412458,88.62,1516338000000.0
176,NOVT,77.2,-0.017487046632124463,75.85,-0.007772020725388711,76.6,1534478400000.0
177,NOVT,66.45,-0.010534236267870622,65.75,0.0,66.45,1527220800000.0
178,IONS,51.42,-0.09704395176973944,46.43,-0.004084014002333739,51.21,1533787200000.0
179,IONS,52.95,-0.11709159584513697,46.75,-0.03474976392823424,51.11,1516338000000.0
180,TELL,8.89,-0.0877390326209225,8.11,0.08773903262092231,9.67,1534478400000.0
181,TELL,10.28,-0.04182879377431904,9.85,-0.05933852140077816,9.67,1523592000000.0
182,TLND,70.5,0.004680851063829763,70.83,-0.022836879432624104,68.89,1536120000000.0
183,TLND,56.9,0.0165202108963094,57.84,-0.019507908611599286,55.79,1525233600000.0
184,SIRI,6.54,-0.05657492354740063,6.17,-0.009174311926605444,6.48,1519966800000.0
185,SIRI,6.11,0.0409165302782324,6.36,0.029459901800327284,6.29,1518411600000.0
186,MPAA,21.19,0.011326097215667694,21.43,0.03397829164700325,21.91,1525233600000.0
187,RDUS,19.97,-0.005508262393590357,19.86,-0.07661492238357524,18.44,1537934400000.0
188,FTNT,54.68,-0.0018288222384784459,54.58,-0.024323335771762954,53.35,1520226000000.0
189,ATRC,23.0,0.045652173913043506,24.05,0.03956521739130436,23.91,1525233600000.0
190,APPF,66.35,0.15825169555388094,76.85,0.02110022607385088,67.75,1531368000000.0
191,APPF,44.6,0.07511210762331842,47.95,0.07399103139013447,47.9,1523246400000.0
192,APPF,42.0,-0.038095238095238126,40.4,-0.02023809523809527,41.15,1519966800000.0
193,RP,59.55,0.02518891687657431,61.05,-0.026028547439126738,58.0,1533614400000.0
194,SEAC,1.65,0.090909090909091,1.8,-0.006060606060606067,1.64,1535342400000.0
195,SEAC,3.17,0.022082018927444887,3.24,0.0031545741324921863,3.18,1523937600000.0
196,DSGX,28.55,-0.014010507880910758,28.15,-0.008756567425569177,28.3,1513918800000.0
197,OMER,19.89,-0.008547008547008633,19.72,0.011563599798893938,20.12,1525406400000.0
198,RTRX,28.43,-0.0017587055926838097,28.38,-0.0024621878297573087,28.36,1526356800000.0
199,FIVN,26.54,-0.06405425772418988,24.84,-0.050113036925395565,25.21,1516338000000.0
200,INSY,7.72,0.38212435233160624,10.67,0.05181347150259061,8.12,1533787200000.0
201,CSCO,43.3,0.022863741339491966,44.29,0.021939953810623622,44.25,1523246400000.0
202,MB,39.9,0.010025062656641569,40.3,-0.025062656641604012,38.9,1527220800000.0
203,INSM,23.77,0.02355910811947828,24.33,0.09591922591501897,26.05,1523246400000.0
204,CSGP,354.91,0.017779155278803083,361.22,-0.018680792313544425,348.28,1518670800000.0
205,SCWX,10.81,0.17668825161887142,12.72,0.13506012950971313,12.27,1527652800000.0
206,CNAT,4.3,0.2186046511627908,5.24,0.03023255813953486,4.43,1527220800000.0
207,CNAT,7.5,-0.1586666666666667,6.31,-0.16533333333333336,6.26,1519880400000.0
208,VIVE,3.56,-0.4662921348314607,1.9,-0.15168539325842698,3.02,1524628800000.0
209,VRSN,163.65,-0.02157042468683166,160.12,-0.023464711274060517,159.81,1536292800000.0
210,OLLI,79.7,0.16060225846925968,92.5,0.07214554579673776,85.45,1534392000000.0
211,OLLI,73.5,0.16258503401360547,85.45,0.08435374149659867,79.7,1533787200000.0
212,ULTI,303.49,0.07110613199775935,325.07,0.010280404626182096,306.61,1534824000000.0
213,RETA,77.45,0.0990316333118141,85.12,0.10187217559715946,85.34,1534305600000.0
214,RETA,76.55,-0.06087524493794901,71.89,-0.08647942521227943,69.93,1531713600000.0
215,RETA,25.86,0.11755607115235882,28.9,0.0881670533642692,28.14,1524024000000.0
216,RETA,30.19,-0.12355084465054655,26.46,-0.040079496522027185,28.98,1516078800000.0
217,IBUY,53.15,-0.008831608654750711,52.6806,0.018626528692380094,54.14,1534478400000.0
218,IBUY,50.17,0.04484751843731313,52.42,0.053418377516444085,52.85,1527825600000.0
219,VXRT,3.24,-0.03395061728395071,3.13,-0.03703703703703707,3.12,1530244800000.0
220,LOGM,115.65,0.03458711629917855,119.65,0.031993082576740065,119.35,1513918800000.0
221,BL,40.31,0.10270404366162243,44.45,0.08682709005209625,43.81,1518584400000.0
222,COWN,14.8,0.047297297297297244,15.5,0.030405405405405355,15.25,1523246400000.0
223,TGA,4.05,-0.21481481481481474,3.18,-0.15308641975308634,3.43,1530849600000.0
224,TGA,1.955,0.350383631713555,2.64,-0.01790281329923281,1.92,1525060800000.0
