,code,starttime
853,NXST,2018-06-06
854,NXST,2018-05-11
855,SEIC,2018-01-09
856,SEIC,2018-01-04
857,GSHT,2018-07-24
858,GSHT,2018-01-29
859,ODFL,2018-05-24
860,ODFL,2018-05-04
861,ODFL,2018-01-04
862,NCLH,2018-09-13
863,NCLH,2018-01-09
864,AAON,2018-03-02
865,VTWO,2018-08-17
866,VIVO,2018-06-06
867,VIVO,2018-04-09
868,VIVO,2018-03-02
869,ALKS,2018-05-09
870,GLPI,2018-03-13
871,SCOR,2018-05-25
872,SCOR,2018-05-23
873,SCOR,2018-05-22
874,SCOR,2018-05-21
875,SCOR,2018-05-18
876,SCOR,2018-05-17
877,SCOR,2018-05-16
878,SCOR,2018-05-15
879,SCOR,2018-05-14
880,SCOR,2018-05-11
881,SCOR,2018-05-10
882,SCOR,2018-05-09
883,SCOR,2018-05-08
884,SCOR,2018-05-07
885,SCOR,2018-05-04
886,SCOR,2018-05-03
887,SCOR,2018-05-02
888,SCOR,2018-05-01
889,SCOR,2018-04-30
890,SCOR,2018-04-27
891,SCOR,2018-04-26
892,SCOR,2018-04-25
893,SCOR,2018-04-24
894,SCOR,2018-04-23
895,SCOR,2018-04-20
896,SCOR,2018-04-19
897,SCOR,2018-04-18
898,SCOR,2018-04-17
899,SCOR,2018-04-16
900,SCOR,2018-04-13
901,SCOR,2018-04-12
902,SCOR,2018-04-11
903,SCOR,2018-04-10
904,SCOR,2018-04-09
905,SCOR,2018-04-06
906,SCOR,2018-04-05
907,SCOR,2018-04-04
908,SCOR,2018-04-03
909,SCOR,2018-04-02
910,SCOR,2018-03-29
911,SCOR,2018-03-28
912,SCOR,2018-03-27
913,SCOR,2018-03-26
914,SCOR,2018-03-23
915,SCOR,2018-03-22
916,SCOR,2018-03-21
917,SCOR,2018-03-20
918,SCOR,2018-03-19
919,SCOR,2018-03-16
920,SCOR,2018-03-15
921,SCOR,2018-03-14
922,SCOR,2018-03-13
923,SCOR,2018-03-12
924,SCOR,2018-03-09
925,SCOR,2018-03-08
926,SCOR,2018-03-07
927,SCOR,2018-03-06
928,SCOR,2018-03-05
929,SCOR,2018-03-02
930,SCOR,2018-03-01
931,SCOR,2018-02-28
932,SCOR,2018-02-27
933,SCOR,2018-02-26
934,SCOR,2018-02-23
935,SCOR,2018-02-22
936,SCOR,2018-02-21
937,SCOR,2018-02-20
938,SCOR,2018-02-16
939,SCOR,2018-02-15
940,SCOR,2018-02-14
941,SCOR,2018-02-13
942,SCOR,2018-02-12
943,SCOR,2018-02-09
944,SCOR,2018-02-08
945,SCOR,2018-02-07
946,SCOR,2018-02-06
947,SCOR,2018-02-05
948,SCOR,2018-02-02
949,SCOR,2018-02-01
950,SCOR,2018-01-31
951,SCOR,2018-01-30
952,SCOR,2018-01-29
953,SCOR,2018-01-26
954,SCOR,2018-01-25
955,SCOR,2018-01-24
956,SCOR,2018-01-23
957,SCOR,2018-01-22
958,SCOR,2018-01-19
959,SCOR,2018-01-18
960,SCOR,2018-01-17
961,SCOR,2018-01-16
962,SCOR,2018-01-12
963,SCOR,2018-01-11
964,SCOR,2018-01-10
965,SCOR,2018-01-09
966,SCOR,2018-01-08
967,SCOR,2018-01-05
968,SCOR,2018-01-04
969,SCOR,2018-01-03
