code,name,pe,pb,eps,2014-12-31,2015-12-31,2016-12-31,2017-12-31
APD,空气化工,29.950839000000002,3.235866,5.215212999999999,0.0,0.0,0.0,0.0157
MGM,美高梅,9.133098,2.360611,3.421621,0.0166,-0.1338,0.1234,0.1787
KSS,科尔士百货,13.614146,2.212872,5.210022,0.0,0.0,0.0,0.0
ANDV,Andeavor,11.685194000000001,2.126866,11.604428,0.1273,0.2183,0.1058,0.1255
MPC,马拉松石油,10.566067,2.209548,6.785874000000001,0.2243,0.1458,0.0572,0.1743
UPS,联合包裹,18.966163,71.21109100000001,5.856219,1.405,1.9446,7.9977,4.767
RMD,ResMed Inc,50.61918,7.553456,2.160841,0.0,0.0,0.0,0.0047
AFL,美国家庭寿险,7.161621,1.368746,5.995849,0.1608,0.143,0.1298,0.1872
NRG,NRG能源,0.0,-75.831176,-5.398618,0.011,-1.1164,-0.1984,-1.1422
MO,奥驰亚,10.261764999999999,7.05773,5.588707,1.665,1.8017,1.1119,0.6633
FISV,费哲金融服务,22.694187,10.632126,3.399549,0.2288,0.2677,0.366,0.4562
EVHC,"Envision Healthcare Holdings, Inc.",38.707507,0.840404,1.15869,0.1074,0.1296,0.0272,-0.0035
HIG,哈特福德金融,0.0,1.4513040000000001,-7.956583,0.0426,0.0953,0.053,-0.232
JBHT,JB Hunt运输服务,17.701811,6.866422999999999,6.867094,0.3112,0.3285,0.3055,0.373
BMY,施贵宝,98.471882,7.235513,0.575088,0.1354,0.1131,0.2757,0.0823
SBAC,SBA Communications Corporation,198.41765800000002,-7.284789,0.8249770000000001,0.0368,0.1032,-0.0382,-0.04
PKG,Packaging Corp of America,15.644571,4.718558,7.329699000000001,0.2584,0.2676,0.2557,0.3065
AJG,亚瑟加拉格尔有限公司,24.885633,2.813672,2.800411,0.0989,0.1055,0.1217,0.1198
CCL,嘉年华邮轮,14.902853,1.735641,3.9314620000000002,0.0,0.0,0.0,0.0
RTN,雷神,26.993625,5.61873,7.418048,0.2323,0.1972,0.2087,0.191
STI,太阳信托银行,14.027785999999999,1.446572,4.912393,0.0776,0.0829,0.0799,0.0907
FE,第一能源公司,0.0,2.39744,-1.797316,0.0241,0.0465,-0.9897,-0.4392
URI,联合租赁,9.064601,4.16097,16.791693,0.3007,0.3963,0.3434,0.4334
BHF,Brighthouse Financial Inc,0.0,0.363333,-0.801516,0.0661,0.0665,-0.1978,-0.0259
