code,open,name,pe,pb,eps
AYX,58.75,Alteryx Inc.,0.0,19.414157,-0.203324
DRQ,49.7,Dril-Quip Inc,0.0,1.47484,-2.966246
ARES,23.05,Ares Management L.P.,26.903843,6.672692,0.865118
LTSL,23.15,Ladenburg Thalmann Financial Services Inc.,0.0,0.0,-0.045109
LPG,7.88,Dorian LPG,0.0,0.463893,-0.633085
UMC,2.53,联电,14.392812,0.030225,0.17474
ABEV,4.62,Ambev S.A.,32.381583,1.409031,0.144681
LTSF,23.6,Ladenburg Thalmann Financial Services Inc.,0.0,0.0,-0.083598
ADNT,43.96,Adient PLC,301.685225,1.072985,0.14627
CTL,22.59,世纪电信,10.118885,1.075237,2.261613
DUSL,40.0814,Direxion Daily Industrials Bull 3X Shares,0.0,0.0,0.0
ITT,61.29,ITT Inc.,28.419829,3.216846,2.172075
UMDD,137.97,ProShares UltraPro MidCap400,0.0,0.0,0.0
CVRR,18.3,CVR Refining LP,8.962296,1.998526,2.069782
ITUB,10.66,艾涛巴西联合银行,10.280701,0.555974,1.049053
CN,32.9054,db X-trackers Harvest MSCI All China,0.0,0.0,0.0
PILL,36.9099,Direxion Daily Pharmaceutical &amp; Medical Bull 2X Shares,0.0,0.0,0.0
GSP,17.1923,iPath GSCI Total Return Index ET,0.0,0.0,0.0
LDOS,69.0,Leidos Holdings Inc,24.046459,3.069179,2.897308
OLP,27.66,One Liberty Properties Inc,24.825589,1.800498,1.129077
AAN,53.61,Aarons Inc,12.910466,2.132588,4.166387
GDP,14.28,古德里奇,0.0,3.158024,-0.750981
EIX,67.66,爱迪生国际,53.459377,1.900542,1.285275
HDLV,26.87,UBS ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN,0.0,0.0,0.0
LW,66.88,"Lamb Weston Holdings, Inc.",23.667321,-29.297814,2.830485
FXI,43.41,中国大盘股ETF-iShares,2.66362,1.048215,16.272964
BBY,79.9,百思买,22.11475,6.944945,3.644174
ATO,93.66,ATMOS能源公司,17.325581,2.208101,5.45494
CPT,93.87,卡姆登物业信托,44.490226,2.628791,2.132828
ENY,7.9099,Guggenheim Canadian Energy Incom,0.0,0.0,0.0
TAO,27.95,中国房地产指数ETF-Guggenheim,0.0,0.0,0.0
VNCE,15.32,Vince Holding Corp.,1.394783,2.660977,10.818891
SHG,39.43,新韩金融,6.938563,0.60576,5.683612
URE,67.24,两倍做多房地产ETF-ProShares,0.0,0.0,0.0
CBK,0.819,克里斯托弗·班克斯,0.0,0.782835,-0.620958
JETS,33.26,U.S. Global Jets ETF,0.0,0.0,0.0
EPHE,30.8,Ishares Msci Philippines Investa,0.0,0.0,0.0
TOWR,32.1,Tower International,13.143531,2.242404,2.465091
DZZ,6.575,二倍做空黄金ETN(PowerShares),0.0,0.0,0.0
SMHD,18.65,"ETRACS Monthly Pay 2xLeveraged US Small Cap High Dividend ETN due February 6, 2045",0.0,0.0,0.0
MCHI,61.11,中国ETF-iShares MSCI,0.0,0.0,0.0
MSGN,24.4,MSG Networks Inc.,6.432629,-2.795954,3.832026
BF.A,49.99,布朗霍文集团,32.631202,17.64955,1.537792
ETP,22.47,Energy Transfer Partners,19.131397,1.032872,1.182611
ERJ,18.76,ERJ航空,0.0,0.927266,-0.0388
PXI,42.67,PowerShares Dynamic Energy Secto,0.0,0.0,-12.39523
HEI.A,73.9,海科航空,35.115025,7.421795,2.121599
SKX,26.68,斯凯奇,22.347571,2.1739,1.203934
GIS,44.51,通用磨坊,12.155838,4.360243,3.694521
CHAP,18.8," Chaparral Energy, Inc.",0.0,1.070327,-3.419137
BF.B,49.49,布朗霍文,33.418032,17.545791,1.492757
MAN,85.57,万宝盛华人力资源,9.678947,2.031361,8.938989
DPZ,285.0,达美乐比萨,39.265049,-4.075739,7.286633
RDC,17.3,罗文,0.0,0.429773,-0.762703
MSI,126.2,摩托罗拉解决方案,0.0,-13.739379,-0.388983
GXC,98.19,中国ETF-SPDR S&P,0.0,0.0,0.0
OIBR.C,2.53,Oi SA,0.0,0.0,-2.77
NAT,2.135,Nordic American Tanker,0.0,0.467297,-2.107813
BPY,20.42,Brookfield Property Partners L.P,11.765793,1.004486,1.764437
BMY,61.75,施贵宝,253.609065,8.276638,0.246324
UCO,33.6,二倍做多彭博原油ETF,0.0,0.0,0.0
UTSL,26.7,Direxion Daily Utilities Bull 3X Shares,0.0,0.0,0.0
TPVG,13.16,Triplepoint Venture Growth BDC Corp,9.603014,1.327962,1.367279
ECNS,46.4999,中国小型股指数ETF-iShares MSCI,0.0,0.0,0.0
REML,27.0,Credit Suisse AG,0.0,0.0,0.0
UHT,72.18,Universal Health Realty Income T,39.517466,4.832177,1.850321
EZA,54.12,iShares MSCI South Africa Index,2.95026,0.71841,18.554295
ERX,36.4,三倍做多能源ETF-Direxion,0.0,0.0,0.0
LMLP,17.22,ETRACS Monthly Pay 2xLeveraged Wells Fargo MLP Ex-Energy ETN,143.288337,0.0,0.12
RYE,61.9439,Rydex ETF Trust Rydex S&P Equal,0.0,0.0,0.0
GD,203.76,通用动力,20.400377,5.067835,10.056432
HPE,16.98,惠普企业,8.447498,1.071729,2.019533
NFX,28.52,新田,14.828006,3.46657,1.939573
AXSM,3.25,"Axsome Therapeutics, Inc.",0.0,12.310069,-1.071496
LXU,9.9,LSB工业材料,0.0,0.72797,-2.932274
OMC,69.61,宏盟集团,14.11533,6.80638,4.988902
RNGR,8.54,Ranger Energy Services Inc.,0.0,0.783551,-0.827611
ETE,17.57,能源转换,16.52493,-18.54377,1.069596
SU,38.92,森科能源,217.611102,1.861855,0.18
IT,156.39,加特纳,171.769967,15.636839,0.923619
TZA,8.06,罗素2000指数三倍做空ETF,0.0,0.0,0.0
RUSS,18.41,三倍做空俄罗斯ETF,0.0,0.0,0.0
NXN,12.63,Nuveen New York Select Tax-Free,30.241318,0.92095,0.424254
PIE,18.38,PowerShares DWA Emerging Markets,0.0,0.0,0.0
SAP,121.15,SAP SE,27.825638,4.919884,4.36468
WBT,21.96, Manitowoc Food Service,24.96233,22.034205,0.887337
LZB,32.4,La-Z-Boy家具,17.690438,2.474184,1.839977
ORCL,50.83,甲骨文,52.197199,5.262405,0.976585
RTN,201.36,雷神,24.438074,5.458855,8.305892
RLJ,22.78,RLJ Lodging Trust,60.590771,1.27868,0.378523
DXC,95.27,DXC Technology Company,14.754294,2.348888,6.495736
APTV,90.69,Aptiv PLC,19.296376,6.817961,4.701919
DSW,31.92,DSW鞋类专卖,1367.379883,2.812734,0.023556
NOW,188.37,ServiceNow,0.0,37.782907,-0.653156
GES,22.73,Guess Inc,1240.552768,2.18574,0.018524
FBP,9.01,第一万能金控,26.240122,1.08237,0.348131
TTI,4.33,Tetra Technologies Inc,0.0,3.139132,-0.728406
EHIC,11.5,一嗨租车,42.931934,1.230007,0.270661
EET,75.7233,ProShares Ultra MSCI Emerging Ma,0.0,0.0,0.0
CVA,16.85,卡万塔控股,6.995039,3.864275,2.433868
PBT,8.25,帕米亚盆地皇室信托,13.126736,782.416744,0.63344
PRI,119.45,Primerica,14.027871,3.698798,8.56331
CATO,20.41,加图商场,28.292696,1.486649,0.72881
CANE,6.97,Teucrium Sugar Fund,0.0,0.0,-4.02
EDC,85.86,新兴市场ETF-Direxion三倍做多,0.0,0.0,0.0
DLX,56.33,豪华,11.501774,2.513248,4.933152
IPG,22.78,埃培智,15.350028,4.262835,1.491854
SPOT,175.31,Spotify Technology S.A.,0.0,26.713374,-10.933668
CSX,72.75,CSX运输,10.756729,4.523637,6.859892
PKE,19.77,Park Electrochemical Corp,18.058347,2.957725,1.105306
TDF,20.09,Templeton Dragon Fund Inc,5.704821,0.809025,3.505807
HPP,31.77,Hudson Pacific Properties,46.198911,1.368693,0.695038
INT,28.0,全球燃料服务,0.0,1.087105,-2.507314
SM,31.42,SM Energy,16.081254,1.291991,1.960668
BOIL,29.53,ProShares Ultra Bloomberg Natural Gas,0.0,0.0,0.0
NS,27.12,纽星能源,24.456516,1.756397,1.123218
PSX,109.82,Phillips 66,9.484734,2.295458,11.747826
PICK,32.54,iShares MSCI Global Metals & Mining Producers ETF,0.0,0.0,0.0
WU,18.73,西联汇款,0.0,-18.735372,-0.942377
ESS,245.46,埃塞克斯信托,43.706843,2.575609,5.669135
DFS,79.53,发现金融,12.673718,2.659036,6.322533
CRK,8.65,康斯托克能源,0.0,-2.070123,-9.53521
PER,2.575,Sandridge Permian Trust,5.701709,1.115657,0.451619
SAIC,77.63,Science Applications Internation,17.414879,9.06416,4.495581
MOV,41.05,摩凡陀,1502.622788,2.060921,0.027452
LADR,16.91,Ladder Capital Corp,10.421838,1.267605,1.633589
DDR,13.81,DDR Corp,0.0,1.183235,-0.93942
AMN,51.2,AMN Healthcare Services Inc,16.761861,3.988904,3.090349
PXE,26.8476,PowerShares Dynamic Energy Exploration & Production Portfolio,6.184269,2.286086,4.341273
LMT,334.07,洛克希德马丁,37.132056,228.985172,9.058545
ST,52.02,Sensata Technologies Holding,19.758794,3.51374,2.643886
LNN,100.02,Lindsay Corporation,49.538618,3.876967,2.01893
AGM,78.72,联邦农业抵押贷款公司,10.029702,1.507123,7.908012
EVRI,9.38,Everi Holdings Inc,0.0,-5.475816,-0.34809
REX,75.59,REX American Resources,9.792383,1.252411,7.755007
IRM,35.525,爱恩铁山,54.623922,4.992388,0.656672
IDT,5.22,万威,0.0,4.941669,-0.607185
KAMN,67.91,Kaman,32.015695,2.9689,2.129112
CP,208.07,加拿大太平洋铁路,24.345854,6.166728,8.599
DNOW,16.84,NOW Inc.,460.22497,1.547918,0.036895
FLT,224.37,FleetCor科技,24.147748,5.764518,9.288237
TIER,23.19,Tier Technologies Inc.,0.0,1.720076,-0.374013
NVTA,16.92,Invitae Corporation,0.0,8.491109,-2.486977
CR,97.5,Crane Co,31.035518,4.058957,3.167661
GSBD,22.37,"Goldman Sachs BDC, Inc.",13.64268,1.249338,1.6551
MDLY,5.4,Medley Management,0.0,-2.89701,-0.402242
AA,43.35,美国铝业,57.119202,1.608256,0.758589
DK,44.18,Delek US Holdings,8.955583,2.411911,4.982367
UGA,35.02,United States Gasoline Fund LP,0.0,0.0,-25.99
AGRO,7.69,Adecoagro SA,0.0,1.793303,-0.197313
NRG,35.83,NRG能源,0.0,-29.892686,-3.185348
CRM,157.07,Salesforce,159.411232,8.778011,0.984435
MED,213.75,快验保,64.217471,25.089066,3.362792
MHLA,17.3,"Maiden Holdings, Ltd.",0.0,2.327525,-2.208473
ATTO,8.2,Atento,0.0,1.883304,-0.278518
GHL,27.45,格林希尔事务所,0.0,5.743199,-0.399587
ASHS,25.68,德银沪深中证500指数ETF,9.23741,0.0,2.78
ARD,16.58,Ardagh Group S.A.,26.592123,-3.083178,0.63139
SO,43.21,美国南方公司,18.676507,1.874152,2.338767
FUN,51.74,雪松娱乐,15.784166,-41.921518,3.29726
IHG,62.71,洲际酒店,20.707872,-10.209728,3.033629
SAM,297.4,波斯顿啤酒,36.586205,7.721674,8.134213
LXFR,23.51,Luxfer Holdings,28.999683,3.469249,0.813802
DEUR,25.94,Citigroup Global Markets Holdings linked to the VelocityShares Daily 4X Long USD,0.0,0.0,0.0
FRN,13.51,Guggenheim Frontier Markets ETF,0.0,0.0,0.0
PMR,41.5,PowerShares ETF Trust Dynamic Re,23.382947,1.138356,1.784976
EWT,37.59,台湾ETF-iShares MSCI,6.759978,1.016288,5.550314
FEI,12.44,First Trust Mlp And Energy Incom,0.0,0.0,0.0
ATUS,19.24,Altice USA Inc.,7.221037,3.700807,2.683825
EQR,67.18,资产住宅公司,42.637357,2.461089,1.594142
SA,11.3,Seabridge Gold,0.0,2.374991,-0.12
TKR,51.85,铁姆肯,15.8802,2.634759,3.274518
DL,8.07,正保教育,34.317089,7.090427,0.236034
MXL,19.6,MaxLinear,0.0,3.377959,-0.618564
HSY,104.02,好时,21.334725,20.802826,4.891092
TX,29.91,特尔尼翁钢铁,5.544891,1.12686,5.442848
HRTG,15.69,Heritage Insurance Holdings,84.361308,1.047599,0.186045
SPG,180.07,西蒙地产,25.038028,16.879112,7.255763
SPG,180.07,西蒙地产,25.038028,16.879112,7.255763
PUW,26.8,PowerShares WilderHill Progressi,0.0,0.0,-3.89385
TSS,97.62,Total System Services,27.609439,7.151044,3.552046
TWM,13.28,罗素2000指数两倍做空ETF,0.0,0.0,0.0
LYB,104.94,利安德巴塞尔,7.119725,3.870105,14.802538
