code,open,name,pe,pb,eps
RBUS,28.0,Nationwide Risk-Based U.S. Equity ETF,0.0,0.0,0.0
RBIN,25.71,Nationwide Risk-Based International Equity ETF,0.0,0.0,0.0
RAAX,25.52,VanEck Vectors Real Asset Allocation ETF,0.0,0.0,0.0
QXTR,26.491,QuantX Risk Managed Multi-Asset Total Return ETF,0.0,0.0,0.0
QXRR,23.9429,QuantX Risk Managed Real Return ETF,0.0,0.0,0.0
QXMI,25.08,QuantX Risk Managed Multi-Asset Income ETF,0.0,0.0,0.0
QXGG,29.1,QuantX Risk Managed Growth ETF,0.0,0.0,0.0
QTUM,24.87,Defiance Quantum ETF,0.0,0.0,0.0
QMOM,33.22,MomentumShares US Quantitative Mom ETF,0.0,0.0,0.0
QINT,41.35,American Century Quality Diversified International ETF,0.0,0.0,0.0
QGRO,39.94,American Century STOXX U.S. Quality Growth ETF,0.0,0.0,0.0
QDIV,25.89,Global X S&P 500 Quality Dividend ETF,0.0,0.0,0.0
PYPE,24.24,UBS ETRACS NYSE Pickens Core Midstream Index,0.0,0.0,0.0
PW,6.14,Power REIT,23.844846,1.353409,0.257498
PSMM,13.3199,PowerShares Moderately Conservative Multi-Asset Allocation Portfolio,0.0,0.0,0.0
PSMG,14.3912,PowerShares Growth Multi-Asset Allocation Portfolio,0.0,0.0,0.0
PSMC,12.92,PowerShares Conservative Multi-Asset Allocation Portfolio,0.0,0.0,0.0
PSMB,13.75,PowerShares Balanced Multi-Asset Allocation Portfolio,0.0,0.0,0.0
PRME,21.04,First Trust Exchange-Traded Fund IV,0.0,0.0,0.0
PRID,26.9715,InsightShares LGBT Employment Equality ETF,0.0,0.0,0.0
PPTB,25.0848,Portfolio Total Bond Markets ETF,0.0,0.0,0.0
PPMC,27.7,Portfolio S&PA Mid Cap ETF,0.0,0.0,0.0
PPEM,21.23,Portfolio Emerging Markets ETF,0.0,0.0,0.0
PPDM,23.2,Portfolio Developed Markets ETF,0.0,0.0,0.0
PLYM,15.82,Plymouth Industrial Reit Inc.,0.0,-4.649457,-5.506377
PJUL,25.6682,Innovator S&P 500 Power Buffer ETF,0.0,0.0,0.0
PHF,7.98,Pacholder High Yield Fund Inc,6.045454,0.0,1.32
PGMB,40.39,iPath Series B Bloomberg Platinum Subindex Total Return ETN,0.0,0.0,-0.399
PFFR,24.3526,ETFIS Series Trust I ETF,0.0,0.0,0.0
PEXL,25.67,Pacer US Export Leaders ETF,0.0,0.0,0.0
PBUS,29.295,PowerShares PureBeta MSCI USA Portfolio,0.0,0.0,0.0
PBTP,24.71,PowerShares PureBeta 0-5 Yr US TIPS Portfolio,0.0,0.0,0.0
PBSM,30.0,PowerShares PureBeta MSCI USA Small Cap Portfolio,0.0,0.0,0.0
PBND,24.02,PowerShares PureBeta US Aggregate Bond Portfolio,0.0,0.0,0.0
PBEE,23.5492,PowerShares PureBeta FTSE Emerging Markets Portfolio,0.0,0.0,0.0
PBDM,24.5,PowerShares PureBeta FTSE Developed ex-North America Portfolio,0.0,0.0,0.0
OSCV,25.8594,Opus Small Cap Value Plus ETF,0.0,0.0,0.0
ORM,16.5,Owens Realty Mortgage Inc.,0.0,0.728797,-0.095172
OPER,100.32,ClearShares Ultra-Short Maturity ETF,0.0,0.0,0.0
ONTL,26.801,O'Shares FTSE Russell International Quality Dividend ETF,0.0,0.0,0.0
ONEY,73.6224,SPDR Russell 1000 Yield Focus ETF,0.0,0.0,0.0
ONEV,77.9747,SPDR Russell 1000 Low Volatility Focus ETF,0.0,0.0,0.0
OILX,42.57,UBS ETRACS S&P GSCI Crude Oil Total Return Index,0.0,0.0,0.0
NUMV,29.2233,NuShares ESG Mid-Cap Value ETF,0.0,0.0,0.0
