code,open,name,pe,pb,eps
PTGX,8.38,Protagonist Therapeutics Inc,0.0,1.907169,-1.131326
CVV,6.1,CVD设备,17.792659,0.997064,0.34793
SAUC,1.37,"Diversified Restaurant Holdings, Inc. ",0.0,-1.981545,-0.817474
LPTH,2.04,LightPath Technologies,49.062346,1.516131,0.042393
STCN,2.05,Steel Connect,3.754502,1.055233,0.556665
TURN,2.16,180 Degree Capital Corp.,4.701817,0.748799,0.463927
SIR,20.88,Select Income REIT,24.220223,0.916227,0.877366
CMTL,32.81,康姆泰克通讯,26.663442,1.581566,1.248901
FTFT,1.25,未来金融科技,0.0,4.773063,-20.558744
RYTM,31.18,Rhythm Pharmaceuticals Inc.,0.0,3.786326,-2.427725
HLNE,46.69,Hamilton Lane Inc,45.664393,14.638864,1.03538
LOAN,6.1,曼哈顿大桥投资股份,13.532278,2.591316,0.460898
FORK,3.4,富岭环球有限公司,8.760025,0.951992,0.398355
GSHD,34.98,Goosehead Insurance,0.429324,5.870485,82.688187
KFRC,37.7,K力,22.754477,6.261986,1.673297
AWRE,3.6,艾卫,439.453387,1.315157,0.008306
CHCI,2.68,康斯托克住宅建筑,0.0,-0.787953,-1.891252
PAVM,1.26,PAVmed Inc.,0.0,6.883645,-0.842366
CBAN,18.35,科勒尼,16.372833,1.754871,1.120759
ACOR,18.15,阿索尔达生物制药公司,0.0,1.440244,-3.453738
MIDD,127.96,The Middleby Corporation,24.144848,4.797821,5.353109
ZN,1.04,锡安石油和天然气,0.0,2.184439,-0.156671
TTEC,26.0,TeleTech Holdings,0.0,3.756762,-0.362286
SEDG,42.8,"SolarEdge Technologies, Inc.",16.150966,4.065282,2.682502
EMCG,21.95,WisdomTree Emerging Markets Consumer Growth Fund,0.0,0.0,0.0
MBNAA,12.16,Mercantil Bank Holding Corp.,0.0,0.0,0.0
CAPR,1.12,Capricor Therapeutics Inc,7.343635,3.623466,0.154542
HMHC,7.5,Houghton Mifflin Harcourt Co,0.0,1.287266,-0.485983
PME,2.27,平潭海洋实业有限公司,12.454042,1.401825,0.184679
BOTJ,16.11,Bank of the James Financial Grou,18.572039,1.34294,0.867433
UXIN,5.3,优信,0.0,3.229918,-38.417156
HDSN,1.3,哈德森科技,0.0,0.467305,-0.822327
AROW,37.6,箭牌金融,15.848998,2.13636,2.422866
PRIM,25.15,Primoris Services Corporation,23.529435,2.312397,1.078224
ZBIO,13.85,ProShares UltraPro Short NASDAQ Biotechnology,0.0,0.0,0.0
BYFC,1.54,百老汇金融,0.0,0.870958,-0.00418
PETX,6.07,Aratana Therapeutics Inc.,0.0,3.145313,-0.900162
EDUC,11.55,Educational Development Corporation,16.474835,4.392872,0.710174
ALGT,127.3,Allegiant Travel Company,9.942096,3.226144,12.944956
PLYA,9.34,Playa Hotels & Resorts NV,147.596293,1.438076,0.064026
ATOS,1.59,Atossa Genetics Inc,0.0,1.042886,-1.45936
NEON,0.2613,Neonode Inc,0.0,1.786827,-0.078933
EYEN,4.75,Eyenovia Inc.,0.0,2.021654,-2.05444
SMCP,27.19,AlphaMark Actively Managed Small Cap ETF,0.0,0.0,0.0
EXFO,4.0,EXFO Inc,21.052632,0.470112,0.19
DGLY,4.0,Digital Ally,0.0,-19.719304,-1.769949
FEYE,16.74,FireEye Inc.,0.0,4.875304,-1.64259
BZUN,49.5,宝尊电商,78.257345,9.277004,0.623967
DAKT,7.92,Daktronics,216.640579,1.795206,0.037066
FBZ,11.12,First Trust Brazil AlphaDEX Fund,0.0,0.0,0.0
CELGZ,1.58,Celgene Corporation,0.84375,0.0,1.92
VIRC,4.0,Virco Manufacturing Corporation,0.0,1.067315,-0.272407
OMED,2.42,"OncoMed Pharmaceuticals, Inc.",0.0,2.127546,-0.276089
PTVCA,22.7,Protective Insurance Corp,11.761658,0.0,1.93
UIHC,20.84,United Insurance Holdings Corp,45.96289,1.658696,0.459066
SREV,2.82,ServiceSource International,0.0,2.527474,-0.281707
HEAR,20.34,Parametric Sound Corp.,11.672472,56.471088,1.744275
NGHC,25.97,National General Holdings Corp,20.438264,1.794786,1.28142
LIVE,9.89,LiveDeal,3.021873,0.490677,3.272805
KCAP,3.29,科尔伯格资本,69.79105,0.69634,0.047284
BRKR,32.61,布鲁克,56.285595,6.664035,0.58825
RIOT,4.28,"Riot Blockchain, Inc.",0.0,3.465631,-5.201001
TRVN,1.66,Trevena Inc,0.0,3.263815,-0.768333
PTI,2.46,"Proteostasis Therapeutics, Inc.",0.0,1.622058,-1.8082
DFFN,0.458,Diffusion Pharmaceuticals Inc,1.246095,0.815078,0.353103
STRT,33.05,Strattec Security Corporation,9.820975,0.766458,3.385611
FSCT,39.89,Forescout Technologies Inc,0.0,14.600754,-2.840753
PDEX,12.55,Pro-Dex,33.459648,3.166193,0.376573
MARA,0.87,Marathon Patent Group Inc.,0.0,2.62934,-4.048035
SELF,4.2,"Global Self Storage, Inc.",105.105103,0.850515,0.03996
LRGE,34.0,ClearBridge Large Cap Growth ESG ETF,0.0,0.0,0.0
ALTR,39.92,Altair Engineering Inc.,0.0,14.015842,-1.622536
NDLS,12.45,Noodles & Company,0.0,21.172019,-0.227907
ICCH,15.19,"ICC Holdings, Inc",59.706304,0.774765,0.254412
ESG,69.87,FlexShares STOXX US ESG Impact Index Fund,0.0,0.0,0.0
TTWO,132.08,Take-Two Interactive Software,80.898371,8.143471,1.637981
CMPR,144.29,Cimpress N.V.,103.438662,48.210852,1.413108
ARLP,19.4,Alliance Resource Partners,7.325043,2.057413,2.672776
GWRS,10.08,"Global Water Resources, Inc. ",30.875131,14.106901,0.33195
FTXN,24.26,First Trust Nasdaq Oil & Gas ETF,0.0,0.0,0.0
BGNE,164.03,百济神州,0.0,8.032084,-4.451383
SMIT,2.86,Schmitt Industries,0.0,1.201849,-0.150944
OBAS,8.6,阿贝斯,0.0,0.831376,-0.449639
MRTX,60.1,Mirati Therapeutics Inc.,0.0,8.006092,-2.764444
FCFS,82.6,第一富金融服务,23.140457,2.806721,3.584631
SBBP,4.4,Strongbridge Biopharma plc,0.0,23.189012,-2.138697
NAOV,4.4,NanoVibronix Inc,0.0,7.851665,-1.014531
ITI,5.2,Iteris,0.0,4.571938,-0.140678
FWP,2.6,Forward Pharma A/S,0.0,1.467319,-0.631483
LLIT,1.71,联络智能,0.0,3.51295,-0.368699
BIOS,3.09,拜尔斯普保健,0.0,-3.431977,-0.412251
LMRK,13.25,Landmark Infrastructure Partners LP,19.320909,1.024595,0.696137
SYNL,22.2,Synalloy Corporation,27.124067,2.029054,0.831365
IMV,5.29,IMV Inc,0.0,0.0,0.0
RELL,9.11,理查森电子,30.75282,0.873508,0.296233
CONN,36.2,科恩,33.312589,2.027446,1.094181
PVBC,26.95,"Provident Bancorp, Inc.",28.243336,2.194714,0.96837
NTIC,34.55,Northern Technologies Intl Corp.,26.634613,3.058265,1.310325
BRQS,4.6,"Borqs Technologies, Inc.",0.0,2.704749,-1.050873
PDFS,9.13,PDF Solutions,0.0,1.477691,-0.142533
MIK,16.47,The Michaels Companies,9.015998,-1.675981,1.84339
SPRT,2.75,support.com,0.0,0.923377,-0.023471
CEMI,9.15,Chembio Diagnostics,0.0,5.989534,-0.380863
SOHU,21.22,搜狐,0.0,1.322238,-13.852162
CIVB,23.97,"Civista Bancshares, Inc. ",15.238533,2.078314,1.592673
CBMG,20.95,Cellular Biomedicine Group Inc.,0.0,5.069602,-1.944346
TRIP,49.68,猫途鹰,0.0,5.118965,-0.149944
HMTV,14.0,Hemisphere Media Group Inc.,0.0,2.451434,-0.854685
ULBI,8.75,Ultralife Corporation,16.243293,1.703633,0.553767
MTBC,4.69,Medical Transcription Billing,0.0,1.924524,-0.358469
TISA,0.96,Top Image Systems,0.0,1.222246,-0.365862
TCRD,8.04,THL Credit,0.0,0.789557,-0.198088
ATLC,2.85,Atlanticus Holdings Corporation,0.0,-1.254307,-2.283289
STRS,32.85,Stratus Properties,57.203616,2.17655,0.582131
MIME,41.45,Mimecast Ltd,0.0,18.078117,-0.241181
SKIS,5.0,"Peak Resorts, Inc.",0.0,1.246138,-0.246595
BVXV,5.79,BiondVax Pharmaceuticals Ltd.,0.0,8.711948,-2.10636
WDFC,174.35,WD-40 Company,42.645063,16.41746,4.1224
RRD,5.8,当纳利,0.0,-1.578487,-1.187325
RYAAY,95.94,Ryanair Holdings plc,14.95679,4.412613,6.48
ARNA,43.02,阿里那,0.0,3.843034,-2.545739
