code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
ADMA,140.17万_--,202.77万_44.66%,119.27万_-41.18%,128.17万_7.46%,150.31万_--,212.39万_41.30%,262.89万_23.78%,404.20万_53.75%,140.17万_--,202.77万_44.66%,119.27万_-41.18%,128.17万_7.46%,134.60万_--,170.79万_26.89%,427.74万_150.45%,521.63万_21.95%
ADMP,135.53万_--,340.08万_150.93%,150.99万_-55.60%,224.91万_48.96%,--_--,--_--,303.79万_--,317.92万_4.65%,135.53万_--,340.08万_150.93%,150.99万_-55.60%,224.91万_48.96%,279.35万_--,261.64万_-6.34%,557.27万_112.99%,647.38万_16.17%
ADMS,753.30万_--,752.20万_-0.15%,708.80万_-5.77%,718.80万_1.41%,22.60万_--,17.50万_-22.57%,0.00元_-100.00%,255.30万_INF%,753.30万_--,752.20万_-0.15%,708.80万_-5.77%,718.80万_1.41%,491.90万_--,664.10万_35.01%,914.40万_37.69%,2636.30万_188.31%
ADNT,--_--,--_--,--_--,--_--,52.73亿_--,42.33亿_-19.72%,40.26亿_-4.89%,42.04亿_4.42%,--_--,--_--,--_--,--_--,3.09亿_--,2.53亿_-18.12%,2.17亿_-14.23%,1.96亿_-9.68%
ADOM,0_0,6.30万_--,5.90万_-6.35%,15.60万_164.41%,0_0,--_--,--_--,46.40万_--,0_0,6.30万_--,5.90万_-6.35%,15.60万_164.41%,0_0,109.20万_--,129.70万_18.77%,391.70万_202.00%
ADP,0_0,--_--,--_--,--_--,0_0,27.14亿_--,29.17亿_7.48%,30.77亿_5.49%,0_0,--_--,--_--,--_--,0_0,6.05亿_--,6.48亿_7.11%,6.75亿_4.17%
ADRO,1064.60万_--,2092.70万_96.57%,2057.20万_-1.70%,2012.80万_-2.16%,957.40万_--,403.00万_-57.91%,377.20万_-6.40%,662.70万_75.69%,1064.60万_--,2092.70万_96.57%,2057.20万_-1.70%,2012.80万_-2.16%,621.00万_--,913.60万_47.12%,841.00万_-7.95%,919.70万_9.36%
ADS,--_--,--_--,--_--,--_--,15.52亿_--,16.76亿_7.99%,18.79亿_12.11%,18.84亿_0.27%,--_--,--_--,--_--,--_--,1.52亿_--,1.56亿_2.63%,1.69亿_8.33%,1.55亿_-8.28%
ADSK,0_0,1.95亿_--,1.94亿_-0.51%,1.88亿_-3.09%,0_0,6.46亿_--,5.12亿_-20.74%,4.86亿_-5.08%,0_0,1.95亿_--,1.94亿_-0.51%,1.88亿_-3.09%,0_0,3.39亿_--,3.23亿_-4.72%,3.40亿_5.26%
ADSW,0_0,--_--,--_--,--_--,0_0,3.34亿_--,3.47亿_3.89%,3.65亿_5.19%,0_0,--_--,--_--,--_--,0_0,1.06亿_--,1.06亿_0.00%,1.10亿_3.77%
ADT,--_--,--_--,--_--,--_--,8.87亿_5.72%,9.00亿_1.47%,10.59亿_17.67%,11.16亿_5.38%,--_--,--_--,--_--,--_--,3.18亿_4.61%,3.30亿_3.77%,3.53亿_6.97%,3.05亿_-13.60%
ADTN,3253.60万_--,2948.80万_-9.37%,3197.10万_8.42%,3284.90万_2.75%,1.43亿_--,1.42亿_-0.70%,1.70亿_19.72%,1.21亿_-28.82%,3253.60万_--,2948.80万_-9.37%,3197.10万_8.42%,3284.90万_2.75%,3106.40万_--,3078.50万_-0.90%,3478.90万_13.01%,3353.10万_-3.62%
ADUS,--_--,--_--,--_--,--_--,8191.50万_--,9260.20万_13.05%,1.02亿_10.15%,1.09亿_6.86%,--_--,--_--,--_--,--_--,1829.90万_--,2366.60万_29.33%,2038.90万_-13.85%,2326.60万_14.11%
ADVM,562.10万_--,745.50万_32.63%,906.10万_21.54%,1279.40万_41.20%,20.30万_--,26.50万_30.54%,46.20万_74.34%,21.60万_-53.25%,562.10万_--,745.50万_32.63%,906.10万_21.54%,1279.40万_41.20%,414.30万_--,831.80万_100.77%,798.90万_-3.96%,536.80万_-32.81%
ADX,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
ADXS,0_0,1306.50万_--,1364.86万_4.47%,1675.10万_22.73%,0_0,25.00万_--,379.08万_1416.32%,205.60万_-45.76%,0_0,1306.50万_--,1364.86万_4.47%,1675.10万_22.73%,0_0,713.68万_--,732.78万_2.68%,585.20万_-20.14%
AEE,0_0,--_--,--_--,--_--,0_0,14.34亿_--,15.15亿_5.65%,15.85亿_4.62%,0_0,--_--,--_--,--_--,0_0,2.07亿_--,6.39亿_208.70%,6.65亿_4.07%
AEG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AEGN,0_0,0_0,--_--,--_--,0_0,0_0,3.25亿_--,3.25亿_0.00%,0_0,0_0,--_--,--_--,0_0,0_0,5274.60万_--,5614.20万_6.44%
