close,high,time,low,open,t,volumne
0.15,0.15,1533268800,0.11,0.11,718200,6420
0.22,0.22,1533528000,0.22,0.22,220000,1000
0.23,0.23,1533614400,0.22,0.22,204000,900
0.1651,0.16519999999999999,1533700800,0.165,0.165,5282560,32000
0.1804,0.1804,1533787200,0.1804,0.1804,180400,1000
0.1754,0.18969999999999998,1533873600,0.175,0.18969999999999998,843075,4750
0.1754,0.1754,1534132800,0.1754,0.1754,0,0
0.1754,0.1754,1534219200,0.1754,0.1754,0,0
0.175,0.23,1534305600,0.175,0.1751,1774250,9900
0.1006,0.2297,1534392000,0.1005,0.2175,568618,5078
0.1006,0.1006,1534478400,0.1006,0.1006,0,0
0.1006,0.1006,1534737600,0.1006,0.1006,0,0
0.1492,0.15,1534824000,0.122,0.15,2311971,17250
0.1499,0.15,1534910400,0.122,0.122,2251489,15200
0.15,0.15,1534996800,0.1497,0.15,434700,2900
0.15,0.15,1535083200,0.15,0.15,0,0
0.15,0.15,1535342400,0.15,0.15,0,0
0.15,0.15,1535428800,0.15,0.15,0,0
0.15,0.15,1535515200,0.15,0.15,0,0
0.15,0.15,1535601600,0.15,0.15,60000,400
0.15,0.15,1535688000,0.15,0.15,0,0
0.122,0.122,1536033600,0.122,0.122,622200,5100
0.122,0.122,1536120000,0.122,0.122,0,0
0.13,0.13,1536206400,0.13,0.13,143000,1100
0.13,0.13,1536292800,0.13,0.13,390000,3000
0.13,0.13,1536552000,0.13,0.13,0,0
0.13,0.13,1536638400,0.13,0.13,0,0
0.13,0.13,1536724800,0.13,0.13,0,0
0.13,0.13,1536811200,0.13,0.13,0,0
0.13,0.13,1536897600,0.13,0.13,0,0
0.1323,0.1323,1537156800,0.1323,0.1323,52920,400
0.13069999999999998,0.13069999999999998,1537243200,0.13,0.13,78210,600
0.13069999999999998,0.13069999999999998,1537329600,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537416000,0.13069999999999998,0.13069999999999998,0,0
0.13069999999999998,0.13069999999999998,1537502400,0.13069999999999998,0.13069999999999998,1300,10
