code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,month_rs,price,volume_end,volume_start,year,year_rs
LVS,金沙集团,13.660414,7.214495,4.797805,676000000,0.0579,166,0.521363779,53.62433735,108344844.4,298168157.8,13,0.360555103
CROX,卡骆驰,126.145583,7.021519,0.162035,34377000,0.5655,152,0.520339887,15.26404605,24398795.36,72301432.89,12,0.379473261
LWAY,来福威食品,0,1.303493,-0.078187,170000,-0.8359,252,0.519835418,7.80734127,376043.6429,1221072.222,21,0.384385153
ZIXI,Zix Corporation,0,6.27341,-0.134719,1840000,0.6155,252,0.519138323,7.101388889,7492085.81,8580023.016,21,0.362194395
AKS,AK钢铁控股公司,0,47.326741,-0.223233,72300000,-0.2175,252,0.51823828,12.86944444,206984887.3,28564840.48,21,0.434845935
AMKR,艾马克技术公司,10.218262,1.185514,0.845545,33184000,-0.7151,245,0.516867381,9.878530612,32184453.61,39171995.9,20,0.433090224
KLIC,库力索法半导体,26.00152,1.962623,0.985327,60256000,0.731,252,0.515292813,11.66198413,16479772.58,25715765.87,21,0.401581612
SBLK,Star Bulk Carriers Corp,22.776572,1.065397,0.59008,10728000,2.0437,130,0.512618873,823.5152423,4594587.969,76240.46154,10,0.405207631
KTCC,Key Tronic Corporation,39.062499,0.678278,0.196096,1258000,-0.0584,252,0.511853348,5.211307937,737550.7302,716034.127,21,0.412833653
SM,SM Energy,15.49982,1.245278,1.960668,17197000,1.1434,252,0.510250341,31.70748016,35281495.07,7264976.984,21,0.369640259
ENTG,英特格,38.109278,4.506248,0.879051,54349000,0.359,219,0.510205192,11.60844749,18147155.99,14405813.76,18,0.366249222
GVP,GSE Systems,15.649382,2.272099,0.223651,981000,0.1862,252,0.510093629,3.322775,921625.754,318974.6032,21,0.40045861
LTRX,创力,154.454593,4.598344,0.037422,752000,15.4615,218,0.509455129,7.772587615,919795.3303,540168.8073,18,0.410814345
BPI,Bridgepoint Education,21.440175,2.388248,0.594678,17231000,1.729,114,0.508980398,13.50929825,3489813.807,8945098.246,9,0.347054129
MGIC,Magic Software Enterprises Ltd,22.496545,2.098458,0.402284,6800000,0.6342,252,0.508326235,4.559779762,2326339.373,2095819.841,21,0.346478593
HIMX,奇景光电,41.655801,2.506885,0.1534,1396000,2.4201,151,0.507433973,5.575198675,82680602.89,10731532,12,0.407010908
MTW,马尼托沃克,18.054488,1.225099,1.271706,9700000,18.4,252,0.506198918,53.84600516,14345117.02,4023933.135,21,0.399039907
ANGI,安吉斯里斯特,0,10.001093,-0.275176,23023000,921.92,83,0.506148506,11.86418675,14080098.55,18638460.98,6,0.376652584
CLF,克里夫天然资源公司,6.406844,-9.610769,1.542101,165000000,4.485,252,0.505785264,21.8072619,157630957.5,27389128.57,21,0.413485539
BZUN,宝尊电商,85.998139,10.900509,0.623967,36464000,0.2252,41,0.503506896,22.04902439,43583140,8798058.3,3,0.318407575
UGP,Ultrapar Participacoes S/A ADS,14.827021,0.622427,0.696701,241000000,0.0172,228,0.50336438,9.400127632,11552281.33,13872661.32,19,0.330029448
EXEL,伊克力西斯,16.154497,6.783952,1.091956,87494000,3.9555,222,0.503255332,9.716824324,60694023.65,10858771.17,18,0.420377532
ITP,IT Tech Packaging Inc,0,0.100317,-0.188355,110000,5.9105,105,0.503145216,2.612780952,1185003.453,3301248.077,8,0.376130289
TWI,Titan International Inc,0,1.492188,-0.51477,5737000,1.8776,252,0.503144627,11.92162698,12737974.7,3070166.667,21,0.401160515
CVEO,Civeo Corporation,0,1.272506,-1.250002,289000,1.0196,53,0.502696137,4.712360377,17239615.19,34385379.23,4,0.366971367
GENC,范科工业,19.395165,1.379652,0.678004,2682000,0.0363,197,0.50153243,6.732284772,457794.3636,291310.7143,16,0.340278613
TACT,TransAct Technologies Incorporat,32.933603,4.339519,0.441798,1210000,0.3956,252,0.499226507,8.18764246,525180.4524,1236690.079,21,0.401316815
AAOI,Applied Optoelectronics Inc.,23.769589,2.464614,1.803565,8034000,-0.7236,61,0.496981248,27.1252459,30767133.06,4938621.467,5,0.392190209
ABG,阿斯伯里汽车集团,9.902123,3.404197,7.609479,43200000,0.3542,199,0.495991137,32.39683417,5911058.14,4741138.384,16,0.339968418
RDNT,RadNet,0,7.79815,-0.127195,6467000,0.1501,143,0.494573279,5.445734266,4796960.458,3218483.099,11,0.402679176
DNR,邓伯瑞资源,10.532262,2.657558,0.49562,30222000,1.0989,252,0.494385465,9.629623016,141816865.1,21592040.48,21,0.384773056
GHM,Graham Corp,0,2.63208,-0.866828,2323000,1.4845,252,0.494081985,13.30223214,1527120.897,806088.8889,21,0.37848597
WTI,W&T Offshore Inc,10.863688,-1.801782,0.604767,36083000,0.0831,165,0.491440179,16.51927273,29253998.41,13531154.88,13,0.399250439
ETM,安德康传播,1.732088,0.653681,4.532103,2441000,-0.6194,237,0.489436125,22.3735865,7755702.605,7055274.576,19,0.360161196
EVOL,Evolving Systems,26.113142,0.822786,0.089993,158000,-0.8566,245,0.487778472,6.998670204,591834.9756,1822990.164,20,0.354896352
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788,384000000,4.859,197,0.4868217,48.07815635,463484482.1,261196492.9,16,0.394100366
MNST,怪物饮料,37.700475,9.295157,1.608733,270000000,0.2133,252,0.486686741,14.39986746,112231350.5,167287338.1,21,0.367114505
WLDN,Willdan Group,23.833461,3.572424,1.344748,3315000,0.0009,143,0.485627664,9.665167832,1350335.25,259532.3944,11,0.425510102
SANM,新美亚电子,0,1.408221,-0.974266,33963000,-0.0671,252,0.485553973,46.43608849,15114320.72,22050057.94,21,0.373175792
CETV,Central European Media Enterprises,21.235389,9.102367,0.176592,26025000,-0.0638,252,0.483842016,20.80622103,8258240.54,3065176.984,21,0.390392294
X,美国钢铁,10.097984,1.521516,3.064968,214000000,-0.1801,252,0.482871081,37.44734127,232623410,44612769.05,21,0.360780803
PZN,Pzena Investment Management,18.806073,5.90809,0.503029,17357000,0.1479,132,0.482496245,8.146212121,988970.5,1542280.303,11,0.350385463
BOSC,BOS科技,9.144398,0.763304,0.256638,192000,0.1566,70,0.482399244,2.979727143,1888942.343,866917.0286,5,0.305837785
UCTT,超科林半导体,5.913686,1.243404,2.372463,18960000,-0.0604,175,0.481812698,9.160657143,7773127.614,3523713.793,14,0.377957184
MO,奥驰亚,10.592697,7.015086,5.549106,1877000000,-0.0568,252,0.480307839,22.21038929,195064033.7,2249703689,21,0.286254334
