code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_3,volume_6,year,year_rs
IIN,IntriCon Corporation,110.99856000000001,22.226629,0.603161,2008000.0,5.4153,129,4.616666666666667,5.658333333333334,0.14932408844995945,0.20688011133621595,0.4790189795275741,8.113837209302325,0.940616160716631,5048380.333333333,2601431.6666666665,10,0.3844789067300663
CDNS,铿腾电子,59.709334,11.145795,0.7841319999999999,75149000.0,0.0871,252,1.1066666666666667,1.6383333333333354,0.025566279157479287,0.041040151238621626,0.17404072502244272,18.08809523809524,-0.523631858545713,25113434.666666668,52718543.666666664,21,0.14309464731473634
OMCL,Omnicell,66.912733,4.54983,1.0192379999999999,6588000.0,2.5043,206,6.099999999999999,4.541666666666667,0.10696256527724617,0.0863751194948947,0.2201804663561241,20.361577669902914,0.0884219656590677,6565345.333333333,6031985.333333333,17,0.1826675015788921
CSGS,CSG系统国际,20.565181,3.5458190000000003,1.80013,15117000.0,0.3053,252,-0.10000000000000142,-0.7766666666666673,-0.00029836209579796135,-0.016734996745654433,0.2663295540406437,26.27938492063493,-0.4139619827750303,2949395.3333333335,5032771.333333333,21,0.19281762634320357
MIDD,The Middleby Corporation,22.278643,4.426988,5.353109,83988000.0,0.0828,252,7.506666666666665,0.6450000000000008,0.07142454393814796,0.012695826458806061,0.2713822875623007,36.66394841269842,-0.2724306968569441,11029357.666666666,15159185.0,21,0.22416135762805578
COMM,CommScope Holding Company Inc.,28.965634,3.484831,1.066091,65922000.0,0.1886,60,0.4366666666666686,-0.35749999999999993,0.016528419720952255,-0.008542967969949184,0.17877611730129925,30.12583333333333,-0.48811577148915597,19374658.0,37849687.333333336,5,0.12994026601128253
III,信息服务,151.02026999999998,2.737134,0.028473000000000002,2362000.0,8.7443,128,0.3166666666666667,0.15000000000000005,0.07674978880001823,0.036711082794677045,0.32910293899922244,3.2658593749999993,-0.15831530818537917,1460905.6666666667,1735692.3333333333,10,0.2605499207260233
FOXF,Fox Factory Holding Corp.,41.670984999999995,8.986151,1.553839,18813000.0,0.3706,62,7.933333333333333,5.708333333333333,0.15462157366128904,0.12369092982794443,0.18568226954113098,25.03048387096774,-0.12336481715260968,4283148.333333333,4885896.0,5,0.13912941898651146
FCFS,第一富金融服务,22.805695,2.766118,3.584631,30171000.0,0.9799,252,-2.4833333333333294,0.17499999999999952,-0.027389273473457872,0.0036074983247876154,0.2623884353431766,25.82476984126984,-0.5246513398053326,3747019.0,7882675.0,21,0.2173646064669713
CTXS,思杰系统,144.05745,24.089772,0.784201,107000000.0,-0.0183,252,2.596666666666664,3.038333333333334,0.024661928221653626,0.03143157902436335,0.2260631113634245,45.817483333333314,-0.41790631900738046,23360776.666666668,40132331.666666664,21,0.18115845427115865
