code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
MXWL,Maxwell Technologies,0,1.835981,-1.150012,252,40.25,12.38428571,3.57,5597585,1621996.825,21
IXYS,IXYS Corporation,31.575342,2.317068,0.73,234,40.25,10.49767094,1.375,2589475.538,2746082.051,19
CXW,Corrections Corp of America,18.533866,2.074213,1.347803,252,40.26,17.36690595,0.3333,22202302.25,23275988.97,21
CAPL,Crossamerica Partners LP,45.271472,4.294088,0.416377,47,40.29,25.82702128,16.88,1140652.083,2164635.348,3
ACST,Acasti Pharma,0,0.646739,-0.7,68,40.3,6.906697059,0.558,3627756.824,373932.0588,5
TESS,特斯科技术,26.160407,1.38276,0.676595,252,40.32,13.09749603,2.89,523025.1587,786641.1825,21
TBPH,Theravance Biopharma Inc.,0,44.404437,-4.898535,51,40.33,24.30519608,10.99,5544683.769,4326481.24,4
SYLD,Cambria Shareholder Yield ETF,0,0,0,64,40.3343,31.83074844,25.07,304547.1875,915221.7813,5
IMAX,Imax Corp,78.294525,2.90406,0.312921,91,40.34,27.35758242,14.48,17503242.98,17258082.22,7
ULST,SPDR SSgA Ultra Short Term Bond,0,0,0,59,40.34,40.14632881,39.9,379878.5667,338616.8621,4
MAIN,Main Street Capital,12.633569,1.686836,3.189914,95,40.36,30.22368421,16.79,4980430.792,4405985.106,7
AAON,艾伦建材,46.737581,9.063812,0.884727,252,40.4,10.06218611,0.5933,3666941.937,3866315.294,21
AXL,美国车桥,4.825407,1.136991,3.721966,236,40.42,17.72707627,0.93,41836689.91,12966023.73,19
OMI,欧麦斯-麦能医疗,0,1.294201,-2.374624,252,40.42,19.13421786,3.9733,13527614.13,7992534.524,21
EBTC,Enterprise Bancorp Inc,18.953337,1.813485,1.943721,163,40.43,18.92518405,8.65,191406.9146,78704.93827,13
HGT,休哥顿信托,5.859635,1.012239,0.07509,232,40.45,14.87600388,0.43,4029013.052,2744846.552,19
BRC,布雷迪,25.3867,2.795968,1.563811,232,40.45,27.38584052,12.53,4608413.517,3008756.897,19
HACK,PureFunds ISE Cyber Security,0,0,0,46,40.46,29.10076087,22.06,6965554.391,9271265.13,3
CENTA,Central Garden & Pet Company,29.688524,2.185959,1.22,139,40.47,13.98805755,3.18,4050532.286,5538153.623,11
CAL,布朗鞋业,17.965041,2.266299,2.081821,252,40.48,16.58581349,3.57,8280193.389,5486638.095,21
MLHR,赫尔曼米勒,17.890405,3.437687,2.146402,252,40.5,25.82339286,10.08,7584570.595,9273867.46,21
SBGI,Sinclair Broadcast Group,5.402489,1.845462,5.414171,252,40.5,15.865,1.03,19389944.38,10036947.62,21
SFIX,Stitch Fix Inc.,113.002079,12.963012,0.3361,10,40.58,24.613,18.98,40990261.8,17624089.8,0
ARKR,Ark Restaurants Corp,15.581901,1.848244,1.443983,252,40.6,18.30786349,5.38,96074.75397,121845.2381,21
MCS,马库斯,14.791559,2.359135,2.65016,252,40.6,17.14714286,8.28,1570442.04,1095358.333,21
FIDU,Fidelity MSCI Industrials Index,0,0,0,59,40.63,31.04071695,25.5,2144474.233,1452346.276,4
EPD,Enterprise Products Partners L.P,21.742264,2.838039,1.360024,242,40.63,17.77975207,3.72,68110439.35,13733743.8,20
FCBC,第一社区银行股份,21.22471,1.647109,1.587772,252,40.64,22.93829286,10.2,739003.5714,202854.1032,21
