2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
NYCB,1.0,CVBF,2.0,MRTN,4.0,,,KREF,1.0,BIL,3.0,FRT,3.0,SJM,2.0,SPG,4.0,,,,,,,,,MMS,1.0,FRBK,0.0,EIM,0.0,EIM,1.0,EXAS,4.0,,,,,,,,,,,,,,,GDDY,2.0,CXP,2,DSU,3.0
PB,1.0,UCBI,2.0,OXSQ,4.0,,,BXP,2.0,CPT,4.0,IPG,2.0,ERIE,3.0,TCF,4.0,,,,,,,,,OKTA,1.0,FTA,0.0,EOS,1.0,EOS,2.0,FCE.A,3.0,,,,,,,,,,,,,,,GPL,2.0,DEI,2,EBIX,3.0
ARR,1.0,IBOC,2.0,PNFP,1.0,,,IRM,1.0,IEI,0.0,EXTN,3.0,CHMI,3.0,UBNT,4.0,,,,,,,,,ORBC,1.0,FTCS,0.0,ESTC,1.0,EQC,0.0,FIVN,4.0,,,,,,,,,,,,,,,GPRK,0.0,DON,2,EBS,3.0
FNB,1.0,HOPE,0.0,UCFC,4.0,,,LXP,2.0,SPTS,0.0,CIM,3.0,BIL,3.0,VGSH,1.0,,,,,,,,,PCTY,1.0,FTEC,0.0,ETV,0.0,ESTC,2.0,FMCI,1.0,,,,,,,,,,,,,,,GSHD,2.0,DSU,2,EFR,4.0
MCY,1.0,GBCI,2.0,OCSL,4.0,,,SPAQ,3.0,IEF,0.0,OFG,3.0,PZG,1.0,WM,3.0,,,,,,,,,PLNT,1.0,GBIL,4.0,EXAS,1.0,ETV,1.0,FNSR,4.0,,,,,,,,,,,,,,,GSS,1.0,EBIX,2,ENSG,1.0
TCBK,1.0,UBSI,2.0,CBSH,4.0,,,BXMT,3.0,O,2.0,TCF,3.0,GSY,1.0,XONE,3.0,,,,,,,,,RCKT,0.0,GNMK,2.0,FCE.A,0.0,EXAS,2.0,FOMX,3.0,,,,,,,,,,,,,,,GSY,1.0,EBS,2,ERH,3.0
LFVN,1.0,QABA,2.0,ABCB,4.0,,,ARES,4.0,USRT,3.0,CHMI,3.0,BFZ,3.0,,,,,,,,,,,RNG,1.0,GPC,0.0,FIVN,1.0,FCE.A,1.0,FRBK,4.0,,,,,,,,,,,,,,,HL,1.0,EFR,3,FDP,3.0
TRMK,1.0,ONB,2.0,UBNK,4.0,,,CALX,1.0,RWR,3.0,BZQ,4.0,FTF,3.0,,,,,,,,,,,RNP,1.0,GT,2.0,FNSR,1.0,FIVN,2.0,FTA,4.0,,,,,,,,,,,,,,,HLNE,3.0,ENSG,0,FDRR,3.0
IBTX,1.0,FFIN,2.0,IBTX,4.0,,,DKT,2.0,FREL,3.0,FAX,1.0,FAX,1.0,,,,,,,,,,,RWGE,2.0,GUT,1.0,FOMX,0.0,FNSR,2.0,FTCS,4.0,,,,,,,,,,,,,,,HMY,0.0,ERC,4,FGB,3.0
UBNK,1.0,HWC,2.0,GBNK,4.0,,,BIL,1.0,RPT,4.0,SPAB,0.0,UBNT,3.0,,,,,,,,,,,SONC,4.0,HACK,2.0,FPRX,3.0,FOMX,1.0,FTEC,4.0,,,,,,,,,,,,,,,HT,2.0,ERH,2,FIXX,1.0
