,code,name,bvps,0,1
450,002916,深南电路,11.73,60.41,87.23
451,002170,芭田股份,2.13,3.43,25.67
452,300718,长盛轴承,5.27,17.58,40.13
453,002179,中航光电,6.4,40.32,36.4
454,300456,耐威科技,4.9,24.95,57.55
455,002110,三钢闽光,8.72,15.08,11.25
456,600262,北方股份,6.23,19.0,14.85
457,300292,吴通控股,2.17,3.45,20.31
458,600136,当代明诚,5.27,11.67,19.9
459,603515,欧普照明,6.39,43.76,46.1
460,600685,中船防务,8.23,12.98,6.45
461,002869,金溢科技,8.74,23.88,51.9
462,603083,剑桥科技,10.41,30.85,50.37
463,002929,润建通信,11.25,38.7,57.83
464,300204,舒泰神,4.47,10.88,42.7
465,300078,思创医惠,2.57,9.18,64.05
466,300097,智云股份,6.99,18.39,28.13
467,600379,宝光股份,2.13,7.01,11.21
468,603596,伯特利,3.23,31.17,21.74
469,001965,招商公路,7.14,7.9,92.0
470,002565,顺灏股份,3.44,4.83,29.26
471,000928,中钢国际,3.7,5.27,6.85
472,300394,天孚通信,4.5,17.15,41.03
473,000010,美丽生态,1.35,3.96,10.5
474,600862,中航高科,2.54,6.61,5.89
475,002017,东信和平,2.72,6.17,15.85
476,002354,天神娱乐,9.96,8.82,17.8
477,002821,凯莱英,9.22,78.61,94.25
478,000822,山东海化,3.32,6.19,7.17
479,300344,太空智造,1.74,7.08,13.79
480,300272,开能环保,2.82,10.23,20.62
481,300592,华凯创意,4.07,12.48,10.99
482,600792,云煤能源,2.95,3.57,11.59
483,300288,朗玛信息,3.65,15.62,40.2
484,300467,迅游科技,13.61,31.71,58.81
485,002056,横店东磁,2.85,6.7,16.8
486,300161,华中数控,6.54,12.52,27.12
487,603059,倍加洁,9.94,37.22,52.66
488,300037,新宙邦,6.7,23.32,33.7
489,002438,江苏神通,3.59,6.28,25.57
490,300252,金信诺,4.01,8.53,24.15
491,002414,高德红外,5.13,13.11,29.39
492,002526,山东矿机,2.21,3.17,25.77
493,600076,康欣新材,3.41,4.53,22.62
494,603042,华脉科技,6.38,19.12,28.42
495,002864,盘龙药业,6.52,46.02,30.95
496,601375,中原证券,2.65,4.56,7.81
497,600096,云天化,2.81,5.02,9.11
498,002922,伊戈尔,6.66,25.57,17.87
499,300731,科创新源,5.74,34.35,38.26
500,600559,老白干酒,2.68,19.72,11.83
501,000925,众合科技,4.19,5.96,37.94
502,300507,苏奥传感,7.49,22.5,35.88
503,600119,长江投资,2.06,7.81,12.2
504,002476,宝莫股份,1.59,4.14,26.13
505,600398,海澜之家,2.74,11.5,21.79
506,300469,信息发展,3.31,19.83,45.84
507,603876,鼎胜新材,5.59,28.22,38.02
508,002809,红墙股份,7.79,18.49,57.28
509,600483,福能股份,6.91,6.95,5.79
510,002345,潮宏基,3.89,7.9,39.3
511,002709,天赐材料,8.33,36.73,25.51
512,601882,海天精工,2.26,10.73,10.93
513,600237,铜峰电子,2.19,3.72,24.75
514,300041,回天新材,4.55,8.86,38.11
515,002588,史丹利,3.66,5.13,31.12
516,300532,今天国际,2.93,16.33,55.42
517,300034,钢研高纳,3.25,9.35,34.53
518,603008,喜临门,6.99,17.8,10.32
519,000838,财信发展,1.63,3.75,9.66
520,603488,展鹏科技,3.88,8.91,26.04
521,300472,新元科技,8.98,19.24,46.19
522,002292,奥飞娱乐,4.02,8.45,39.08
523,601000,唐山港,2.51,2.35,7.95
524,000785,武汉中商,4.78,7.52,40.41
525,603733,仙鹤股份,4.44,23.55,31.53
526,601360,三六零,2.68,27.47,56.92
527,002742,三圣股份,3.35,9.48,39.04
528,600066,宇通客车,7.13,17.08,23.4
529,002119,康强电子,2.62,11.38,23.56
530,300035,中科电气,2.22,5.22,48.42
531,300502,新易盛,4.59,14.28,86.47
532,300087,荃银高科,1.76,10.48,36.19
533,300268,佳沃股份,1.6,13.35,25.24
534,603496,恒为科技,4.75,21.52,34.38
535,300682,朗新科技,2.72,20.09,30.92
536,300559,佳发教育,4.67,32.05,93.74
537,002576,通达动力,5.2,9.09,16.62
538,300102,乾照光电,3.86,6.23,72.45
539,603885,吉祥航空,5.05,15.36,19.48
540,600765,中航重机,4.85,7.66,15.89
541,603303,得邦照明,5.91,10.05,29.51
542,600783,鲁信创投,4.82,9.63,11.2
543,002340,格林美,2.0,5.78,63.4
544,600649,城投控股,7.59,5.78,14.55
545,300536,农尚环境,3.11,10.63,27.98
546,603380,易德龙,4.47,16.97,27.25
547,600171,上海贝岭,3.5,11.64,16.45
548,002913,奥士康,13.94,39.8,47.97
549,600829,人民同泰,2.9,6.8,7.59
550,300286,安科瑞,3.2,9.26,37.25
551,300739,明阳电路,6.35,29.27,37.2
552,300347,泰格医药,5.28,57.08,60.71
553,300339,润和软件,5.72,11.72,22.2
554,300548,博创科技,7.65,33.7,53.12
555,002253,川大智胜,5.85,14.2,21.11
556,002139,拓邦股份,1.94,5.4,60.0
557,300148,天舟文化,5.0,4.43,27.39
558,300432,富临精工,8.15,8.37,43.12
559,002715,登云股份,5.2,14.29,21.42
560,002176,江特电机,2.87,9.37,31.02
561,600501,航天晨光,5.25,7.4,28.05
562,300205,天喻信息,2.87,7.4,33.33
563,000887,中鼎股份,6.42,13.32,14.26
564,300257,开山股份,3.9,14.32,79.09
565,300307,慈星股份,5.14,5.93,31.3
566,600135,乐凯胶片,4.57,6.94,12.35
567,603039,泛微网络,5.99,92.71,50.61
568,300512,中亚股份,5.35,17.86,40.07
569,002554,惠博普,2.01,2.98,30.4
570,000525,红 太 阳,9.63,15.92,7.6
571,600703,三安光电,5.08,18.9,9.25
572,002352,顺丰控股,7.62,43.79,31.76
573,300584,海辰药业,4.46,37.35,41.51
574,603165,荣晟环保,6.24,20.98,29.28
575,603309,维力医疗,4.49,11.51,45.66
576,300542,新晨科技,3.8,16.53,25.32
577,300585,奥联电子,2.89,13.54,15.62
578,300579,数字认证,4.6,30.1,30.89
579,002900,哈三联,5.99,16.06,41.9
580,000903,云内动力,2.82,2.51,7.96
581,300649,杭州园林,2.57,27.2,56.0
582,300136,信维通信,3.02,29.84,65.29
583,002106,莱宝高科,5.24,5.57,38.0
584,002092,中泰化学,8.06,8.61,10.83
585,300380,安硕信息,2.96,17.75,34.4
586,603528,多伦科技,2.26,7.63,80.04
587,601218,吉鑫科技,2.52,2.55,18.35
588,601811,新华文轩,7.03,9.16,31.86
589,300556,丝路视觉,3.41,20.4,44.42
590,300405,科隆股份,6.24,8.67,26.06
591,300599,雄塑科技,4.22,10.74,13.5
592,300523,辰安科技,6.11,61.91,42.01
593,600118,中国卫星,4.44,18.93,10.35
594,002528,英飞拓,2.78,4.11,51.54
595,300723,一品红,7.16,36.49,38.0
596,603505,金石资源,3.11,14.94,22.73
597,000968,蓝焰控股,3.38,9.79,10.17
598,300059,东方财富,2.91,12.89,86.72
599,600712,南宁百货,1.95,4.13,7.14
600,300210,森远股份,2.71,4.15,22.28
601,300639,凯普生物,5.38,19.2,48.72
602,600016,民生银行,8.79,5.7,17.22
603,000065,北方国际,4.83,7.3,18.12
604,000701,厦门信达,7.8,6.78,11.68
605,600986,科达股份,6.48,8.89,12.38
606,300366,创意信息,5.67,8.89,33.9
607,002362,汉王科技,3.92,19.35,120.2
608,002405,四维图新,5.23,19.38,36.0
609,300211,亿通科技,1.66,5.24,25.98
610,603268,松发股份,4.77,13.14,28.75
