,code,name,bvps,timeToMarket,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
33,sz300439,美康生物,5.02,20150422,20150430.0,23.289999008179,20180629.0,21.60000038147,20170630.0,21.5,20160729.0,32.080001831055,20150831.0,26.959999084473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,sz300132,青松股份,2.04,20101026,20101029.0,5.3097920417786,20180629.0,10.829999923706,20170630.0,8.1199998855591,20160729.0,7.8499999046326,20150630.0,11.300000190735,20140630.0,7.0749998092651,20130628.0,3.3050000667572,20120629.0,4.2556247711182,20110630.0,4.7368750572205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,sz002575,群兴玩具,1.51,20110422,20110429.0,3.8727271556854,20180629.0,3.9700000286102,20161027.0,13.140000343323,20150529.0,16.559999465942,20140130.0,5.2590909004211,20130131.0,2.9318180084229,20120131.0,2.5590908527374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,sz002056,横店东磁,2.85,20060802,20060831.0,3.7174999713898,20180629.0,7.0100002288818,20170630.0,7.5,20160729.0,14.590000152588,20150831.0,9.2849998474121,20140829.0,10.210000038147,20130830.0,7.3550000190735,20120831.0,6.8249998092651,20110831.0,12.880000114441,20100831.0,15.015000343323,20090831.0,5.0500001907349,20080829.0,3.8400001525879,20070831.0,8.1849994659424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,sz300743,天地数码,3.52,20180427,20180709.0,79.980003356934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,sz300747,锐科激光,6.2,20180625,20180709.0,142.36999511719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,sz300409,道氏技术,6.49,20141203,20141231.0,15.654999732971,20180629.0,40.110000610352,20170428.0,32.880001068115,20160630.0,47.849998474121,20150630.0,29.174999237061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,sz002795,永和智控,3.12,20160428,20160429.0,23.520000457764,20180629.0,20.469999313354,20170630.0,24.190000534058,20160630.0,68.080001831055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,sz300686,智动力,3.23,20170804,20180709.0,21.89999961853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,sz002830,名雕股份,4.43,20161213,20180709.0,20.139999389648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,sz002921,联诚精密,8.26,20171227,20180709.0,39.509998321533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,sz002458,益生股份,3.63,20100810,20100831.0,11.750000953674,20180629.0,17.5,20170630.0,20.64999961853,20160729.0,50.400001525879,20150831.0,19.60000038147,20140731.0,12.880000114441,20130731.0,8.9300003051758,20120731.0,13.520000457764,20110729.0,11.739999771118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,sh603486,科沃斯,3.77,20180528,20180709.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,sh603800,道森股份,4.48,20151210,20151231.0,53.830001831055,20180629.0,15.739999771118,20170630.0,21.739999771118,20160630.0,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
