code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
ROP,儒博实业,28.334429,4.197553,10.468536,228000000,0.2724,252,12.33333333,4.963333333,0.104572646,80.53063492,0.486607092,10308573.66,6934296.032,21,0.090392005
TMO,赛默飞世尔,39.375747,3.574979,5.960776,752000000,0.2288,252,12.27333333,6.07,0.126753675,65.21452381,1.190879026,47903995.91,21865194.44,21,0.107744316
IRBT,iRobot Corp.,52.270199,6.46617,2.067526,10471000,0.3249,155,12.07,7.986666667,0.313538082,32.77741935,1.493814517,11415037.59,4577340.26,12,0.259145094
BIO.B,Bio-Rad Laboratories Inc Cl B,12.309845,2.038763,25.751745,268000000,52.2359,252,11.8,13.375,0.152571634,87.45864206,-0.03350238,4673.706349,4835.714286,21,0.12211895
KWR,奎克化学,70.833011,5.609265,2.503635,19370000,0.5696,252,11.79666667,6.74,0.3234341,45.21797619,2.25804853,1334051.929,409463.4921,21,0.255756198
PH,汉尼汾,21.506657,3.891989,7.97567,353000000,0.2044,252,11.31666667,3.188333333,0.25365974,64.39981349,-0.132119589,28194325.67,32486417.86,21,0.176351
OLED,Universal Display Corporation,91.735602,8.82997,1.329909,10814000,-0.7708,64,11.16666667,3.175,0.316826753,66.1675,0.663442862,19055840.38,11455662.72,5,0.252576551
ADBE,Adobe,59.409276,14.709145,4.401838,663000000,0.7713,252,11.05333333,10.28666667,0.168422886,47.90292778,-0.407812313,90884477.25,153472419.8,21,0.144143269
JKHY,杰克亨利,32.641894,10.014732,4.854804,85280000,0.3183,252,10.90666667,6.998333333,0.124937159,37.40128968,-0.159090402,8545410.762,10162103.97,21,0.103277516
BA,波音,21.730004,-139.293348,16.07823,2196000000,0.2556,252,10.83666667,6.708333333,0.147532479,88.95888889,0.151245497,96561183.87,83875406.35,21,0.120725541
USPH,US Physical Therapy Inc,68.642784,7.106937,1.727057,13236000,1.0714,74,10.63333333,7.725,0.158359986,52.07716216,0.858848876,1460226.27,785554.0541,6,0.124647241
IDXX,IDEXX实验室,70.910999,-525.310514,3.518495,109000000,0.2725,252,10.59333333,9.433333333,0.167873714,41.63025794,-0.35699126,13548880.02,21071066.67,21,0.145721964
ATRI,Atrion公司公司,35.034908,5.996337,18.296038,8797000,-0.1226,252,10.51666667,-0.608333333,0.206790763,170.532004,0.194820838,84261.42063,70522.22222,21,0.170913449
JBT,约翰宾技术,45.156624,8.736464,2.513474,33600000,0.8771,123,10.46666667,1.183333333,0.216358556,39.47837398,-0.023327776,3112646.371,3186991.803,10,0.171058746
HUBB,Hubbell Incorporated,26.359218,4.059947,4.738001,102000000,0.2673,34,10.21333333,2.25,0.068455942,114.6832353,0.535808475,7942034.941,5171240.471,2,0.044163791
AAPL,苹果,19.40896,9.082616,11.137124,11519000000,0.3214,252,10.13333333,7.559766667,0.237202757,44.88673135,-0.329074817,1910539612,2847619467,21,0.200106298
LII,雷诺士,28.269949,-49.204411,7.791312,138000000,0.1913,231,10.05333333,4.196666667,0.193581691,57.47874459,0.314183294,8578892.552,6527926.957,19,0.162099224
NSC,诺福克南方,8.734842,2.957063,20.018679,710000000,0.4286,252,9.676666667,7.213333333,0.15782056,57.43349206,0.412827908,50080231.64,35446802.38,21,0.134681069
BRK.B,伯克希尔B,12.903661,1.432873,16.117907,12077000000,1.7731,252,9.62,2.516666667,0.128938851,84.31230159,2.58272713,125315549.1,34977698.41,21,0.095972194
TDG,TransDigm,25.904242,-8.902196,13.702775,217000000,0.2851,151,9.556666667,10.81333333,0.170936539,136.9330464,0.417030778,9747535.553,6878845.333,12,0.145386609
ROK,罗克韦尔自动化,55.786991,14.927833,3.137649,199000000,-0.0844,252,9.49,3.173333333,0.202541908,70.90853175,0.26567979,22918639.33,18107770.63,21,0.156557264
ROKU,Roku Inc,23.72167,31.688542,2.66676,526000,1.0339,13,9.423333333,6.731666667,0.33971681,41.82615385,-0.093401465,136212665.6,150245847.8,1,0.116512954
IT,加特纳,157.391743,14.327937,0.923619,46270000,1.5014,252,9.403333333,7.206666667,0.202024281,39.65154762,0.124974763,10072670.46,8953685.714,21,0.171391596
CACI,CACI国际,15.82376,2.27031,12.234766,51831000,0.1718,252,9.316666667,7.466666667,0.207514093,56.07736111,-0.235411946,5091999.881,6659795.238,21,0.169658725
TYL,泰勒科技,51.85831,6.983146,4.669454,39161000,0.2326,252,9.26,6.36,0.204459485,46.95948413,0.501818253,4063801,2705920.635,21,0.175718424
APPF,"AppFolio, Inc.",152.553145,27.417531,0.530307,7474000,1.6721,40,9.183333333,7.658333333,0.178880702,31.607,1.062941152,2498279.6,1211028.05,3,0.144859573
SPSC,SPS Commerce,1287.587796,5.764279,0.07549,5416000,1.752,102,9.106666667,6.256666667,0.191854321,48.81259804,0.930331722,2469136.51,1279125.49,8,0.155105994
IQV,IQVIA,21.187027,3.45036,5.91966,68000000,0.0303,65,9.033333333,4.721666667,0.113368634,72.69938462,1.267043261,27748407.61,12239910.94,5,0.086725969
SNA,施耐宝,16.510713,3.210869,10.665196,183000000,0.1652,252,9.006666667,6.715,0.154736832,67.54579365,0.50041432,8862816.397,5906912.698,21,0.121678792
HCA,HCA控股,16.110504,-7.590015,8.153687,966000000,0.2151,90,8.976666667,5.11,0.154672152,62.406,-0.11147391,56648496.2,63755580,7,0.127780282
FTNT,飞塔信息,152.145721,17.42748,0.528375,49300000,1.1435,107,8.84,5.968333333,0.948608785,22.07345794,-0.817956069,36718899.81,201703509.4,8,0.551813942
TREX,Trex Co Inc,40.190946,15.933904,2.011896,42820000,0.4877,233,8.84,5.713333333,0.339663274,13.30313305,0.165259627,13519442.65,11602086.21,19,0.291092974
MASI,麦斯莫医疗,49.084015,7.415926,2.38978,43853000,-0.0285,134,8.773333333,5.973333333,0.198666442,40.08869403,-0.110847525,8501381.896,9561219.403,11,0.171348504
VRSN,威瑞信,33.133777,-13.779293,4.710601,128000000,0.0427,249,8.763333333,7.486666667,0.228304638,48.37608434,-0.538891253,41425658.03,89839237.1,20,0.178084515
RCL,皇家加勒比邮轮,14.804242,2.321933,8.086196,466000000,0.2619,252,8.75,1.956666667,0.380779145,44.7172619,1.21331891,52726480.56,23822360.32,21,0.278208674
AINC,Ashford Inc,0,4.812275,-3.003723,8932000,2.2352,47,8.728333333,-1.134166667,0.312526811,71.78028936,-0.433496912,72758.20833,128433.913,3,0.208364755
CHTR,Charter Communications,7.648283,1.861884,39.312092,339000000,0.7385,97,8.723333333,1.753333333,0.140363257,171.7074742,1.64652622,34515035.59,13041637.5,8,0.124066555
ANDV,Andeavor,10.556909,2.329758,14.706956,582000000,5.6897,252,8.716666667,9.478333333,0.369639631,35.50434524,1.050453334,79568219.15,38805184.13,21,0.297430516
CHKP,Check Point软件科技,22.615362,4.98507,5.11776,198000000,0.0495,252,8.64,4.145,0.189701078,44.29331468,-0.634712833,34228090.03,93701868.25,21,0.143840046
AZPN,艾斯本,54.393203,-28.089826,2.061103,38020000,-0.3005,154,8.586666667,6.508333333,0.239101393,29.46853896,0.022417583,11117679.83,10873912.99,12,0.198423159
LLL,L-3通信,18.606932,3.040775,11.358132,379000000,0.8309,245,8.523333333,1.455,0.12125408,81.97518367,-0.22044967,14700919.23,18858204.1,20,0.107087172
LIVN,LivaNova PLC,0,3.432711,-1.156743,15066000,-0.6828,36,8.326666667,6.081666667,0.113408494,68.93125,0.046117771,8663212.889,8281297.889,3,0.086656799
CSGP,科斯塔,86.967401,5.546458,4.99578,43835000,0.976,243,8.28,12.19833333,0.159587951,90.6073251,0.703812246,3399537.721,1995253.719,20,0.141257866
URI,联合租赁,8.50555,4.084324,18.360952,270000000,0.9149,250,8.123333333,-0.148333333,0.362634303,42.67592,1.658976469,35787740.76,13459216.8,20,0.301327734
AMED,阿米斯医疗,58.978084,9.715001,2.110784,33541000,6.4058,252,8.083333333,8.106666667,0.32339237,25.16805556,1.215103103,9771581.008,4411343.651,21,0.297279299
FOXF,Fox Factory Holding Corp.,41.670985,8.986151,1.553839,18813000,0.3706,62,7.933333333,5.708333333,0.18568227,25.03048387,1.39696387,5682126.258,2370551.484,5,0.139129419
POOL,Pool Corporation,29.126759,20.709789,5.52619,117000000,0.237,252,7.923333333,4.75,0.245690743,39.06963611,-0.250122854,5891523.103,7856651.103,21,0.174460921
TREE,LendingTree,39.080918,8.876131,6.146222,42547000,4.814,122,7.783333333,-15.35,0.455239212,65.93893443,5.554428492,5287425.23,806695.082,10,0.369967446
BDX,碧迪医疗,109.552419,3.199988,2.331304,594000000,5.5,252,7.743333333,7.695,0.105359539,83.13587302,0.150003279,24249192.76,21086194.44,21,0.091705765
ROLL,RBC轴承,38.644554,4.124774,3.860311,27467000,0.2594,158,7.743333333,4.591666667,0.187356142,53.56515823,-0.327981241,1697248.025,2525596.203,13,0.156930821
FFIV,F5网络,25.496304,9.014357,7.359498,123000000,0.2568,232,7.726666667,8.771666667,0.290749171,63.34771552,-0.291944439,28928985.16,40856942.24,19,0.249327895
BR,布罗德里奇,36.666851,14.27941,3.663527,207000000,0.1053,139,7.7,4.708333333,0.202315534,40.58913669,-0.322553949,12827966.24,18935775.36,11,0.153635491
