,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh603818,,,,,51.25%,45.07%,42.76%,34.31%,17.71%,21.98%,22.49%,,,,,8.56%,9.81%,11.12%,9.19%,9.31%,11.12%,11.71%,,,,,23.69%,20.70%,22.13%,16.95%,11.71%,14.24%,16.59%,,,,,2.20次,1.09次,1.10次,1.12次,1.03次,1.02次,1.08次
sz002705,,,62.88%,64.52%,64.93%,59.19%,60.88%,50.15%,48.73%,50.97%,43.77%,,,4.48%,3.77%,3.30%,3.65%,3.82%,3.75%,4.47%,6.20%,4.98%,,,18.62%,18.51%,16.16%,16.17%,15.44%,10.35%,12.51%,17.20%,11.92%,,,3.00次,1.80次,1.73次,1.66次,1.60次,1.46次,1.40次,1.39次,1.36次
sz002249,,,29.11%,31.56%,26.00%,28.83%,39.74%,39.31%,49.41%,38.71%,43.40%,,,13.49%,10.41%,9.79%,7.02%,6.88%,7.61%,7.58%,8.06%,5.22%,,,16.36%,17.50%,12.71%,7.48%,8.47%,9.79%,9.56%,6.66%,4.74%,,,0.89次,1.16次,0.86次,0.77次,0.79次,0.82次,0.71次,0.62次,0.54次
sz000555,,,674.06%,318.31%,668.45%,825.64%,68.11%,53.75%,55.23%,50.76%,53.77%,,,-162.00%,4.29%,0.62%,-18.14%,3.14%,4.38%,5.54%,3.18%,3.89%,,,0.00%,--,--,0.00%,14.23%,13.69%,11.34%,7.23%,6.38%,,,0.17次,2.07次,2.43次,2.19次,2.55次,1.05次,0.97次,0.95次,0.81次
sz002142,,,94.04%,93.97%,92.82%,94.08%,94.54%,93.83%,93.71%,94.31%,94.46%,,,34.90%,39.28%,40.84%,39.34%,37.98%,36.69%,33.65%,33.08%,36.96%,,,15.79%,20.53%,18.81%,19.97%,20.41%,19.45%,17.68%,17.74%,19.02%,,,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次,0.03次
sz002303,,,15.99%,17.25%,14.79%,16.41%,23.94%,22.84%,23.65%,16.03%,24.88%,,,18.90%,19.55%,12.61%,10.37%,13.50%,17.12%,10.72%,9.84%,12.07%,,,25.19%,9.02%,6.35%,6.11%,9.14%,12.55%,9.50%,8.26%,8.45%,,,0.62次,0.38次,0.42次,0.50次,0.54次,0.56次,0.66次,0.55次,0.53次
sz002848,,,,,47.88%,48.02%,46.46%,45.35%,47.99%,46.57%,51.19%,,,,,8.45%,6.93%,5.79%,3.73%,5.96%,6.36%,1.39%,,,,,22.08%,17.06%,13.03%,6.43%,9.51%,10.30%,1.93%,,,,,2.46次,1.28次,1.19次,0.93次,0.85次,0.85次,0.87次
sh600363,,,44.99%,41.25%,37.93%,31.22%,33.03%,38.19%,40.79%,40.09%,40.96%,,,3.71%,4.79%,8.89%,9.06%,9.77%,7.43%,6.04%,7.19%,7.53%,,,4.33%,5.82%,9.57%,9.37%,9.86%,7.73%,7.69%,7.94%,9.26%,,,0.63次,0.65次,0.63次,0.58次,0.61次,0.65次,0.74次,0.67次,0.74次
sz002079,,,29.02%,33.12%,19.70%,16.90%,12.99%,13.11%,13.23%,13.88%,17.90%,,,6.75%,8.41%,8.27%,2.17%,4.85%,3.93%,2.30%,11.13%,8.04%,,,7.71%,12.96%,10.43%,1.70%,3.46%,3.38%,1.79%,8.06%,7.02%,,,0.87次,1.05次,0.71次,0.54次,0.56次,0.63次,0.55次,0.73次,0.99次
sz000090,,,55.23%,53.97%,59.07%,62.45%,65.57%,66.48%,62.56%,67.16%,74.45%,,,2.16%,3.12%,5.73%,8.12%,8.38%,7.95%,6.21%,7.19%,8.86%,,,2.45%,3.50%,5.24%,7.88%,10.76%,11.87%,9.92%,7.27%,9.35%,,,0.47次,0.44次,0.40次,0.38次,0.49次,0.51次,0.46次,0.35次,0.30次
sh603019,,,,,65.20%,64.97%,71.02%,59.11%,68.09%,49.80%,65.95%,,,,,8.07%,9.45%,4.69%,4.22%,4.90%,5.51%,5.19%,,,,,29.00%,26.68%,14.33%,13.92%,14.09%,10.59%,10.24%,,,,,1.98次,1.00次,0.91次,1.03次,0.97次,0.81次,0.78次
sz300109,,,43.92%,6.87%,9.96%,11.18%,10.79%,15.67%,5.92%,6.36%,33.50%,,,14.00%,14.10%,13.07%,9.43%,9.63%,11.89%,19.61%,20.02%,18.96%,,,34.33%,14.73%,7.30%,5.63%,5.45%,7.75%,8.62%,6.70%,7.36%,,,1.29次,0.70次,0.51次,0.53次,0.50次,0.56次,0.34次,0.31次,0.30次
