,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sz002554,,,40.93%,40.70%,12.66%,21.60%,27.16%,45.08%,34.25%,52.34%,53.17%,,,22.54%,22.56%,22.75%,18.83%,12.47%,12.73%,12.63%,12.67%,6.48%,,,28.97%,27.57%,9.25%,8.03%,8.12%,11.32%,8.33%,6.25%,4.05%,,,0.77次,0.72次,0.45次,0.35次,0.55次,0.60次,0.45次,0.27次,0.32次
sh600110,,,48.47%,56.81%,53.49%,61.04%,67.82%,73.96%,66.97%,62.28%,62.03%,,,2.64%,3.11%,-4.65%,0.40%,0.07%,-15.10%,6.32%,2.44%,8.50%,,,0.47%,1.69%,-3.39%,0.27%,0.28%,-14.03%,7.95%,1.37%,9.65%,,,0.26次,0.28次,0.26次,0.31次,0.34次,0.28次,0.27次,0.35次,0.43次
sz002542,,,47.81%,36.35%,9.28%,14.96%,16.40%,44.39%,43.34%,42.33%,49.25%,,,17.28%,19.45%,19.04%,14.15%,14.01%,10.81%,11.67%,10.73%,8.55%,,,54.06%,44.08%,7.53%,8.35%,8.63%,10.90%,12.82%,9.17%,7.05%,,,1.46次,1.33次,0.53次,0.52次,0.52次,0.60次,0.50次,0.44次,0.45次
sz002455,,,58.79%,38.60%,46.19%,52.77%,61.30%,61.54%,57.06%,56.51%,49.26%,,,4.65%,3.68%,2.89%,2.31%,1.60%,1.89%,2.62%,3.89%,4.24%,,,25.59%,14.22%,6.48%,5.37%,5.21%,6.90%,7.45%,9.68%,10.70%,,,2.18次,1.96次,1.28次,1.17次,1.38次,1.41次,1.15次,1.07次,1.08次
sz002018,,,54.15%,56.91%,60.05%,53.64%,12.71%,10.38%,42.89%,65.84%,47.55%,,,0.56%,-14.99%,0.28%,11.82%,1.10%,1.95%,2.43%,2.16%,2.89%,,,0.73%,-19.55%,0.65%,16.88%,2.45%,4.03%,5.30%,12.03%,13.30%,,,0.60次,0.56次,0.59次,0.60次,1.76次,1.79次,1.89次,2.49次,1.99次
sz002452,,,41.12%,14.65%,20.37%,17.05%,16.48%,15.77%,32.40%,53.40%,51.75%,,,18.92%,14.91%,12.92%,11.95%,14.62%,18.41%,10.12%,9.39%,4.42%,,,26.47%,7.69%,5.10%,5.40%,7.21%,7.91%,5.73%,9.58%,4.58%,,,0.77次,0.36次,0.29次,0.32次,0.38次,0.35次,0.41次,0.55次,0.49次
sh600779,,,46.16%,31.73%,33.99%,28.50%,20.83%,25.66%,28.60%,33.31%,43.34%,,,19.07%,12.72%,21.66%,20.73%,-31.25%,-114.70%,10.29%,19.11%,16.38%,,,22.58%,16.44%,20.65%,19.00%,-8.79%,-29.57%,7.11%,16.29%,22.55%,,,0.63次,0.74次,0.63次,0.63次,0.21次,0.20次,0.50次,0.59次,0.82次
sh600836,,,69.81%,79.61%,83.50%,83.29%,82.37%,81.63%,74.47%,73.15%,72.93%,,,1.73%,1.43%,0.56%,0.69%,0.82%,1.52%,1.75%,-0.80%,2.17%,,,3.55%,3.80%,1.66%,1.89%,2.46%,3.46%,2.83%,-1.26%,3.68%,,,0.69次,0.65次,0.39次,0.43次,0.56次,0.62次,0.45次,0.49次,0.39次
sh603380,,,,,,68.51%,64.45%,54.46%,55.65%,57.75%,25.97%,,,,,,7.45%,9.64%,12.65%,10.77%,11.76%,11.09%,,,,,,22.04%,47.02%,65.02%,45.67%,42.53%,21.12%,,,,,,1.81次,1.72次,1.99次,1.81次,1.51次,1.17次
sz000498,,,98.31%,78.29%,3.82%,77.11%,75.52%,73.51%,70.82%,76.93%,76.94%,,,"1,418.43%",--,--,3.54%,3.66%,4.56%,5.09%,5.29%,4.67%,,,--,6.28%,4.65%,12.44%,12.14%,12.69%,13.27%,13.21%,15.40%,,,0.03次,0.00次,0.00次,1.48次,0.78次,0.70次,0.73次,0.64次,0.76次
