,净利润_2009-12-31,净利润_2010-12-31,净利润_2011-06-30,净利润_2011-12-31,净利润_2012-12-31,净利润_2013-12-31,净利润_2014-09-30,净利润_2014-12-31,净利润_2015-03-31,净利润_2015-06-30,净利润_2015-09-30,净利润_2015-12-31,净利润_2016-03-31,净利润_2016-06-30,净利润_2016-09-30,净利润_2016-12-31,净利润_2017-03-31,净利润_2017-06-30,净利润_2017-09-30,净利润_2017-12-31,净利润_2018-03-31,净利润_2018-06-30,净利润_2018-09-30,净利润_2018-12-31,净利润同比增长_2009-12-31,净利润同比增长_2010-12-31,净利润同比增长_2011-06-30,净利润同比增长_2011-12-31,净利润同比增长_2012-12-31,净利润同比增长_2013-12-31,净利润同比增长_2014-09-30,净利润同比增长_2014-12-31,净利润同比增长_2015-03-31,净利润同比增长_2015-06-30,净利润同比增长_2015-09-30,净利润同比增长_2015-12-31,净利润同比增长_2016-03-31,净利润同比增长_2016-06-30,净利润同比增长_2016-09-30,净利润同比增长_2016-12-31,净利润同比增长_2017-03-31,净利润同比增长_2017-06-30,净利润同比增长_2017-09-30,净利润同比增长_2017-12-31,净利润同比增长_2018-03-31,净利润同比增长_2018-06-30,净利润同比增长_2018-09-30,净利润同比增长_2018-12-31,营收_2009-12-31,营收_2010-12-31,营收_2011-06-30,营收_2011-12-31,营收_2012-12-31,营收_2013-12-31,营收_2014-09-30,营收_2014-12-31,营收_2015-03-31,营收_2015-06-30,营收_2015-09-30,营收_2015-12-31,营收_2016-03-31,营收_2016-06-30,营收_2016-09-30,营收_2016-12-31,营收_2017-03-31,营收_2017-06-30,营收_2017-09-30,营收_2017-12-31,营收_2018-03-31,营收_2018-06-30,营收_2018-09-30,营收_2018-12-31,营收增长同比_2009-12-31,营收增长同比_2010-12-31,营收增长同比_2011-06-30,营收增长同比_2011-12-31,营收增长同比_2012-12-31,营收增长同比_2013-12-31,营收增长同比_2014-09-30,营收增长同比_2014-12-31,营收增长同比_2015-03-31,营收增长同比_2015-06-30,营收增长同比_2015-09-30,营收增长同比_2015-12-31,营收增长同比_2016-03-31,营收增长同比_2016-06-30,营收增长同比_2016-09-30,营收增长同比_2016-12-31,营收增长同比_2017-03-31,营收增长同比_2017-06-30,营收增长同比_2017-09-30,营收增长同比_2017-12-31,营收增长同比_2018-03-31,营收增长同比_2018-06-30,营收增长同比_2018-09-30,营收增长同比_2018-12-31
sz300473,,,,,,,,,,,,,,,2745万,1999万,3010万,3329万,2792万,4003万,4556万,5330万,4993万,,,,,,,,,,,,,,,,-29.86,56.80,15.42,-7.99,1.69,100.22,51.36,60.10,78.86,,,,,,,,,,,,,,,,1.28亿,1.81亿,1.80亿,6.17亿,7.94亿,9.49亿,8.38亿,10.0亿,9.60亿,,,,,,,,,,,,,,,,-26.24,40.85,18.53,280.23,521.98,424.26,366.68,62.62,20.88,
sz300461,,,,,,,,,,,,,,,-17.9万,993万,785万,728万,802万,-193万,371万,3584万,6255万,,,,,,,,,,,,,,,,-102.81,195.85,45.48,--,--,-119.42,-52.76,392.26,679.61,,,,,,,,,,,,,,,,2258万,1.37亿,9166万,1.44亿,1.31亿,1.37亿,1.20亿,2.79亿,3.63亿,,,,,,,,,,,,,,,,-17.33,560.38,213.94,512.78,482.11,-0.26,31.40,93.67,176.55,
sz002791,,,,,,,,,,,,,,,8858万,6869万,279万,9890万,8421万,520万,-2928万,6073万,8570万,,,,,,,,,,,,,,,,42.15,0.01,--,1.74,-4.93,-92.43,-1147.81,-38.60,1.77,,,,,,,,,,,,,,,,7.82亿,7.42亿,5.33亿,8.39亿,8.90亿,9.17亿,6.10亿,9.73亿,11.2亿,,,,,,,,,,,,,,,,22.04,13.28,16.86,15.20,13.82,23.62,14.52,15.94,25.98,
sz002380,,,,,,,,,,,,,,,1545万,2934万,692万,4241万,2083万,3906万,835万,4617万,1863万,,,,,,,,,,,,,,,,6.33,33.72,48.51,28.39,34.85,33.11,20.71,8.86,-10.59,,,,,,,,,,,,,,,,1.26亿,1.94亿,8773万,1.50亿,1.45亿,2.09亿,8974万,1.64亿,1.41亿,,,,,,,,,,,,,,,,23.09,26.72,9.82,32.83,15.03,7.46,2.28,9.61,-2.81,
sz002911,,,,,,,,,,,,,,,--,6228万,5613万,1.39亿,8244万,7017万,8255万,1.56亿,9539万,,,,,,,,,,,,,,,,--,--,--,--,--,12.66,47.07,12.75,15.71,,,,,,,,,,,,,,,,--,10.4亿,9.38亿,10.9亿,10.5亿,12.2亿,11.2亿,12.6亿,12.4亿,,,,,,,,,,,,,,,,--,--,--,--,--,16.94,19.25,15.89,18.49,
sz002691,,,,,,,,,,,,,,,171万,-71.7万,84.6万,499万,214万,130万,118万,549万,506万,,,,,,,,,,,,,,,,-76.49,-124.62,-78.56,46.13,25.32,--,39.11,10.10,135.97,,,,,,,,,,,,,,,,5874万,6543万,4094万,8861万,8613万,1.86亿,9773万,7270万,1.03亿,,,,,,,,,,,,,,,,-18.98,-28.67,-26.26,95.18,46.64,184.53,138.69,-17.96,19.24,
sh600172,,,,,,,,,,,,,,,7299万,1284万,3009万,5616万,2447万,-5930万,2867万,9389万,-2101万,,,,,,,,,,,,,,,,40.62,-2.44,-70.16,-30.74,-66.48,-561.71,-4.73,67.17,-185.84,,,,,,,,,,,,,,,,5.50亿,4.70亿,5.05亿,7.99亿,7.85亿,8.69亿,6.62亿,10.7亿,7.78亿,,,,,,,,,,,,,,,,29.34,20.21,-4.77,27.50,42.60,84.75,31.14,33.75,-0.83,
sz300598,,,,,,,,,,,,,,,1605万,1772万,206万,993万,1174万,1564万,-645万,812万,815万,,,,,,,,,,,,,,,,--,39.56,41.56,-35.25,-26.81,-11.74,-413.20,-18.28,-30.63,,,,,,,,,,,,,,,,1.29亿,1.23亿,1.13亿,1.26亿,1.26亿,1.21亿,1.12亿,1.27亿,1.41亿,,,,,,,,,,,,,,,,--,5.50,-5.44,-5.61,-2.66,-1.60,-0.85,0.51,11.81,
sz000727,,,,,,,,,,,,,,,-1272万,6336万,-2.50亿,2665万,-5273万,2.87亿,-2.40亿,-7.15亿,-6.20亿,,,,,,,,,,,,,,,,--,147.45,--,--,--,353.43,--,-2784.35,--,,,,,,,,,,,,,,,,2.43亿,9.12亿,12.5亿,17.0亿,14.6亿,15.8亿,10.5亿,11.3亿,13.8亿,,,,,,,,,,,,,,,,-7.84,81.83,498.92,700.99,501.15,73.10,-16.53,-33.92,-5.46,
sh603050,,,,,,,,,,,,,,,1280万,4384万,447万,1477万,921万,4431万,469万,1986万,1772万,,,,,,,,,,,,,,,,--,--,17.37,142.79,-28.10,1.07,5.08,34.44,92.50,,,,,,,,,,,,,,,,1.57亿,3.19亿,1.25亿,2.31亿,1.86亿,4.26亿,1.13亿,2.98亿,3.12亿,,,,,,,,,,,,,,,,--,--,66.90,-4.32,18.39,33.48,-9.85,28.84,67.24,
sh600697,,,,,,,,,,,,,,,7604万,1.19亿,4636万,8654万,7629万,9599万,5016万,7791万,7071万,,,,,,,,,,,,,,,,1.04,-0.50,0.35,0.62,0.33,-19.36,8.20,-9.98,-7.31,,,,,,,,,,,,,,,,29.7亿,34.5亿,30.8亿,36.1亿,32.8亿,40.1亿,36.6亿,39.6亿,37.2亿,,,,,,,,,,,,,,,,-0.09,-3.27,0.45,1.97,10.61,16.22,18.90,9.66,13.37,
sh600306,,,,,,,,,,,,,,,-907万,1.98亿,1.72亿,-2966万,-2735万,-3251万,-2440万,-2998万,-3202万,,,,,,,,,,,,,,,,--,--,--,--,--,-116.42,-114.19,--,--,,,,,,,,,,,,,,,,2.01亿,2.72亿,2.41亿,1.94亿,1.84亿,3.03亿,2.41亿,2.12亿,2.38亿,,,,,,,,,,,,,,,,-26.97,-14.67,-16.61,-5.48,-8.19,11.43,0.01,8.91,29.27,
sh600505,,,,,,,,,,,,,,,4169万,1187万,1032万,-181万,4417万,-1145万,150万,285万,4356万,,,,,,,,,,,,,,,,-13.37,-29.59,103.18,--,5.95,-196.40,-85.43,--,-1.38,,,,,,,,,,,,,,,,2.41亿,2.67亿,2.19亿,2.03亿,2.50亿,2.48亿,2.19亿,2.19亿,2.60亿,,,,,,,,,,,,,,,,0.84,14.43,6.51,8.49,3.75,-7.24,-0.25,8.18,3.91,
sz002811,,,,,,,,,,,,,,,1909万,1877万,1666万,2102万,2275万,4733万,1938万,2583万,3354万,,,,,,,,,,,,,,,,-39.07,-58.96,-23.27,-1.60,19.16,152.20,16.35,22.93,47.40,,,,,,,,,,,,,,,,3.93亿,3.75亿,3.73亿,4.53亿,4.99亿,4.99亿,4.53亿,6.02亿,5.07亿,,,,,,,,,,,,,,,,-17.69,-5.98,-10.58,-5.23,27.03,33.08,21.51,32.77,1.60,
sz000862,,,,,,,,,,,,,,,2458万,5875万,267万,-1729万,-5275万,-1.21亿,1309万,3364万,1301万,,,,,,,,,,,,,,,,--,--,--,-350.85,-314.63,-306.38,389.73,--,--,,,,,,,,,,,,,,,,2.76亿,5.28亿,2.45亿,2.43亿,2.11亿,2.36亿,2.67亿,3.09亿,2.48亿,,,,,,,,,,,,,,,,4.37,66.22,-0.99,-37.82,-23.67,-55.29,8.82,27.20,17.86,
sz002938,,,,,,,,--,,,,--,,,,--,,--,5.96亿,9.83亿,1.79亿,,11.3亿,,,,,,,,,--,,,,--,,,,--,,--,--,--,--,,89.75,,,,,,,,,--,,,,--,,,,--,,--,60.4亿,105亿,49.0亿,,77.9亿,,,,,,,,,--,,,,--,,,,--,,--,--,--,--,,28.97,
sz000807,,,,,,,,,,,,,,,1.31亿,-7074万,1.18亿,3071万,2.74亿,2.34亿,-1.05亿,1.53亿,6225万,,,,,,,,,,,,,,,,--,-157.01,--,-67.91,111.44,--,-188.80,397.99,-77.30,,,,,,,,,,,,,,,,40.0亿,44.5亿,47.3亿,53.8亿,63.0亿,57.2亿,51.2亿,53.6亿,54.2亿,,,,,,,,,,,,,,,,-6.65,13.24,57.47,31.06,57.41,28.60,8.32,-0.35,-13.93,
sz000159,,,,,,,,,,,,,,,2711万,2360万,-1959万,-4079万,716万,-1308万,-1458万,-2458万,6599万,,,,,,,,,,,,,,,,--,-75.83,--,-552.62,-73.57,-155.45,--,--,821.01,,,,,,,,,,,,,,,,1.63亿,1.37亿,6003万,7221万,1.21亿,1.03亿,1.92亿,1.28亿,1.61亿,,,,,,,,,,,,,,,,128.18,-54.37,18.86,-58.15,-25.92,-25.18,220.55,76.85,33.16,
sz300320,,,,,,,,,,,,,,,1928万,2250万,2361万,3660万,4014万,3994万,4673万,4506万,3023万,,,,,,,,,,,,,,,,102.58,93.86,17.12,73.85,108.22,77.51,97.97,23.11,-24.69,,,,,,,,,,,,,,,,2.15亿,2.47亿,2.34亿,2.85亿,3.64亿,4.09亿,4.78亿,5.58亿,5.31亿,,,,,,,,,,,,,,,,12.82,8.85,27.17,35.77,69.10,65.72,104.65,95.52,46.02,
sz300471,,,,,,,,,,,,,,,3011万,7795万,944万,5243万,319万,-3258万,-4008万,-3664万,-7563万,,,,,,,,,,,,,,,,-47.49,47.40,28.62,0.97,-89.41,-141.79,-524.64,-169.87,-2471.48,,,,,,,,,,,,,,,,2.80亿,5.61亿,1.76亿,2.87亿,2.26亿,5036万,6493万,9596万,9784万,,,,,,,,,,,,,,,,1.62,40.12,7.41,-3.19,-19.42,-91.02,-63.06,-66.59,-56.63,
sz300290,,,,,,,,,,,,,,,467万,1414万,359万,1264万,-460万,719万,547万,91.4万,247万,,,,,,,,,,,,,,,,81.37,-53.45,-13.03,33.66,-198.43,-49.17,52.33,-92.77,--,,,,,,,,,,,,,,,,1.00亿,1.84亿,8652万,8672万,8060万,1.65亿,9570万,1.27亿,1.48亿,,,,,,,,,,,,,,,,10.97,-28.02,-5.09,-31.63,-19.61,-10.59,10.61,46.51,83.46,
sh600075,,,,,,,,,,,,,,,1.31亿,8971万,1.57亿,1.86亿,1.67亿,2819万,1.58亿,6739万,8983万,,,,,,,,,,,,,,,,470.03,27.62,42.62,17.53,27.89,-68.57,0.35,-63.84,-46.32,,,,,,,,,,,,,,,,11.6亿,15.6亿,9.67亿,13.2亿,11.9亿,15.0亿,11.3亿,13.0亿,11.0亿,,,,,,,,,,,,,,,,22.56,3.23,-23.09,-18.06,2.06,-4.00,17.22,-1.51,-7.33,
sh600535,,,,,,,,,,,,,,,3.18亿,1.73亿,3.18亿,4.38亿,3.82亿,2.38亿,3.72亿,5.53亿,4.44亿,,,,,,,,,,,,,,,,-18.08,-33.31,14.84,7.44,20.10,37.32,16.77,26.34,16.14,,,,,,,,,,,,,,,,32.1亿,43.4亿,33.5亿,39.2亿,39.0亿,49.3亿,39.5亿,45.2亿,45.5亿,,,,,,,,,,,,,,,,2.00,12.77,6.45,20.36,21.36,13.78,18.06,15.49,16.71,
sz300009,,,,,,,,,,,,,,,5628万,5592万,4719万,6855万,7702万,8498万,5955万,7056万,1.01亿,,,,,,,,,,,,,,,,17.85,104.55,34.06,37.35,36.86,51.99,26.19,2.93,31.75,,,,,,,,,,,,,,,,2.17亿,2.77亿,1.99亿,2.48亿,2.85亿,3.64亿,2.80亿,3.47亿,3.91亿,,,,,,,,,,,,,,,,33.66,55.02,16.83,34.34,31.17,31.51,40.49,39.98,37.33,
sz002672,,,,,,,,,,,,,,,1.74亿,1.53亿,1.04亿,1.16亿,1.06亿,1.47亿,1.21亿,1.44亿,1.07亿,,,,,,,,,,,,,,,,91.98,125.33,22.86,-4.34,-39.16,-4.07,16.80,24.38,0.54,,,,,,,,,,,,,,,,6.96亿,7.51亿,6.76亿,7.28亿,7.57亿,9.39亿,7.58亿,9.04亿,8.11亿,,,,,,,,,,,,,,,,10.13,15.17,35.29,8.54,8.74,25.06,12.24,24.17,7.18,
sh600327,,,,,,,,,,,,,,,2401万,3029万,9998万,8566万,2485万,5077万,1.24亿,9483万,2261万,,,,,,,,,,,,,,,,69.47,-35.33,15.56,35.35,3.49,67.60,23.63,10.71,-9.04,,,,,,,,,,,,,,,,21.2亿,26.2亿,22.5亿,19.9亿,22.1亿,27.2亿,24.6亿,20.7亿,22.4亿,,,,,,,,,,,,,,,,9.92,17.42,-3.19,-1.03,4.37,3.83,9.15,3.83,1.15,
sz300159,,,,,,,,,,,,,,,8901万,1.44亿,67.2万,9076万,1.65亿,1.49亿,5035万,1.38亿,1.36亿,,,,,,,,,,,,,,,,29.83,-33.23,-55.16,443.19,85.65,3.50,7387.86,52.20,-17.45,,,,,,,,,,,,,,,,5.04亿,10.3亿,8495万,4.03亿,5.64亿,8.02亿,1.97亿,5.74亿,7.36亿,,,,,,,,,,,,,,,,22.24,15.85,17.21,113.21,11.92,-21.81,131.70,42.56,30.43,
sz000960,,,,,,,,,,,,,,,4953万,8165万,1.44亿,2.14亿,1.81亿,1.67亿,1.76亿,2.77亿,2.76亿,,,,,,,,,,,,,,,,--,--,--,974.15,264.81,104.28,21.79,29.09,52.53,,,,,,,,,,,,,,,,93.5亿,76.1亿,76.6亿,110亿,88.9亿,68.3亿,90.3亿,110亿,113亿,,,,,,,,,,,,,,,,-8.52,1.69,42.37,-0.56,-4.91,-10.22,17.93,0.05,26.58,
sz002343,,,,,,,,,,,,,,,5358万,1.44亿,2857万,4761万,7332万,2.59亿,8735万,1.06亿,5242万,,,,,,,,,,,,,,,,-29.51,-5.77,39.36,-33.77,36.84,79.63,205.72,122.01,-28.50,,,,,,,,,,,,,,,,4.24亿,9.73亿,1.11亿,2.22亿,2.29亿,11.0亿,2.86亿,4.71亿,5.73亿,,,,,,,,,,,,,,,,53.38,73.19,-10.88,-27.02,-45.94,13.34,157.82,112.15,149.94,
sz002228,,,,,,,,,,,,,,,1906万,3293万,3063万,4044万,3200万,5083万,4919万,3.60亿,7271万,,,,,,,,,,,,,,,,-29.19,51.71,37.54,41.04,67.91,54.34,60.58,791.35,127.22,,,,,,,,,,,,,,,,8.69亿,10.6亿,11.5亿,13.9亿,17.4亿,20.4亿,20.2亿,28.0亿,32.9亿,,,,,,,,,,,,,,,,21.54,41.73,49.87,65.21,99.76,92.33,76.10,100.57,89.57,
sh603030,,,,,,,,,,,,,,,861万,7036万,1730万,845万,2287万,1.16亿,3793万,3419万,5448万,,,,,,,,,,,,,,,,9.87,30.28,209.37,-46.62,165.75,65.05,119.23,304.61,138.15,,,,,,,,,,,,,,,,9.65亿,11.2亿,4.65亿,12.5亿,12.8亿,16.3亿,10.3亿,16.5亿,18.5亿,,,,,,,,,,,,,,,,67.15,45.51,73.43,26.73,32.92,45.77,122.61,32.29,44.44,
sh600428,,,,,,,,,,,,,,,2878万,1707万,1106万,6119万,8941万,7591万,1968万,3966万,6971万,,,,,,,,,,,,,,,,--,--,1103.91,1652.23,210.66,344.68,77.95,-35.18,-22.04,,,,,,,,,,,,,,,,14.8亿,15.7亿,16.0亿,17.1亿,16.6亿,15.4亿,16.2亿,17.8亿,21.1亿,,,,,,,,,,,,,,,,-14.38,5.51,17.85,15.52,12.19,-1.71,1.23,4.00,27.62,
sh601328,,,,,,,,,,,,,,,149亿,146亿,193亿,197亿,154亿,158亿,201亿,207亿,165亿,,,,,,,,,,,,,,,,1.37,0.99,1.35,5.68,3.53,8.01,3.97,5.23,7.05,,,,,,,,,,,,,,,,440亿,459亿,549亿,488亿,461亿,462亿,491亿,528亿,560亿,,,,,,,,,,,,,,,,-11.53,-3.35,-2.05,3.16,4.70,0.88,-10.59,8.14,21.45,
sz300239,,,,,,,,,,,,,,,469万,618万,572万,642万,344万,684万,689万,989万,600万,,,,,,,,,,,,,,,,288.51,825.81,75.90,25.99,-26.81,10.61,20.44,54.03,74.75,,,,,,,,,,,,,,,,6755万,8787万,7689万,8532万,8032万,1.14亿,9900万,1.31亿,9212万,,,,,,,,,,,,,,,,16.21,-4.00,-2.89,4.06,18.91,29.41,28.76,53.74,14.70,
sz300371,,,,,,,,,,,,,,,2138万,2325万,-296万,1396万,2349万,3076万,503万,1571万,2883万,,,,,,,,,,,,,,,,-2.86,-7.58,--,8.18,9.87,32.30,--,12.58,22.75,,,,,,,,,,,,,,,,7622万,7528万,2244万,4619万,7644万,1.02亿,2803万,5282万,8168万,,,,,,,,,,,,,,,,23.21,7.72,10.84,10.20,0.28,34.97,24.92,14.35,6.86,
sh603326,,,,,,,,,,,,,,,2620万,4185万,-176万,1415万,2807万,4330万,-389万,2379万,4698万,,,,,,,,,,,,,,,,--,--,--,102.44,7.11,3.48,--,68.11,67.39,,,,,,,,,,,,,,,,1.86亿,2.60亿,1.20亿,2.19亿,2.53亿,3.23亿,1.51亿,2.77亿,3.18亿,,,,,,,,,,,,,,,,--,--,103.28,27.92,36.05,24.28,25.98,26.67,25.49,
sz002341,,,,,,,,,,,,,,,974万,-142万,2276万,5119万,4824万,5034万,5124万,1.05亿,1.50亿,,,,,,,,,,,,,,,,--,--,11.01,140.11,395.24,--,125.13,105.60,210.04,,,,,,,,,,,,,,,,3.90亿,6.95亿,3.43亿,5.60亿,5.43亿,6.18亿,5.09亿,9.93亿,10.3亿,,,,,,,,,,,,,,,,73.51,186.76,23.37,89.42,39.31,-11.02,48.11,77.39,89.21,
sz000760,,,,,,,,,,,,,,,-2561万,1.49亿,-4455万,1.65亿,-5307万,-2.36亿,-3135万,-1.13亿,-1.96亿,,,,,,,,,,,,,,,,--,--,--,--,--,-258.22,--,-168.54,--,,,,,,,,,,,,,,,,3321万,2.42亿,3746万,2566万,5898万,2927万,7238万,4888万,6099万,,,,,,,,,,,,,,,,-35.31,376.46,-6.58,-37.46,77.61,-87.91,93.24,90.53,3.41,
sz000788,,,,,,,,,,,,,,,328万,-242万,697万,1430万,819万,480万,1462万,1211万,1122万,,,,,,,,,,,,,,,,--,-101.15,3.01,189.83,149.94,--,109.91,-15.36,37.00,,,,,,,,,,,,,,,,4.65亿,7.29亿,4.60亿,5.86亿,5.70亿,5.30亿,5.25亿,5.35亿,5.57亿,,,,,,,,,,,,,,,,-32.39,85.88,13.94,24.04,22.59,-27.33,13.93,-8.69,-2.15,
sz300047,,,,,,,,,,,,,,,2137万,9075万,127万,995万,2187万,1.23亿,512万,3324万,3986万,,,,,,,,,,,,,,,,40.50,79.33,--,-31.61,2.30,35.38,304.78,234.22,82.31,,,,,,,,,,,,,,,,5.15亿,11.1亿,4.13亿,5.55亿,6.33亿,13.6亿,4.97亿,6.85亿,7.47亿,,,,,,,,,,,,,,,,39.53,42.22,6.20,28.73,22.86,22.38,20.39,23.36,18.05,
sh600579,,,,,,,,,,,,,,,118万,390万,43.0万,322万,-1670万,-3389万,450万,588万,193万,,,,,,,,,,,,,,,,-83.37,-79.83,--,-55.41,-1514.10,-967.88,945.79,82.78,--,,,,,,,,,,,,,,,,8948万,1.80亿,8411万,1.41亿,4685万,1.74亿,1.11亿,1.66亿,1.72亿,,,,,,,,,,,,,,,,-25.45,-46.58,269.64,-25.84,-47.64,-3.07,31.49,17.92,266.17,
sz002076,,,,,,,,,,,,,,,1802万,376万,773万,726万,1536万,2552万,1247万,-2867万,-3896万,,,,,,,,,,,,,,,,40.05,-84.17,47.94,-46.22,-14.78,578.36,61.35,-495.07,-353.67,,,,,,,,,,,,,,,,2.03亿,2.41亿,2.06亿,2.46亿,2.51亿,3.22亿,1.91亿,1.64亿,1.81亿,,,,,,,,,,,,,,,,-3.10,-6.64,22.00,22.86,23.43,33.89,-7.47,-33.19,-27.85,
sh600059,,,,,,,,,,,,,,,1486万,2624万,6329万,3092万,828万,6186万,8019万,2357万,1096万,,,,,,,,,,,,,,,,-3.50,-45.28,2.38,60.98,-44.32,135.75,26.70,-23.75,32.40,,,,,,,,,,,,,,,,2.55亿,4.15亿,5.91亿,3.07亿,2.89亿,4.51亿,6.57亿,3.15亿,3.03亿,,,,,,,,,,,,,,,,2.33,-0.52,2.22,6.87,13.11,8.70,11.18,2.44,5.00,
sz300748,,,,,,,,,,,,,3032万,3300万,,--,,--,3147万,4083万,,--,6239万,3262万,,,,,,,,,,,,,97.61,-15.97,,--,,--,--,--,,--,98.27,-20.09,,,,,,,,,,,,,2.32亿,1.87亿,,--,,--,2.55亿,2.79亿,,--,3.67亿,3.06亿,,,,,,,,,,,,,28.15,-16.87,,--,,--,--,--,,--,44.05,9.55
sz000816,,,,,,,,,,,,,,,-729万,-1.46亿,534万,-5709万,-1223万,-2.02亿,-5606万,-2258万,-1108万,,,,,,,,,,,,,,,,--,-1173.47,-47.09,-1148.92,--,--,-1149.78,--,--,,,,,,,,,,,,,,,,5.24亿,3.53亿,5.18亿,3.32亿,5.02亿,3.89亿,3.92亿,3.67亿,3.50亿,,,,,,,,,,,,,,,,-0.94,-2.69,4.28,-28.12,-4.19,10.30,-24.36,10.60,-30.34,
sz000700,,,,,,,,,,,,,,,5232万,8584万,7999万,4023万,6505万,-5081万,1073万,252万,-548万,,,,,,,,,,,,,,,,17.14,-46.64,-16.20,-42.84,-7.67,-96.84,-86.58,-93.73,-108.42,,,,,,,,,,,,,,,,8.13亿,17.7亿,10.4亿,10.8亿,9.98亿,12.2亿,10.5亿,12.0亿,13.5亿,,,,,,,,,,,,,,,,12.00,11.40,6.28,33.32,4.06,0.83,1.09,10.63,34.78,
sh600734,,,,,,,,,,,,,,,3992万,5758万,165万,5056万,3157万,1.03亿,-3058万,1.29亿,2587万,,,,,,,,,,,,,,,,--,-69.22,-95.39,0.34,-20.91,78.76,-1950.33,155.50,-18.05,,,,,,,,,,,,,,,,15.5亿,19.7亿,13.2亿,11.9亿,12.6亿,27.1亿,11.3亿,16.4亿,12.5亿,,,,,,,,,,,,,,,,7102.18,741.78,42384.89,68.39,-18.90,37.47,-13.89,37.57,-1.05,
sz000802,,,,,,,,,,,,,,,419万,5.08亿,501万,3365万,-1974万,2.91亿,1275万,3148万,202万,,,,,,,,,,,,,,,,1369.19,2790.11,--,-4.44,-571.55,-42.64,154.55,-6.43,--,,,,,,,,,,,,,,,,1.00亿,6.70亿,5373万,1.13亿,7548万,10.8亿,1.50亿,1.54亿,4963万,,,,,,,,,,,,,,,,1.00,309.65,19.62,1.63,-24.65,60.95,178.47,36.18,-34.25,
sz000403,,,,,,,,,,,,,,,1625万,-845万,1951万,2508万,-262万,-2037万,2823万,3848万,1367万,,,,,,,,,,,,,,,,14.15,-147.13,10.40,1.87,-13.28,--,44.70,53.45,--,,,,,,,,,,,,,,,,1.41亿,1.37亿,1.33亿,1.88亿,1.93亿,1.71亿,2.18亿,2.08亿,2.07亿,,,,,,,,,,,,,,,,13.94,18.77,-19.05,59.37,36.58,24.39,64.34,10.43,7.36,
sz000752,,,,,,,,,,,,,,,164万,366万,365万,337万,268万,-16.7万,335万,366万,-756万,,,,,,,,,,,,,,,,-42.91,81.68,-0.89,--,63.23,-104.57,-8.06,8.79,-381.99,,,,,,,,,,,,,,,,9838万,9100万,9340万,8409万,8596万,9810万,9117万,7830万,9170万,,,,,,,,,,,,,,,,-3.84,-0.54,-3.74,18.37,-12.62,7.80,-2.39,-6.89,6.67,
sz300091,,,,,,,,,,,,,,,1500万,-379万,2174万,4865万,3005万,2446万,4418万,6518万,3384万,,,,,,,,,,,,,,,,55.85,-235.30,7.44,225.20,100.27,--,103.23,33.97,12.62,,,,,,,,,,,,,,,,2.15亿,2.48亿,2.52亿,3.83亿,4.41亿,3.88亿,3.85亿,6.67亿,5.47亿,,,,,,,,,,,,,,,,-8.96,11.24,8.40,53.12,104.96,56.07,52.66,74.28,24.07,
sh600984,,,,,,,,,,,,,,,3920万,1172万,-1017万,6671万,3264万,-6636万,-615万,6539万,5724万,,,,,,,,,,,,,,,,5.34,240.42,--,24.25,-16.74,-666.33,--,-1.97,75.38,,,,,,,,,,,,,,,,3.62亿,4.50亿,2.53亿,4.88亿,5.21亿,5.67亿,3.43亿,5.77亿,6.35亿,,,,,,,,,,,,,,,,70.54,28.78,13.12,43.37,43.94,26.17,35.57,18.37,21.95,
sh600502,,,,,,,,,,,,,,,1.89亿,2.58亿,8420万,2.03亿,1.44亿,3.50亿,1.10亿,1.80亿,1.44亿,,,,,,,,,,,,,,,,23.23,99.22,-11.81,88.30,-23.45,35.44,30.22,-11.48,-0.46,,,,,,,,,,,,,,,,67.2亿,111亿,66.7亿,72.2亿,101亿,114亿,73.8亿,89.3亿,93.8亿,,,,,,,,,,,,,,,,7.02,54.02,-17.81,-15.85,50.53,3.37,10.65,23.64,-7.29,
sz002602,,,,,,,,,,,,,,,1.18亿,1.11亿,1.25亿,4.93亿,9649万,6806万,3.14亿,3.97亿,1.69亿,,,,,,,,,,,,,,,,-9.41,-16.96,3.00,221.68,-18.18,-38.56,150.59,-19.49,75.40,,,,,,,,,,,,,,,,8.43亿,9.14亿,8.58亿,7.74亿,8.28亿,10.3亿,13.8亿,25.2亿,23.3亿,,,,,,,,,,,,,,,,-10.10,9.78,2.79,-10.31,-1.80,12.67,60.37,225.17,181.71,
sz002290,,,,,,,,,,,,,,,748万,69.3万,1235万,1798万,1347万,-4143万,1998万,3091万,2704万,,,,,,,,,,,,,,,,-5.47,--,73.53,41.82,80.15,-6077.60,61.71,71.88,100.76,,,,,,,,,,,,,,,,2.54亿,3.31亿,2.95亿,3.46亿,3.77亿,4.13亿,3.81亿,4.48亿,4.15亿,,,,,,,,,,,,,,,,-2.26,32.86,30.53,44.68,48.67,24.73,29.00,29.67,9.96,
sz000908,,,,,,,,,,,,,,,4845万,1.73亿,3319万,2551万,4427万,5912万,1513万,5178万,4979万,,,,,,,,,,,,,,,,-23.67,13.88,-17.74,-67.46,-8.65,-65.80,-54.40,102.98,12.49,,,,,,,,,,,,,,,,4.59亿,12.0亿,3.53亿,5.54亿,4.86亿,11.9亿,3.83亿,5.99亿,5.10亿,,,,,,,,,,,,,,,,-8.24,20.44,-11.69,-4.95,5.83,-0.67,8.39,8.09,4.91,
