code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
FISK,16.78,Empire State Realty OP L.P. Ser,5.171579,2.246202,3.244657,30184000,-0.0375,0,0,18058000,-0.0568,0,0,32260000,-0.0227,0,0,35489000,0.0788,0,0,254,0.006541536,-0.004253012,0.106266667,-0.073333333,21.6818,24%,16.5088,16.5496,-0.507961977,8075,16411.33333,-0.013433175,-0.011034889,4
FII,25.21,联邦投资,8.856582,3.172755,2.840825,38667000,-0.2926,256000000,-0.0616,60006000,0.176,264000000,-0.0353,132000000,1.3061,280000000,-0.0453,57241000,-0.0283,278000000,-0.0533,754,0.009632392,0.003340485,0.22,0.076666667,43.65,0.42932417,24.91,24.73333333,0.129934712,4421609.667,3913155,0.014777827,0.001428956,14
EZT,25.83,Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1,13.011913,0.918547,1.985104,30789000,0.4591,0,0,17350000,0.5985,0,0,4630000,-0.6379,0,0,39588000,-0.2947,0,0,227,-0.019243327,-0.004586316,-0.495166667,-0.123766667,28.0571,12%,24.6872,25.33573333,0.563958181,27774.33333,17759,-0.016351993,-0.007436333,4
ESBA,16.55,Empire State Realty OP L.P. Ser,42.976408,2.497744,0.385095,30184000,-0.0375,0,0,18058000,-0.0568,0,0,32260000,-0.0227,0,0,35489000,0.0788,0,0,262,-0.00889249,-0.00901447,-0.15,-0.156666667,25.97,39%,15.92,16.43,0.178867276,61715.66667,52351.66667,-0.021180847,-0.016587949,5
EDR,41.49,Education Realty Trust Inc,25.018542,1.611293,1.65837,62221000,9.9371,0,0,40578000,1.5138,0,0,25037000,0.7475,0,0,-631000,0.8385,0,0,714,0.000643695,-0.000241274,0.026666667,-0.01,59.495,0.302630473,41.49,41.49,0.881153893,5716542,3038848.667,-0.009781415,-0.003045693,13
CIVB,23.97,"Civista Bancshares, Inc. ",15.238533,2.078314,1.592673,3014000,-16%,0,0%,6989000,51%,0,0%,3980000,0.0961,0,0,3660000,-0.0054,0,0,179,0%,0%,-0.123333333,0.066666667,25.08,4%,24.05,24.40666667,28%,241708.3333,189496,-1%,0%,3
EARN,11.77,Ellington Residential Mortgage REIT,29.692333,0.859774,0.397409,1786000,0.1142,0,0,-3953000,-2.9264,0,0,792000,-0.6062,0,0,6340000,-0.0432,0,0,284,-0.032117932,-0.0022021,-0.373333333,-0.026666667,19.85,45%,10.83,11.32666667,0.229132788,389513,316900.6667,-0.034808929,-0.002696572,5
EAE,23.25,Entergy Arkansas Inc,6.811187,0.383953,3.413502,82556000,1.1415,0,0,36255000,1.5346,0,0,-5648000,-2.456,0,0,92638000,-0.159,0,0,279,-0.026284258,-0.010890608,-0.612033333,-0.262833333,25.8829,16%,21.825,22.71796667,0.708140785,40783,23875.66667,-0.029335034,-0.011644608,5
EYE,43.73,National Vision Holdings Inc.,43.865587,4.524705,0.997137,13077000,974%,386000000,14%,25047000,47%,408000000,10%,28700000,3.956,322000000,0.1613,1546000,-0.4891,346000000,0.149,50,0%,2%,-0.013333333,0.646666667,45.72,4%,43.85,44.11,24%,2150742.333,1734697.667,-1%,1%,0
DLB,69.86,杜比,77.090451,3.292578,0.898944,83288000,0.0932,317000000,0.0385,70765000,0.395,301000000,0.1267,-81478000,-2.5208,288000000,0.0809,21940000,-0.0888,242000000,0.0388,712,-0.013802937,-0.001951339,-0.976666667,-0.146666667,71.43,0.045079098,68.21,69.23666667,0.316838603,1800094.667,1366982,-0.017947177,-0.005640501,13
DCT,66.28,DCT工业信托,52.106837,3.152293,1.272002,25288000,-0.4186,0,0,50942000,2.2264,0,0,22215000,0.0717,0,0,26980000,0.6462,0,0,617,0,0,0,0,68.69,0.035085165,66.28,66.28,0.316838603,0,0,-0.003807968,-0.004697945,11
CPAC,10.05,Cementos Pacasmayo S.A.A.,26.763601,3.506245,0.37551,23452000,0.1029,288000000,0.0231,29792000,0.3735,315000000,0.1281,-895000,-1.0852,328000000,0.0355,38571000,-0.11,335000000,0.067,348,0.034313516,-0.027079115,0.353333333,-0.300166667,15.16,27%,11.08,10.53666667,-0.65858375,16243.33333,47576.33333,0.033578869,-0.020686435,6
ES,61.63,Eversource Energy,19.528053,1.747012,3.182601,245000000,5%,0,0%,271000000,4%,0,0%,239000000,0.0357,0,0,262000000,-0.0185,0,0,190,0%,0%,-0.276666667,0.146666667,65.43,5%,62.4,62,28%,6666694,5227667.667,-1%,0%,3
CLNC,22.86,Colony NorthStar Credit Real Estate Inc. Class A,0,0.97766,-0.286808,15874000,-0.5089,0,0,-2401000,-1.075,0,0,-13996000,0,0,0,31821000,0,0,0,36,-0.013014443,0.023979596,-0.303333333,0.486666667,23,9%,20.84,21.94333333,2.155012692,5047607,1599869,-0.015419424,0.01878789,0
CIM,18.59,奇美拉投资,6.155849,0.952464,3.019892,118000000,0.0269,0,0,239000000,0.468,0,0,108000000,-0.5151,0,0,139000000,-0.1943,0,0,569,-0.025297129,-0.000106621,-0.466666667,-0.003333333,95,0.816315789,17.45,18.09666667,0.308869129,6335332.333,4840310,-0.027531837,-0.003571515,10
EQH,22.55,Axa Equitable Holdings,14.580777,0.93528,1.529411,255000000,-63%,1075000000,8%,291000000,248%,1055000000,11%,802000000,4.6621,1123000000,0.1401,23000000,-0.5741,1018000000,0.0818,22,-1%,-1%,-0.206666667,-0.123333333,22.95,5%,21.83,21.91333333,107%,10924640,5277662,-1%,-1%,0
CHKR,1.675,Chesapeake Granite Wash Trust,6.188838,2.937117,0.266609,2193000,-0.3775,3154000,-0.2709,3680000,0.1511,3682000,0.0202,3073000,0.0223,3307000,0.015,3518000,0.3667,3754000,0.4844,361,-0.004901961,0.000577201,-0.008333333,0,29.62,95%,1.62,1.648333333,0.017775493,271933.6667,267184.3333,-0.019745659,-0.014221755,6
CBS.A,57.08,哥伦比亚广播,15.190563,9.904908,3.757596,400000000,5.8966,3466000000,0.0642,511000000,3.0278,3761000000,0.125,-41000000,0.6372,3921000000,0.1146,592000000,0.2385,3171000000,0.0282,674,-0.003253147,0.018934296,-0.198133333,0.996666667,70.36,0.209816657,55.5973,56.71576667,-0.643484377,17742,49765,-0.006400471,0.012647016,12
BSMX,7.68,桑坦德银行墨西,18.720559,8.164773,0.40971,5171000000,0.1219,0,0,4727000000,0.0458,0,0,4481000000,-0.1593,0,0,4066000000,0.041,0,0,315,0.005078469,-0.017698679,0.036666667,-0.14,17.44,56%,7.66,7.68,0.133196095,7933461.667,7000961,0.000222407,-0.018697246,6
VRSK,121.19,Verisk Analytics,32.559443,9.593693,3.709523,153000000,27%,601000000,15%,133000000,22%,581000000,16%,205000000,0.8719,570000000,0.1269,121000000,-0.0541,549000000,0.1024,470,-1%,1%,-0.903333333,0.993333333,121.63,2%,119.46,120.0133333,25%,4003987,3207273.333,-1%,1%,9
BPK,15.06,BPK信托,84.857981,0.9978,0.177473,891700,-0.3964,0,0,891700,-0.3964,0,0,520000,1.4536,0,0,520000,1.4536,0,0,754,0.000445623,0.000666222,0.006666667,0.01,17.42,0.136624569,15.04,15.04666667,0.354567617,98161,72466.66667,-0.003807821,-0.003809205,14
BLH,14.9148,BLH信托,139.069621,0.997849,0.107247,189600,-0.4078,0,0,189600,-0.4078,0,0,5230,1.0185,0,0,5230,1.0185,0,0,754,0.000503206,0.00089666,0.0075,0.013333333,17.19,0.132053519,14.92,14.91416667,-0.406267768,11834.66667,19932.66667,-0.003360644,-0.002448115,14
BKHU,63.57,Black Hills Corporation,14.509767,1.865747,4.381187,24740000,-0.0226,0,0,137000000,0.7048,0,0,61300000,1.8626,0,0,31598000,0.7668,0,0,149,0.004646674,-0.008088526,0.286666667,-0.526666667,78.24,18%,64.25,63.49333333,1.674053664,522117,195253,-0.002456245,-0.010877308,2
BJZ,14.9141,BJZ信托,93.125235,0.998371,0.160151,351900,-0.3166,0,0,351900,-0.3166,0,0,163200,1.9102,0,0,163200,1.9102,0,0,754,0.000896057,0.002023991,0.013333333,0.03,16.85,0.114540059,14.92,14.92003333,-0.142572999,31469,36701.66667,-0.003360541,-0.003125618,14
