code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
IDXG,Interpace Diagnostics Group Inc,1.33,1.36,348203,0.435296,0.0,1.008721,-0.86727
HTHT,华住,27.7,28.34,1095509,0.586117,42.03276,8.562125,0.674236
KALA,Kala Pharmaceuticals Inc.,8.22,8.56,1083406,1.241925,0.823935,4.036144,10.38917
OSTK,Overstock.com,25.38,26.4,1250306,0.959591,0.0,6.361484,-7.693244
JG,极光,5.82,6.05,33349,0.641218,0.0,-17.256226,-0.263976
DOMO,Domo Inc.,18.13,18.88,514059,0.858593,0.0,5.261991,-84.445198
AQST,Aquestive Therapeutics Inc.,14.22,14.9,85513,1.021048,0.0,-9.541789,-2.582003
MDGS,Medigus Ltd.,2.986,3.13,17462,0.372785,2.76448,0.716573,1.13222
MESA,"Mesa Air Group, Inc.",12.77,13.39,113390,0.740859,7.486369,2.006294,1.788584
PIRS,"Pieris Pharmaceuticals, Inc.",4.81,5.05,368185,0.823875,0.0,4.932846,-0.161617
SECO,寺库,11.02,11.67,52112,0.510923,14.369833,3.023973,0.812118
MYOS,MYOS Corporation,1.2,1.2199,16592,0.7729,0.0,2.446912,-0.632107
CLDX,塞德斯医疗,0.41,0.42,1045090,0.789972,0.0,0.532818,-1.168029
MOMO,陌陌,37.5,37.65,5500553,1.209742,17.744091,5.434176,2.121833
SFIX,Stitch Fix Inc.,25.45,26.08,3513182,0.753325,55.730546,8.205701,0.467966
FLKS,"Flex Pharma, Inc.",0.5,0.53,373792,0.455574,0.0,0.714145,-1.952319
SEII,共享经济国际,3.02,3.1,1753,0.108653,0.0,0.351906,-9.880594
UBIO,Proshares UltraPro NASDAQ Biotechnology,33.51,33.2,47878,1.14941,0.0,0.0,0.0
INSE,Inspired Entertainment Inc,7.68,8.04,44001,1.788266,0.0,-34.623581,-0.455643
SINA,新浪,60.66,62.5,909735,0.667662,28.16754,1.631044,2.218866
WIX,Wix.Com Ltd,97.1,97.51,772718,0.759679,0.0,45.402676,-0.995162
TRPX,Therapix Biosciences Ltd.,5.03,5.26,263699,1.217193,0.0,3.569755,-83.327599
TST,TheStreet,2.1,2.18,62628,0.324088,1.771373,1.710827,1.230684
MSON,Misonix Inc,17.63,18.43,12044,0.812532,0.0,7.131533,-0.844963
CCB,Coastal Financial Corp,16.28,17.0,52651,2.039424,24.989858,2.907123,0.680276
ZN,锡安石油和天然气,1.08,1.1,342388,1.02357,0.0,2.324321,-0.156671
RUBY,Rubius Therapeutics Inc.,17.71,18.0,130571,0.774572,0.0,-20.121439,-8.773347
NFLX,"Netflix, Inc.",339.57,339.56,14870830,1.073478,148.943673,32.883501,2.279788
OPHC,OptimumBank Holdings,4.98,4.98,221,0.039148,5.065258,1.480063,0.983168
EYE,National Vision Holdings Inc.,40.57,42.22,556675,1.168077,42.341222,4.367468,0.997137
BCRX,BioCryst制药,6.72,7.01,514199,1.285404,0.0,16.634667,-0.827969
EGAN,eGain Communications Corporation,6.93,7.2,401543,0.590729,0.0,-22.894956,-0.072842
CUI,CUI Global,2.14,2.23,21772,0.569652,0.0,1.24141,-0.584939
NFEC,能发伟业,4.21,4.3,49144,0.80171,0.0,1.29255,-0.41237
SANW,S&W Seed Company,2.68,2.8,59506,1.781339,0.0,0.889107,-0.210176
PMTS,CPI Card Group,2.74,2.8,26471,1.014876,0.0,-0.222781,-3.533251
CADC,新奥混凝土,2.49,2.3771,12089,0.393379,16.951316,1.025834,0.140231
IRTC,Irhythm Technologies Inc.,83.6,86.64,367050,1.157602,0.0,30.305317,-1.760111
VRCA,Verrica Pharmaceuticals Inc.,13.45,13.95,47743,0.910987,0.0,3.528505,-3.642549
ADSK,欧特克,135.68,138.18,3965861,1.150292,0.0,-125.03496,-1.894145
EYPT,pSivida Corp,3.14,3.23,503857,1.081963,0.0,20.593302,-1.15024
OSN,奥盛创新,1.94,1.9,16442,0.669708,1.410575,0.119019,1.346968
TTWO,Take-Two Interactive Software,126.73,129.05,2571846,1.154287,78.786015,7.930835,1.637981
RVEN,Reven Housing Reit Inc,4.0404,4.0954,1988,1.316033,0.0,1.385153,-0.227387
INTU,财捷,208.19,211.82,2602222,1.092345,44.777812,23.27605,4.730468
ZGNX,Zogenix,40.14,41.53,865073,0.975665,0.0,6.206801,-4.547037
ATVI,动视暴雪,78.4,77.92,12695166,1.541956,118.411892,5.742014,0.658042
FTD,FTD Companies Inc.,2.2,2.31,127284,0.865803,0.0,0.694221,-13.671287
ARVN,Arvinas Holding Company LLC,13.87,14.45,123411,1.211049,0.0,0.0,0.0
PPSI,Pioneer Power Solutions Inc.,4.98,5.01,2468,1.838772,0.0,2.708307,-1.388934
FOLD,爱美医疗,12.0,12.39,2725557,0.904286,0.0,4.170496,-1.741597
REDU,瑞思学科英语,10.98,11.47,199888,1.257591,0.0,11.9986,-0.105865
ALDX,Aldeyra Therapeutics Inc,12.04,12.49,853643,1.995863,0.0,8.857327,-1.574982
EXTR,极速网络,4.93,5.08,1565613,0.914741,0.0,5.328183,-0.409661
GLUU,Glu移动,6.1,6.28,3650239,0.974552,0.0,5.417778,-0.458201
IRCP,IRSA Propiedades Comerciales SA,22.4618,23.75,9535,0.990258,1.435841,0.204624,16.540825
AERI,Aerie Pharmaceuticals Inc.,53.45,55.37,537487,1.486844,0.0,12.848708,-4.984814
INSG,Novatel Wireless Inc,3.59,3.55,451418,0.843172,0.0,-3.981525,-0.532292
MTCH,"Match Group, Inc.",53.66,54.14,2687819,0.981703,28.64858,26.610233,1.889797
AUTL,Autolus Therapeutics PLC,25.01,25.5,45331,1.646783,0.0,7.781778,-2.367136
SAUC,"Diversified Restaurant Holdings, Inc. ",1.32,1.39,438137,2.844203,0.0,-1.981545,-0.817474
ONS,"Oncobiologics, Inc.",0.917,0.915,3853,0.638696,0.0,-5.004818,-1.590148
MNKD,曼恩凯德生物医疗,1.58,1.6,2088734,0.856115,0.0,-1.184699,-1.014384
TNDM,Neutral Tandem Inc.,35.85,36.13,2313596,0.882529,0.0,79.50579,-4.029631
OKTA,Okta Inc.,57.71,57.59,2689302,0.842707,0.0,25.649502,-1.019725
MFIN,Medallion Financial Corp.,6.7,6.9,135724,0.826031,0.0,0.654408,-1.054635
TEDU,达内科技,7.53,7.92,132799,1.144424,0.0,2.38758,-0.490284
NEWT,Newtek Business Services Inc,18.25,18.91,433963,1.090072,8.094663,1.258904,2.336107
LFVN,Lifevantage Corporation,10.27,10.58,121350,0.99342,25.69614,6.800225,0.411735
HWCC,休斯顿电线电缆,7.6,7.99,40143,1.07505,27.022823,1.375023,0.295676
IZEA,IZEA Inc.,1.6,1.64,249746,0.688477,0.0,8.67349,-0.857673
JOBS,前程无忧,60.02,61.39,1064503,2.105455,0.0,4.579738,-0.633725
IVAC,因特瓦克,4.63,4.75,143493,1.576281,0.0,1.365012,-0.186095
MRTX,Mirati Therapeutics Inc.,41.56,42.58,372006,0.685435,0.0,5.593099,-2.764444
DRAD,Digirad Corporation,1.39,1.45,28945,0.53041,0.0,0.984278,-1.35709
ZS,Zscaler Inc.,37.09,36.3,1436262,0.947952,0.0,18.09789,-0.625819
CTRV,ContraVir Pharmaceuticals Inc,0.5166,0.5169,119448,0.393847,0.0,-4.647595,-1.505963
TSRO,TESARO Inc,39.5,40.6,1670395,1.058708,0.0,-103.459681,-9.830021
PBPB,Potbelly Corporation,12.59,13.12,399542,1.191456,0.0,2.808899,-0.400777
QADB,QAD Inc,38.62,37.5,329,0.046375,0.0,5.953477,-0.423923
ADMS,"Adamas Pharmaceuticals, Inc.",17.64,18.17,360925,0.747843,0.0,3.465562,-4.928279
ZLAB,再鼎医药,15.08,15.7,149396,0.554354,0.0,4.585819,-0.848122
NVLN,Novelion Therapeutics Inc,1.11,1.05,2293457,0.855561,0.0,-0.440284,-7.406317
PLCE,The Children’s Place Retail Sto,129.87,134.25,600454,1.027379,31.501847,6.813971,4.261655
RSLS,项由永恒医疗器材,0.03,0.0316,6167102,1.087686,0.0,0.067445,-34.473705
RAVE,RAVE Restaurant Group,1.41,1.5,51314,2.36248,10.38012,3.5833,0.144507
EKSO,Ekso Bionics Holdings Inc,2.15,2.15,223788,0.829445,0.0,17.150478,-0.485856
ABUS,Arbutus Biopharma Corporation,4.27,4.31,631522,0.344077,0.0,2.038348,-1.231085
EDNT,Xspand Products Lab Inc,6.35,6.47,19594,1.385891,0.0,6.377502,-0.570498
NVDA,英伟达,245.5066,246.54,15205489,1.1259,34.624035,17.043356,7.120487
MBII,Marrone Bio Innovations Inc,1.66,1.73,199906,1.341955,0.0,8.710963,-0.581951
DERM,Dermira,11.46,11.68,541037,1.151296,0.0,4.36533,-7.74454
TRIL,Trillium Therapeutics Inc.,3.78,3.9,68896,0.371485,0.0,3.274749,-3.65
ETTX,Entasis Therapeutics Holdings Inc.,8.52,8.67,83916,0.90651,0.0,0.0,0.0
ATHN,雅典娜,119.5,126.61,1736447,2.862384,45.372512,5.00826,2.790456
KWEB,KraneShares CSI China Internet ETF,43.54,44.2,5031916,1.613659,0.0,0.0,0.0
BLPH,"Bellerophon Therapeutics, Inc.",1.04,1.09,176514,0.514547,0.0,-8.10296,-0.819456
PS,Pluralsight,24.07,24.12,434415,0.472635,0.0,13.256973,-4.171479
SHIP,Seanergy Maritime Holdings Corp,0.86,0.9,115108,2.096601,0.0,1.200461,-0.148342
PFPT,Proofpoint,98.39,101.06,1458414,1.150538,0.0,17.881055,-1.815134
MYOK,Myokardia Inc,51.23,52.95,377711,1.278926,0.0,5.48819,-1.418416
AIMT,"Aimmune Therapeutics, Inc.",25.62,26.37,407218,1.137406,0.0,5.357354,-3.273426
NOVN,Novan Inc.,2.46,2.42,26044,0.423527,0.0,14.480209,-1.493875
AAXN,"Axon Enterprise, Inc.",57.85,58.86,701725,0.931917,161.538651,7.647897,0.364371
PENN,佩恩国民博彩,29.12,29.92,3227231,0.513359,4.940815,99.120243,6.055681
FOSL,福思,20.17,20.67,1308655,1.026107,0.0,1.982408,-2.907978
MTLS,Materialise NV,11.66,12.01,91427,0.58297,3197.550618,7.063346,0.003756
IEP,伊坎企业,66.89,67.79,122578,1.218205,8.6066,2.187903,7.876513
ABMD,阿比奥梅德,381.57,384.78,989299,1.238973,103.688884,23.871734,3.710909
ISRG,直觉外科公司,522.01,532.02,1032967,0.870673,75.112982,10.325904,7.08293
ALGN,阿莱技术公司,326.13,327.5,1478697,1.035172,89.026546,21.579747,3.678678
AXGN,AxoGen Inc.,33.45,33.98,472619,0.7157,0.0,8.652416,-0.503204
ILMN,Illumina,316.55,321.69,1923323,1.245446,72.798252,14.519014,4.418925
BLFS,BioLife Solutions Inc.,12.39,12.89,209295,1.003082,0.0,11.732617,-0.018265
OPTT,Ocean Power Technologies,0.64,0.6331,149951,0.504503,0.0,1.654747,-0.623258
PDCE,PDC Energy,48.9,50.61,1051228,0.965649,0.0,1.428859,-5.889764
KINS,金石保险,16.78,17.5,23539,1.311599,30.349224,2.103231,0.576621
PRTK,Paratek Pharmaceuticals Inc.,9.08,9.32,781472,0.622022,0.0,3.459041,-3.360973
GBT,Global Blood Therapeutics Inc,32.45,33.02,764997,0.810941,0.0,3.393129,-3.264132
DBX,Dropbox Inc.,23.37,23.92,4268765,0.747838,0.0,15.253084,-2.396939
JMU,窝窝团,1.08,1.14,231279,1.66842,0.0,0.408839,-28.173807
IQ,爱奇艺,25.71,26.0,11285022,1.210119,0.0,5.485616,0.0
INAP,Internap网络服务,11.21,11.53,213407,1.147607,0.0,-29.26835,-2.301081
TTD,Trade Desk Inc.,123.75,123.06,1997730,1.286052,91.685974,17.547454,1.34219
GPRO,GoPro,6.26,6.47,4840825,0.878917,0.0,4.808373,-1.144368
SCVL,Shoe Carnival,37.55,38.62,305627,0.961424,19.026477,1.980345,2.029803
STIM,Neuronetics Inc.,23.76,24.37,114033,0.891412,0.0,-2.084474,-97.495644
SPLK,Splunk Inc,102.25,103.54,3047064,0.934839,0.0,13.237842,-1.990952
NTES,网易,218.22,220.88,1163466,1.03899,26.914746,4.596735,8.206654
PCTI,PC-Tel,4.48,4.66,215135,2.282411,35.507468,0.987683,0.13124
QQQC,Global X NASDAQ China Technology,23.72,23.422,10224,1.018144,0.0,0.0,0.0
ZBRA,Zebra Technologies Corporation,154.99,157.71,943475,1.452523,49.401656,7.891731,3.192403
RARX,Ra Pharmaceuticals Inc.,14.92,15.29,230222,0.66977,0.0,5.20945,-2.438037
SORL,瑞立集团,3.66,3.77,21927,0.28346,2.747145,0.392319,1.372334
EIGR,"Eiger BioPharmaceuticals, Inc.",9.9,10.17,148879,1.682146,0.0,2.939556,-3.848881
CLRB,Cellectar Biosciences Inc.,2.56,2.61,128204,0.934633,0.0,1.993598,-9.726896
XONE,The ExOne Company,9.43,9.52,175361,1.110912,0.0,2.556971,-1.316782
AMRH,"Ameri Holdings, Inc.",1.2,1.19,51252,0.901049,0.0,1.519978,-0.586163
STRT,Strattec Security Corporation,32.51,33.8,3087,0.328355,9.983427,0.779137,3.385611
KRNT,Kornit Digital Ltd.,18.82,19.32,353711,1.540903,351.547582,4.209862,0.054957
MTSL,MER Telemanagement Solutions Ltd,1.8,1.67,22334,0.445129,0.0,4.800628,-0.648391
MESO,Mesoblast limited,7.01,7.19,49560,0.953418,0.0,1.127786,-0.3789
LRCX,拉姆研究,142.98,143.61,3765327,1.010425,9.750804,3.363644,14.728017
IPGP,IPG光电,135.88,137.58,899387,0.816387,18.617014,3.40509,7.390014
NTEC,Intec Pharma Ltd.,4.62,4.82,44041,0.563093,0.0,2.173844,-1.527395
PTC,PTC Inc.,92.98,94.76,1274834,0.783843,195.008314,13.381765,0.485928
LENS,Presbia PLC,1.3937,1.3937,113,0.026625,0.0,6.342688,-0.703777
SIC,"Select Interior Concepts, Inc.",10.32,10.64,1451,0.304435,0.0,1.840161,-0.276554
BGFV,Big 5体育用品,5.13,5.32,207310,0.796404,0.0,0.633099,-0.396205
AXTI,AXT Inc,6.28,6.29,467323,1.044945,16.977241,1.319544,0.370496
