code,name,open,latestPrice,pe,pb,eps
JMU,窝窝团,1.08,1.14,0.0,0.408839,-28.173807
IQ,爱奇艺,25.71,26.0,0.0,5.052145,0.0
INAP,Internap网络服务,11.21,11.53,0.0,-29.26835,-2.301081
TTD,Trade Desk Inc.,123.75,123.06,91.685974,17.547454,1.34219
GPRO,GoPro,6.26,6.47,0.0,4.808373,-1.144368
SCVL,Shoe Carnival,37.55,38.62,19.026477,1.980345,2.029803
STIM,Neuronetics Inc.,23.76,24.37,0.0,-2.084474,-97.495644
SPLK,Splunk Inc,102.25,103.54,0.0,13.237842,-1.990952
NTES,网易,218.22,220.88,26.914746,4.233503,8.206654
PCTI,PC-Tel,4.48,4.66,35.507468,0.987683,0.13124
QQQC,Global X NASDAQ China Technology,23.72,23.422,0.0,0.0,0.0
ZBRA,Zebra Technologies Corporation,154.99,157.71,49.401656,7.891731,3.192403
RARX,Ra Pharmaceuticals Inc.,14.92,15.29,0.0,5.20945,-2.438037
SORL,瑞立集团,3.66,3.77,2.747145,0.392319,1.372334
EIGR,"Eiger BioPharmaceuticals, Inc.",9.9,10.17,0.0,2.939556,-3.848881
CLRB,Cellectar Biosciences Inc.,2.56,2.61,0.0,1.993598,-9.726896
XONE,The ExOne Company,9.43,9.52,0.0,2.556971,-1.316782
AMRH,"Ameri Holdings, Inc.",1.2,1.19,0.0,1.519978,-0.586163
STRT,Strattec Security Corporation,32.51,33.8,9.983427,0.779137,3.385611
KRNT,Kornit Digital Ltd.,18.82,19.32,351.547582,4.209862,0.054957
MTSL,MER Telemanagement Solutions Ltd,1.8,1.67,0.0,4.800628,-0.648391
MESO,Mesoblast limited,7.01,7.19,0.0,1.127786,-0.3789
LRCX,拉姆研究,142.98,143.61,9.750804,3.363644,14.728017
IPGP,IPG光电,135.88,137.58,18.617014,3.40509,7.390014
NTEC,Intec Pharma Ltd.,4.62,4.82,0.0,2.173844,-1.527395
PTC,PTC Inc.,92.98,94.76,195.008314,13.381765,0.485928
LENS,Presbia PLC,1.3937,1.3937,0.0,6.342688,-0.703777
SIC,"Select Interior Concepts, Inc.",10.32,10.64,0.0,1.840161,-0.276554
BGFV,Big 5体育用品,5.13,5.32,0.0,0.633099,-0.396205
AXTI,AXT Inc,6.28,6.29,16.977241,1.319544,0.370496
ADBE,Adobe,247.74,248.87,50.673669,13.708285,4.911229
APTO,Aptose Biosciences Inc,2.13,2.18,0.0,2.792155,-1.1
UBNT,厄比奎蒂,84.49,86.58,34.042279,20.294006,2.543308
IAC,IAC/InterActiveCorp,199.09,201.49,33.018454,6.508899,6.102345
ALLT,艾奥特通讯,6.35,6.32,0.0,1.540881,-0.450325
TEAM,Atlassian Corporation PLC,81.22,81.71,0.0,21.612835,-0.516216
YECO,玉龙生态材料有限公司,1.41,1.46,0.0,0.946122,-3.083285
SIEN,"Sientra, Inc.",20.98,21.46,0.0,5.927838,-3.386055
SVVC,Firsthand Technology Value Fund,15.24,15.67,2.421948,0.615032,6.47
AZRX,AzurRx Biopharma Inc.,2.36,2.45,0.0,5.431156,-0.994981
VKTX,"Viking Therapeutics, Inc.",14.16,14.46,0.0,7.227043,-0.550035
DRIO,LabStyle Innovations Corp,0.95,0.93,0.0,5.731842,-0.994627
ENDP,远藤制药,17.34,17.51,0.0,-63.164365,-4.615391
VNET,世纪互联,9.89,10.12,0.0,1.431864,-1.077393
GRIN,Grindrod Shipping Holdings Ltd.,7.49,7.9,0.0,0.49803,-602.386353
NNDM,Nano Dimension Ltd.,1.73,1.7613,0.0,0.760511,-1.128525
USAT,全美科技,6.93,6.93,0.0,3.687109,-0.227492
NBEV,New Age Beverages Corporation,6.17,6.19,0.0,5.88054,-0.349023
CLLS,Cellectis S.A.,26.52,27.03,0.0,3.38204,-1.9
SAGE,Sage Therapeutics,122.34,124.82,0.0,5.404377,-5.732504
TRUP,Trupanion,28.74,29.63,0.0,8.435833,-0.075268
VVUS,VIVUS Inc,4.58,4.74,0.0,-1.810892,-0.370884
EPAY,Bottomline Technologies,64.1,65.37,267.892262,8.916232,0.244016
VCEL,Vericel Corporation,13.0,13.23,0.0,6.239332,-0.472008
ARCT,Arcturus Therapeutics Ltd.,6.86,7.0,0.0,4.226312,-4.200796
CYOU,畅游,13.44,13.75,15.733309,0.873077,0.873942
ZIV,VelocityShares Daily Inverse VIX,72.03,71.26,0.0,0.0,0.0
JD,京东,24.54,24.45,0.0,3.863332,-0.05216
KRYS,Krystal Biotech Inc.,14.7,16.14,0.0,3.914199,-1.547872
PYPL,PayPal,79.12,79.03,46.411902,6.228486,1.702796
AVID,艾维科技,5.65,5.81,0.0,-1.372738,-0.43968
ARRY,Array生物制药,13.28,13.66,0.0,13.235963,-0.742334
AMD,AMD,26.77,26.34,80.360492,29.2129,0.327773
NSYS,Nortech Systems Incorporated,4.01,4.18,0.0,0.540456,-0.878575
