,2014-12-31,2015-12-31,2016-12-31,2017-12-31,code,name,category,pe
1496,0.0,0.0,0.0,0.0,ZIONW,锡安银行,银行,
1497,3674.4248,4146.3793,5063.209,4118.0952,TREX,"Trex Co., Inc.",,28.51965006
1498,0.0561,-0.1148,-0.1418,14.8418,PTEN,"Patterson-UTI Energy, Inc.",,-7.92660558
1499,0.0,0.0,0.0,-1025.131,GWPH,GW Pharmaceuticals Plc,生物技术和制药,-46.41284561
1500,0.0,0.0,1954.1163,0.0,SAM,波斯顿啤酒,饮料,48.04123918
1501,0.0,0.0,0.0,47.8669,CFX,科尔法克斯,多元化制造商,29.740386
1502,-810.4839,201.9584,-844.4444,0.1101,UNVR,"Univar, Inc.",,-54.0
1503,0.0,0.0,0.0,0.0,JW.A,"John Wiley & Sons, Inc.",媒体内容,29.6428577
1504,0.0736,0.0612,0.081,0.1132,UMBF,UMB金融,银行,23.64596233
1505,0.0,0.0,0.0,0.0,JW.B,"John Wiley & Sons, Inc.",,29.61606967
1506,387.5672,0.1514,0.0557,0.0593,SHO,"Sunstone Hotel Investors, Inc.",,30.6545459
1507,0.0,0.0,0.0,0.0,EWY,韩国ETF-iShares MSCI,股权,31.22641534
1508,0.0369,0.055,0.0615,0.0406,ISBC,投资者银行,储蓄及贷款\r,19.67187568
1509,1.3997,-319.6658,1.6036,78.5409,UNIT,"Uniti Group, Inc.",,-542.5000312
1510,0.3498,-0.0356,0.0492,0.1361,MIC,麦格里基础设施,商业服务,24.16756676
1511,0.0,0.0,0.0,0.0,EWG,德国ETF-iShares MSCI,债务\r,7.3277513
1512,942.5653,0.0656,19.1121,0.0771,ACHC,阿卡迪亚医疗保健公司,健康护理服务,620.71429397
1513,1631.2987,1314.1973,1673.1194,447.0315,MSA,"MSA Safety, Inc.",,40.83057622
1514,0.0921,0.0815,0.118,0.0774,HE,夏威夷电力,电力,15.13973744
1515,1.1417,0.8843,3278.169,0.3004,NXST,"Nexstar Media Group, Inc.",媒体,28.54671177
