code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
OBCI,Ocean Bio-Chem,14.27871,1.535059,0.301848,17.73%,18.46%,3.86%,1.99%
MGIC,Magic Software Enterprises Ltd,22.372255,2.086864,0.402284,63.42%,7.24%,19.05%,14.75%
ISRL,Isramco,0,-41.401527,-8.231749,3.08%,27.48%,71.04%,15.09%
INTG,The Intergroup Corporation,17.221644,-1.596868,1.733284,817.58%,9.24%,558.24%,4.44%
CHTR,Charter Communications,7.76326,1.889874,39.312092,73.85%,4.80%,5.69%,4.85%
CCOI,Cogent Communications Group,230.511409,-21.643314,0.238383,51.77%,7.79%,64.02%,9.51%
BRQS,"Borqs Technologies, Inc.",0,2.64595,-1.050873,308.08%,158.52%,7605.56%,88.57%
BREW,Craft Brew Alliance,25.347148,2.656255,0.735783,158.24%,2.10%,109.01%,7.19%
TURN,180 Degree Capital Corp.,4.677244,0.744886,0.463927,109.91%,0.67%,109.91%,0.67%
FFIV,F5网络,25.831925,9.133017,7.359498,25.68%,4.71%,17.71%,2.91%
CDK,"CDK Global, Inc.",21.703756,-21.594782,2.804123,66.83%,0.67%,24.11%,3.65%
GILT,吉来特卫星网络,51.313603,2.282718,0.181143,0.89%,0.41%,394.77%,5.39%
MBUU,Malibu Boats Inc,40.398416,8.002678,1.296833,29.97%,84.62%,89.87%,82.02%
FWRD,福沃运输,20.520166,3.549209,3.193444,23.55%,16.37%,21.67%,15.48%
TREE,LendingTree,40.455746,9.188385,6.146222,481.40%,20.51%,359.13%,36.61%
JBHT,JB Hunt运输服务,17.868429,6.613249,6.88253,54.95%,20.85%,15.03%,17.18%
BEAT,CardioNet,0,7.204611,-0.086508,505.10%,69.59%,2469.39%,77.22%
LOPE,大峡谷教育,24.461286,5.141478,4.792471,15.54%,8.48%,31.78%,11.07%
ODFL,Old Dominion Freight Line,23.730226,5.456842,6.960743,66.06%,23.05%,66.18%,22.67%
