,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
4586,FPH,"Five Point Holdings, LLC",8.05,$535.55M,2017.0,Finance,Real Estate,https://www.nasdaq.com/symbol/fph,
4587,FBC,"Flagstar Bancorp, Inc.",32.72,$1.89B,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fbc,
4588,DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,23.04,$441.48M,2013.0,,,https://www.nasdaq.com/symbol/dfp,
4589,PFD,Flaherty & Crumrine Preferred Income Fund Incorporated,13.11,$146.88M,1991.0,,,https://www.nasdaq.com/symbol/pfd,
4590,PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,11.31,$142.15M,1992.0,,,https://www.nasdaq.com/symbol/pfo,
4591,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc,18.55,$820.89M,2003.0,,,https://www.nasdaq.com/symbol/ffc,
4592,FLC,Flaherty & Crumrine Total Return Fund Inc,19.05,$189.7M,2003.0,,,https://www.nasdaq.com/symbol/flc,
4593,FLT,"FleetCor Technologies, Inc.",228.43,$19.61B,2010.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/flt,
4594,FND,"Floor & Decor Holdings, Inc.",37.94,$3.69B,2017.0,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fnd,
4595,FTK,"Flotek Industries, Inc.",3.07,$175.11M,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ftk,
4596,FLO,"Flowers Foods, Inc.",21.06,$4.44B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/flo,
4597,FLS,Flowserve Corporation,46.56,$6.09B,,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/fls,
4598,FLR,Fluor Corporation,38.39,$5.4B,,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/flr,
4599,FLY,Fly Leasing Limited,11.43,$373.19M,2007.0,,,https://www.nasdaq.com/symbol/fly,
4600,FMC,FMC Corporation,88.51,$11.92B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fmc,
