code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
EV,伊顿万斯,39.27,39.79,819420,0.468405,12.794213,4.034686,3.11
FNKO,Funko Inc.,17.71,18.02,250870,0.703658,70.787703,3.032338,0.254564
RDS.B,荷兰皇家壳牌石油 Class B,63.87,64.61,2662809,0.785172,11.5375,1.328149,5.6
STAR,iStar Financial Inc.,9.62,9.77,306753,0.701187,14.95599,0.663179,0.65325
STAG,STAG Industrial,27.46,27.81,435218,0.555844,62.787579,2.115103,0.442922
LOVE,Lovesac Co.,23.78,24.06,36398,1.012006,0.0,4.635486,-4.748533
GLOB,Globant,67.82,68.43,232601,1.062505,48.871731,7.687409,1.400196
SIEB,Siebert Financial Corp,11.07,11.28,10121,1.014352,40.419243,25.907737,0.279075
EQNR,Equinor ASA,23.05,23.33,1082052,1.115533,11.555976,1.852624,2.018869
PSCE,PowerShares Exchange-Traded Fund,10.29,10.55,14806,1.741759,117.222218,0.0,0.09
WOR,Worthington Industries Inc,36.98,37.7,193644,0.796802,11.5939,2.505761,3.25171
FUNC,马里兰第一联合,16.52,16.59,6829,0.735884,16.698003,1.016876,0.993532
INTL,INTL FCStone Inc,38.7,39.24,61758,1.19188,13.672479,1.477303,2.869999
WBT, Manitowoc Food Service,14.13,14.34,713779,0.848353,17.301372,12.178907,0.828836
SQ,"Square, Inc",71.0,71.75,10581917,0.55608,0.0,26.439078,-0.069367
EXK,Endeavour Silver,2.21,2.27,641296,0.701749,75.666668,2.015403,0.03
DRD,DRDGOLD Ltd ADS,2.26,2.27,60318,0.782298,207.514395,1.54156,0.010939
AIN,奥尔巴尼国际股份有限公司,69.08,70.45,76752,0.66422,30.513158,3.755508,2.30884
AJRD,Aerojet Rocketdyne Holdings Inc,39.62,40.15,456967,0.437232,50.23516,7.947296,0.799241
EGRX,"Eagle Pharmaceuticals, Inc.",41.88,42.43,78784,0.396539,23.127531,3.260585,1.83461
DOC,Physicians Realty Trust,17.86,18.19,1084991,0.756885,61.223732,1.372077,0.297107
LECO,林肯电气控股,86.82,87.93,252929,0.780287,25.974608,6.111915,3.385229
PPSC,Direxion Portfolio S&P Small Cap ETF,35.23,35.3308,503,1.698177,0.0,0.0,0.0
