,code_x,name,roe_2017_1,bvps_2017_1,net_profits_2017_1,roe_2017_2,bvps_2017_2,net_profits_2017_2,roe_2017_3,bvps_2017_3,net_profits_2017_3,roe_2017_4,bvps_2017_4,net_profits_2017_4,code_y,pb,pe,industry
535,600104,上汽集团,,,,7.59,,1595821.22,,,,16.87,,3441033.95,,1.75,10.54,汽车整车
537,600109,国金证券,,,,3.09,,55034.09,4.89,,87874.43,6.62,,120143.25,,1.12,19.63,证券
538,600176,中国巨石,,,,8.87,,100631.72,13.61,,155153.63,18.38,,214984.94,,2.87,15.09,玻璃
540,600177,雅戈尔,,,,8.65,,204713.03,,,,1.23,,29673.14,,1.06,12.92,服饰
541,600332,白云山,,,,6.46,11.1,115814.01,8.21,11.3,148565.13,11.34,11.61,206165.19,,3.39,18.54,中成药
542,600340,华夏幸福,,,,16.96,,536718.31,,,,31.4,,878080.6,,2.64,8.6,区域地产
543,600406,国电南瑞,,,,3.87,,34957.98,,,,16.38,,324052.27,,3.39,190.54,软件服务
544,600498,烽火通信,,,,6.04,,44970.5,8.04,,59682.2,10.36,,82496.34,,2.99,51.78,通信设备
545,600588,用友网络,,,,-1.14,3.52,-6376.87,-4.62,,-25999.19,6.71,3.99,38908.09,,8.02,0.0,软件服务
546,600703,三安光电,,,,8.33,,151481.79,12.77,,237753.62,17.13,,316421.09,,3.94,21.09,半导体
548,600837,海通证券,,,,3.57,,402347.77,5.41,,614526.41,7.56,,861842.33,,0.9,15.44,证券
550,600867,通化东宝,,,,9.9,,41039.07,15.55,,64858.87,,,,,11.42,50.08,生物制药
552,600919,江苏银行,,,,7.31,,617678.6,10.73,7.69,918575.6,,,,,0.76,5.43,银行
554,601012,隆基股份,,,,11.57,,123616.07,20.12,,224095.38,30.14,,356452.56,,2.83,19.23,半导体
555,601099,太平洋,,,,-1.05,,-12319.9,,,,0.99,,11627.88,,1.36,762.42,证券
556,601117,中国化学,,,,3.04,,84761.29,,,,,,,,1.15,20.65,建筑施工
558,601186,中国铁建,,,,5.16,,652303.9,8.23,,1052878.3,12.16,,1605723.5,,0.82,8.36,建筑施工
560,601229,上海银行,,,,6.51,15.47,779585.7,,,,12.63,16.27,1532849.9,,0.93,6.97,银行
562,601360,三六零,,,,1.55,,2613.09,,,,4.05,,6811.74,,10.36,98.18,互联网
563,601377,兴业证券,,,,4.05,,130934.66,6.12,,198270.52,7.03,,228489.61,,1.05,24.11,证券
567,601607,上海医药,,,,5.91,,192512.24,,,,,,,,1.91,17.57,医药商业
569,601669,中国电建,,,,6.04,,370547.9,,,,,,,,1.11,10.81,建筑施工
571,601688,华泰证券,,,,3.5,,299324.99,5.52,,470753.79,,,,,1.18,13.78,证券
577,601727,上海电气,,,,2.97,,135898.8,3.82,,187744.7,5.32,,265957.6,,1.65,35.5,电气设备
579,601800,中国交建,,,,4.58,,753827.8,,,,12.95,,2058077.8,,1.09,13.07,建筑施工
580,601808,中海油服,,,,-1.06,,-36951.21,-0.42,,-14636.18,0.09,,3306.71,,1.31,0.0,石油开采
581,601989,中国重工,,,,1.09,,62777.54,1.87,,110522.28,,,,,1.09,82.99,船舶
585,601997,贵阳银行,,,,8.69,9.69,190206.5,14.24,10.25,318719.7,19.76,10.75,453067.6,,1.05,5.91,银行
586,603833,欧派家居,,,,9.76,,41409.02,19.32,,94453.31,25.75,,130013.2,,8.07,173.1,家居用品
587,000157,中联重科,,,,3.02,,113155.92,,,,3.57,,133192.37,,0.82,20.79,工程机械
588,000559,万向钱潮,,,,9.96,,44392.33,13.8,,62226.21,18.99,,88151.28,,3.58,19.16,汽车配件
590,000627,天茂集团,,,,4.59,,62581.67,6.04,,83882.66,9.13,,132616.42,,1.72,24.49,保险
591,000709,河钢股份,,,,2.75,,125080.22,4.81,,219507.71,4.02,,181706.24,,0.65,20.08,普钢
592,000959,首钢股份,,,,3.75,,94889.51,7.06,,176240.51,8.7,,221065.11,,0.78,10.46,普钢
594,002008,大族激光,,,,15.83,,91411.04,24.58,,150215.41,27.6,,166504.39,,7.08,38.12,电器仪表
596,002024,苏宁易购,,,,0.44,,29149.6,1.02,,67171.3,5.76,,421251.6,,1.55,274.31,电器连锁
597,002050,三花智控,,,,9.49,,51288.55,,,,19.12,,123595.21,,4.42,36.1,机械基件
599,002304,洋河股份,,,,14.22,,390826.05,,,,24.08,,662717.0,,6.22,14.74,白酒
601,002466,天齐锂业,,,,18.07,,92399.07,,,,35.71,,214503.88,,6.22,21.77,小金属
605,002475,立讯精密,,,,5.88,,68189.84,9.31,,108216.37,14.09,,169056.81,,5.78,58.14,元器件
611,002673,西部证券,,,,3.09,,43745.48,,,,4.77,,75227.09,,1.51,41.07,证券
613,002797,第一创业,,,,2.18,,18922.03,,,,4.85,,42285.11,,2.44,78.81,证券
615,300017,网宿科技,,,,5.58,3.13,41595.56,,,,10.91,,83040.29,,3.09,29.02,电信运营
616,300059,东方财富,,,,2.01,,26010.1,3.51,,45758.62,,,,,4.44,55.45,互联网
617,300136,信维通信,,,,18.97,,40338.72,31.58,,71496.57,37.66,,88904.61,,11.33,40.04,通信设备
625,300144,宋城演艺,,,,7.9,,52360.7,13.52,,91790.85,15.6,,106761.21,,4.86,28.78,旅游景点
626,600050,中国联通,,,,,,,1.68,,131194.46,0.49,,42584.47,,1.12,29.49,电信运营
629,600585,海螺水泥,,,,,,,12.26,,980865.37,19.12,16.87,1585467.01,,1.92,9.47,水泥
630,600606,绿地控股,,,,,,,11.2,,656263.24,,,,,1.16,5.32,全国地产
631,600741,华域汽车,,,,,,,12.35,,481641.87,16.51,,655392.29,,1.74,6.57,汽车配件
632,600820,隧道股份,,,,,,,6.36,,115942.22,9.78,,181002.88,,0.96,12.09,建筑施工
633,600926,杭州银行,,,,,,,9.17,11.26,366573.9,,,,,0.73,6.45,银行
634,601857,中国石油,,,,,,,1.45,,1736200.0,1.9,,2279300.0,,1.16,34.26,石油开采
636,601998,中信银行,,,,,,,9.49,7.38,3473800.0,11.67,8.17,4256600.0,,0.78,5.96,银行
638,000839,中信国安,,,,,,,3.68,,24786.07,3.87,,25937.13,,2.69,102.85,综合类
639,000963,华东医药,,,,,,,19.26,,148915.9,,,,,8.04,27.6,化学制药
641,002500,山西证券,,,,,,,3.06,,37922.15,3.31,,40890.13,,1.5,53.56,证券
642,300003,乐普医疗,,,,,,,12.65,,73825.01,15.17,,89908.53,,10.91,55.53,医疗保健
644,300015,爱尔眼科,,,,,,,20.87,,63269.29,21.74,,74251.45,,14.67,92.58,医疗保健
646,300433,蓝思科技,,,,,,,,,,13.77,,204697.74,,3.28,126.05,元器件
