code,net2017_1,,net2017_2,,net2017_3,,net2017_4,pe
603567,117.3953,0.699580818,199.5228,0.777774269,354.7065,0.468460826,520.8726,17.85
603157,130.256,1.16302512,281.747,0.20579811,339.73,0.467421187,498.527,13.12
600737,188.8451,0.854058697,350.1299,0.440998327,504.5366,0.466871184,740.0902,11.64
600157,106.6905,1.387113192,254.6823,0.616139009,411.602,0.463418302,602.3459,10.16
603116,88.7292,0.965898487,174.4326,0.495908448,260.9352,0.462171451,381.532,14.22
2128,702.9109,0.495865265,1051.46,0.141378369,1200.1137,0.462040388,1754.6147,4.64
2597,200.8596,1.411169294,484.3065,0.444575491,699.6173,0.461182421,1022.2685,10.45
2419,222.8522,0.682028268,374.8437,0.311478624,491.5995,0.46093029,718.1926,12.95
600723,84.668,1.033809704,172.1986,0.416224638,243.8719,0.460702935,356.2244,12.86
2440,159.9319,1.512432479,401.8181,0.593994148,640.4957,0.459574046,934.8509,10.68
600697,46.3588,1.866849444,132.9037,0.574029918,209.1944,0.458846891,305.1826,16.72
903,119.1912,0.39800841,166.6303,0.090306505,181.6781,0.457477263,264.7917,10.74
600293,65.5488,1.773687695,181.8119,0.524888085,277.2428,0.456313383,403.7524,15.52
601390,2622.583,1.938848456,7707.374,0.431849291,11035.798,0.455883208,16066.833,13.15
2561,63.6127,0.806713125,114.9299,0.420485009,163.2562,0.452894285,237.194,13.49
651,4014.5365,1.354564045,9452.4833,0.635624038,15460.7089,0.448935902,22401.5762,11.9
2398,30.8179,1.545166932,78.4367,0.686316482,132.2691,0.444716113,191.0913,19.98
600057,138.0238,1.151315208,296.9327,0.666510627,494.8415,0.44353111,714.3191,12.33
603165,95.293,0.89656533,180.7294,0.528559271,276.2556,0.443164591,398.6823,15.94
600030,2300.7887,1.141226137,4926.5089,0.609055593,7927.0267,0.442314367,11433.2645,18.99
600426,313.8272,0.738249584,545.51,0.554191857,847.8272,0.441392538,1222.0518,10.56
601566,159.1222,0.409379081,224.2635,0.530504964,343.2364,0.439426879,494.0637,10.54
601952,137.2547,0.945633191,267.0473,0.449786611,387.1616,0.439180177,557.1953,17.35
601366,114.4444,0.823598184,208.7006,0.313649314,274.1594,0.439055528,394.5306,12.87
300473,30.1015,1.10593492,63.3918,0.440399231,91.3095,0.438408928,131.3404,19.94
2884,37.8585,1.018120105,76.403,0.714572726,130.9985,0.437924098,188.3659,18.41
717,168.1588,2.863299453,649.6478,1.694171211,1750.2624,0.437811496,2516.5474,5.45
600295,110.7891,0.5233773,168.7736,1.147496409,362.4407,0.437383826,520.9664,11.91
2900,24.6475,2.289534436,81.0788,0.554019053,125.998,0.437129954,181.0755,19.81
600477,120.5478,1.972211853,358.2936,0.492290401,534.6781,0.436408935,768.0164,17.74
601828,1031.0157,0.983646903,2045.1711,0.388515465,2839.7517,0.436005021,4077.8977,11.95
603768,35.2672,0.535747096,54.1615,0.639258514,88.7847,0.433028438,127.231,16.97
603919,113.6555,0.247703807,141.8084,0.245986839,176.6914,0.431656549,252.9614,12.8
2174,205.9369,0.648525835,339.4923,0.35303216,459.344,0.427885202,655.8905,18.63
600831,36.4603,2.240231156,118.1398,0.044325452,123.3764,0.427212173,176.0843,19.9
2097,70.7519,0.189217533,84.1394,0.351820907,113.7414,0.426703909,162.2753,16.41
600309,2195.0598,1.214535522,4861.0379,0.606857663,7810.996,0.42552759,11134.7903,9.82
603985,30.4207,0.577879536,48.0002,0.32550281,63.6244,0.425492421,90.6961,18.66
726,157.9947,1.487868264,393.07,0.501281197,590.1086,0.425417118,841.1509,15.1
600260,77.2943,3.480276036,346.2998,0.500610742,519.6612,0.423202079,739.5829,15
601997,966.925,0.96712775,1902.065,0.675650937,3187.197,0.421523677,4530.676,6.14
600273,238.358,0.924996014,458.8382,0.486186416,681.9191,0.420299123,968.5291,11.72
600705,531.5909,1.399535432,1275.5712,0.537911721,1961.7159,0.418964999,2783.6062,13.88
501,285.8365,1.304381001,658.6762,0.328838206,875.2741,0.418229787,1241.3398,7.79
708,65.2811,1.900202356,189.3284,0.471077768,278.5168,0.417870304,394.9007,11.44
559,233.6163,0.900224,443.9233,0.401733362,622.2621,0.416626209,881.5128,18.74
601311,97.9076,1.189376514,214.3566,0.590832753,341.0055,0.416466303,483.0228,19.67
600188,1748.567,0.823861482,3189.144,0.499899032,4783.394,0.415442257,6770.618,6.67
601128,316.32,0.804988619,570.954,0.565171625,893.641,0.414768347,1264.295,9
2392,40.2035,1.100543485,84.4492,0.357943,114.6772,0.414583718,162.2205,18.41
683,165.8421,0.923573085,319.0094,0.576776421,503.0065,0.414516512,711.511,9.84
2416,87.3235,0.806335064,157.7355,0.698675948,267.9415,0.414366942,378.9676,19.25
600486,129.9115,0.948528036,253.1362,0.607658249,406.9565,0.412814392,574.954,16.21
600348,424.6271,1.00822086,852.745,0.360946707,1160.5405,0.411039167,1637.5681,7.7
600173,30.0381,1.971622706,89.2619,1.500271672,223.179,0.410657365,314.8291,6.76
600340,1754.6997,2.058747374,5367.1831,0.160470452,6228.4574,0.409788241,8780.806,8.49
600567,432.8781,0.908690922,826.2305,0.731736604,1430.8136,0.407953,2014.5183,7.45
601016,99.5323,1.307377605,229.6586,0.236767097,284.0342,0.404861457,399.0287,16.14
601211,2563.3448,0.855492129,4756.2661,0.479167766,7035.3155,0.404563122,9881.5447,14.47
415,400.659,1.56178446,1026.402,0.824642781,1872.817,0.404483727,2630.341,12.09
603026,44.6879,0.936846439,86.5536,0.534803867,132.8428,0.403408389,186.4327,16.73
600966,197.1598,1.056040329,405.3685,0.505339463,610.2172,0.403002079,856.136,6.76
600814,43.074,1.032151646,87.5329,0.468242227,128.5195,0.402612055,180.263,18.46
587,108.4043,2.39722963,368.2743,0.977746479,728.3532,0.402570072,1021.5664,17.73
600837,2240.1645,0.796063503,4023.4777,0.527351351,6145.2641,0.40244962,8618.4233,15.72
300320,23.6051,1.550542044,60.2058,0.66668992,100.3444,0.397986335,140.2801,16.82
100,447.8199,1.308617817,1033.845,0.843704134,1906.1043,0.397822249,2664.395,13.9
601010,90.5115,0.895065268,171.5252,0.253377929,214.9859,0.397551653,300.4539,16.65
600104,8261.0351,0.931744873,15958.2122,0.54394721,24638.6372,0.396600762,34410.3395,9.59
603766,230.8752,1.17065107,501.1495,0.378135067,690.6517,0.396580795,964.5509,14.42
906,45.1616,0.900116471,85.8123,0.446356758,124.1152,0.395891881,173.2514,15.9
2589,292.0357,0.760472093,514.1207,0.404902973,722.2897,0.395855153,1008.2118,18.05
600308,123.9097,1.386263545,295.6812,0.633163015,482.8956,0.395087468,673.6816,8.45
600015,4499,1.186263614,9836,0.446421309,14227,0.393055458,19819,5.36
2391,44.6598,1.706926587,120.8908,0.355034461,163.8112,0.391224776,227.8982,17.18
601838,856.483,0.929127607,1652.265,0.700682397,2809.978,0.390963915,3908.578,8.29
488,702.5179,1.484655266,1745.5148,0.553418567,2711.5151,0.390117835,3769.3255,7.81
858,3593.1124,0.383620952,4971.5056,0.400936408,6964.7632,0.38895196,9673.7215,14.08
600332,484.6621,1.389582557,1158.1401,0.282790657,1485.6513,0.387709148,2061.6519,16.37
581,645.6454,1.053638112,1325.922,0.398041363,1853.6938,0.387143605,2571.3395,6.88
603368,83.7229,1.290986098,191.808,0.509916688,289.6141,0.385913186,401.38,19.88
600176,470.3158,1.139662754,1006.3172,0.541796463,1551.5363,0.385626234,2149.8494,15.71
603035,57.1523,1.10735176,120.44,0.363814347,164.2578,0.385590212,227.594,10.84
601636,245.4787,1.182327835,535.715,0.539829387,824.9097,0.385179857,1142.6483,9.62
300113,131.7757,0.716238275,226.1585,0.640000707,370.9001,0.381336376,512.3378,18.41
2245,63.8083,1.321864084,148.1542,0.734222182,256.9323,0.379422128,354.4181,17.47
600713,59.8999,0.875924668,112.3677,0.545194927,173.63,0.378053908,239.2715,19.29
2293,116.8391,0.383391348,161.6342,0.921171386,310.527,0.377905947,427.877,16.7
603027,37.5021,1.00921815,75.3499,0.387752339,104.567,0.377675557,144.0594,16.04
600606,2678.3207,0.739024158,4657.6644,0.408996406,6562.6324,0.377155682,9037.7665,5.63
603788,60.4362,0.953443466,118.0587,0.434242457,169.3248,0.37608785,233.0058,16.79
603444,163.9785,0.825557009,299.3521,0.48139699,443.4593,0.374901147,609.7127,14.2
2064,98.3813,0.95700809,192.533,0.458262739,280.7637,0.373025074,385.4956,15.57
601900,111.1608,0.978407856,219.9214,1.02751574,445.8941,0.371230523,611.4236,12.82
895,878.6166,1.167105538,1904.0549,0.654909583,3151.0387,0.370754317,4319.2999,19.56
2171,82.2218,1.096204413,172.3537,0.526618808,263.1184,0.370593239,360.6283,17.57
600439,43.2781,1.431416814,105.2271,0.49233705,157.0343,0.369875244,215.1174,19.8
617,1442.7525,1.487534556,3588.8967,0.392146338,4996.2694,0.369529914,6842.5404,13.25
2839,203.7293,0.72653369,351.7455,0.584315364,557.2758,0.369344048,763.1023,12.13
665,91.2348,1.148483912,196.0165,0.250794193,245.1763,0.367528183,335.2855,14.69
600109,285.7329,0.926067667,550.3409,0.596727229,878.7443,0.367215127,1201.4325,19.6
601811,186.6442,1.667775907,497.9249,0.357084372,675.7261,0.36718783,923.8445,16.49
2152,264.396,1.013125388,532.2623,0.236400925,658.0896,0.366812361,899.485,18.73
300621,9.6509,2.981421422,38.4243,0.500776852,57.6663,0.366123715,78.7793,18.07
601588,298.3094,1.088667672,623.0692,0.34075252,835.3816,0.365137441,1140.4107,17.29
300274,129.1223,1.858816796,369.137,1.034616416,751.0522,0.363682444,1024.1967,14.06
600236,320.1077,1.317698387,741.9131,1.484907599,1843.5855,0.361882104,2510.7461,13.98
600395,263.7793,0.747353943,460.9158,0.397631845,644.1906,0.361785627,877.2495,9.43
600970,149.9339,1.971029901,445.4581,0.610882819,717.5808,0.361413934,976.9245,17.24
600170,502.6414,1.513888828,1263.5846,0.502783826,1898.8945,0.361036751,2584.4652,13.41
600741,1528.6582,1.114807614,3232.818,0.489851486,4816.4187,0.360746087,6553.9229,6.31
623,418.376,1.178021206,911.2318,0.503001102,1369.5824,0.360612841,1863.4714,15.56
2354,236.0195,1.140505763,505.2011,0.485350685,750.4008,0.358842101,1019.6762,10.84
2636,152.2898,0.719379105,261.8439,0.511387892,395.7477,0.357774916,537.3363,19.41
999,374.6929,0.978298761,741.2545,0.293907828,959.115,0.357175313,1301.6872,14.67
600004,407.8465,0.914698299,780.903,0.506846177,1176.7007,0.356151654,1595.7846,16.58
600694,329.2824,0.578833548,519.8821,0.243596577,646.5236,0.355799386,876.5563,6.56
2536,51.3202,0.843905519,94.6296,0.884155698,178.2969,0.354774536,241.5521,12.73
419,31.5923,1.537662658,80.1706,0.17856047,94.4859,0.353972392,127.9313,16.22
778,230.5839,1.172956134,501.0487,0.612911479,808.1472,0.35251573,1093.0318,12.31
600577,64.8174,1.666915057,172.8625,0.513917709,261.6996,0.352203825,353.8712,12.26
