code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600258,34.8106,240.7166,550.4145,630.8881,75.3866,首旅酒店,酒店餐饮,北京,74.21,6.25,9.79,1653270.13,190215.88,246667.91,489650.84,5.0,0.077,7.58,3.02,20000601,147263.38,1.5,0.62,116.56,94.53,3.92,18743.0
600376,160.2114,315.5396,913.1652,2362.7778,329.1948,首开股份,区域地产,北京,14.14,25.46,25.8,25365508.0,23085922.0,81001.47,766312.81,2.97,0.09,8.49,0.85,20010312,974046.0,3.78,46.28,105.48,19.78,5.35,48915.0
603318,2.4232,25.8181,51.7997,54.863,9.1565,派思股份,专用机械,辽宁,137.31,3.62,4.03,181956.66,104703.18,20254.73,52197.23,1.29,0.023,2.56,4.88,20150424,8940.9,0.22,137.07,277.87,26.84,5.63,17482.0
002622,6.0149,24.6755,31.3196,71.9163,-8.3129,融钰集团,电气设备,吉林,0.0,8.39,8.4,172380.27,38537.78,21397.7,62.08,0.0,-0.01,1.46,2.83,20111018,35555.75,0.42,109.84,-238.2,79.77,-30.78,18986.0
000680,16.8385,56.0579,63.5378,63.7885,42.0471,山推股份,工程机械,山东,28.85,10.57,12.41,1014333.38,655271.0,170036.41,120013.1,0.97,0.034,2.7,1.45,19970122,53637.21,0.43,30.83,149.71,14.03,1.99,121102.0
000532,3.614,15.0863,27.3595,48.2848,4.2574,华金资本,元器件,广东,203.64,3.43,3.45,248782.45,62933.73,6024.4,2533.68,0.07,0.012,2.16,4.65,19940103,31757.96,0.92,-6.94,17.8,43.55,5.34,48955.0
002189,2.7239,8.4532,15.7781,21.7551,6.7595,利达光电,元器件,河南,100.95,1.99,1.99,95702.22,57958.56,31953.0,18514.51,0.93,0.034,2.82,4.86,20071203,15320.2,0.77,11.11,148.15,15.23,2.94,34628.0
002334,8.3751,90.9222,177.3769,225.855,24.7039,英威腾,电气设备,深圳,45.95,5.78,7.54,341092.81,237882.2,22890.76,30070.8,0.4,0.033,2.3,2.62,20100113,79470.86,1.05,16.98,194.97,35.78,6.14,66593.0
002829,3.5401,19.3185,37.957,62.7435,3.7460000000000004,星网宇达,通信设备,北京,277.71,0.62,1.6,166946.23,91324.53,24350.86,44698.65,2.79,0.023,4.93,5.27,20161213,31247.09,1.95,127.94,5.81,49.79,4.68,12682.0
300322,3.0281,7.8931,28.6077,57.7798,15.5225,硕贝德,通信设备,广东,56.67,3.68,4.07,187654.06,107344.92,61204.41,4975.83,0.12,0.038,1.52,5.7,20120608,13505.0,0.33,14.79,412.62,21.83,4.3,26100.0
000909,5.1506,19.5695,27.2206,30.5248,5.7653,数源科技,综合类,浙江,110.66,3.11,3.12,376438.78,302609.0,1981.5,47205.76,1.51,0.018000000000000002,3.33,2.46,19990507,22165.71,0.71,28.42,11.93,9.35,1.86,32651.0
000025,4.495,24.5969,40.6046,66.8628,16.1015,特力A,汽车服务,深圳,149.46,2.71,2.97,140725.16,45104.84,11849.9,56522.63,1.9,0.054000000000000006,3.29,9.83,19930621,11390.0,0.38,13.5,258.21,20.63,17.48,54980.0
601011,21.7872,60.9215,146.9789,161.7042,60.4294,宝泰隆,焦炭加工,黑龙江,41.59,13.68,16.11,1006261.5,233088.02,184779.41,317785.63,1.97,0.038,3.59,1.74,20110309,96084.85,0.6,34.05,177.36,26.16,7.43,129176.0
000975,18.8932,104.103,229.5087,325.2736,116.4012,银泰资源,铅锌,内蒙,39.28,12.29,19.83,1083688.75,199177.8,196884.73,566831.88,2.86,0.059000000000000004,4.18,2.21,20000608,89295.86,0.45,202.27,1140.42,28.52,13.74,22896.0
002125,5.2631,22.0143,40.2374,47.1715,10.3192,湘潭电化,化工原料,湖南,72.76,2.59,3.46,272767.41,96524.81,128930.61,69002.52,2.0,0.03,3.22,2.7,20070403,5900.37,0.17,35.53,96.07,25.67,5.19,25620.0
002682,12.825999999999999,54.7302,107.0479,167.1977,19.0893,龙洲股份,公路,福建,39.7,4.32,5.62,719256.19,372571.19,145380.66,158063.94,2.81,0.034,4.86,1.11,20120612,70050.28,1.25,44.48,48.83,15.12,2.38,24453.0
601989,277.0707,627.7754,1105.2228,837.6399,274.3126,中国重工,船舶,北京,87.79,183.62,228.8,20119194.0,14439630.0,3189029.0,4516253.5,1.97,0.012,3.67,1.15,20091216,1426627.63,0.62,-41.93,-1.0,8.22,4.49,850000.0
300588,1.4734,,35.4628,80.6679,-6.8731,熙菱信息,软件服务,新疆,0.0,0.75,1.6,101406.06,84168.55,773.87,9448.85,0.59,-0.043,2.33,5.07,20170105,16718.57,1.04,-59.34,-566.47,41.62,-13.8,11595.0
300276,2.9529,8.4609,8.1532,64.7379,35.3346,三丰智能,专用机械,湖北,46.1,2.0,5.48,468360.44,203777.34,27444.15,163080.52,2.98,0.07,5.02,2.37,20111115,25826.77,0.47,264.84,1096.62,27.33,12.73,35974.0
