change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
0.000,0.00%,0.0,0,4,33.440,454.78万,4547840.0,0.000,33.440,flat,0,flat,AGA,209650,德银农业双倍做空ETN,us,德银农业,1,0,0,-1
0.000,0.00%,0.0,0,4,20.900,104.50万,1045000.0,20.100,20.900,flat,0,flat,TAGS,209673,Teucrium Agricultural Fund,us,Teucrium Agr,0,0,0,-1
0.000,0.00%,0.0,0,4,20.580,314.89万,3148877.7,20.060,20.580,flat,0,flat,EEH,209677,Elements Spectrum Large Cap Us Sector Momentum Index Etn,us,Elements Spe,0,0,0,-1
0.000,0.00%,0.0,0,4,53.000,159.00万,1590000.0,0.000,53.000,flat,0,flat,JYN,209680,iPath日元/美元汇率ETN,us,iPath日元/,0,0,0,-1
0.000,0.00%,0.0,0,4,23.920,179.40万,1794037.5,23.920,23.920,flat,0,flat,DDG,209681,ProShares做空石油与天然气,us,ProShares做,0,0,0,-1
0.000,0.00%,0.0,0,4,29.344,146.72万,1467240.0,29.330,29.344,flat,0,flat,TYNS,209684,Direxion Daily 7-10 Year Treasury Bear 1x Shares,us,Direxion Dai,0,0,0,-1
0.000,0.00%,0.0,0,4,29.405,147.03万,1470255.0,28.714,29.405,flat,0,flat,FAUS,209685,First Trust澳大利亚AlphaDEX基,us,First Trust,0,0,0,-1
0.000,0.00%,0.0,0,4,75.340,188.35万,1883500.0,0.000,75.340,flat,0,flat,DLBL,209686,iPath US Treasury Long Bond Bull ETN,us,iPath US Tre,0,0,0,-1
0.000,0.00%,0.0,0,4,31.950,169.34万,1693350.0,31.950,31.950,flat,0,flat,DEE,209689,PowerShares DB Commodity Double Short ETN,us,PowerShares ,1,0,0,-1
0.000,0.00%,0.0,0,4,18.650,93.25万,932500.0,18.650,18.650,flat,0,flat,SBM,209693,ProShares Short Basic Materials,us,ProShares Sh,0,0,74,-1
0.000,0.00%,0.0,0,4,19.660,98.30万,983000.0,19.660,19.660,flat,0,flat,SIZ,209694,QuantShares U.S. Market Neutral Size Fund,us,QuantShares ,0,0,0,-1
0.000,0.00%,0.0,0,4,24.437,122.19万,1221885.0,24.437,24.437,flat,0,flat,MOM,209698,Quantshares美国市场中性动力基金,us,Quantshares,0,0,0,-1
0.000,0.00%,0.0,0,4,40.000,76.00万,760000.0,0.000,40.000,flat,0,flat,PGD,209707,iPath Asian & Gulf Currency Revaluation ETN,us,iPath Asian ,0,0,0,-1
0.000,0.00%,0.0,0,4,43.110,73.29万,732870.0,40.330,43.110,flat,0,flat,LD,209709,iPath DJ-UBS Lead Subindex Total Return ETN,us,iPath DJ-UBS,0,0,0,-1
0.000,0.00%,0.0,0,4,37.100,122.43万,1224300.0,0.000,37.100,flat,0,flat,ADZ,209710,Powershares DB Agriculture Short ETN,us,Powershares ,1,0,0,-1
0.000,0.00%,0.0,0,4,29.221,61.36万,613647.3,0.000,29.221,flat,0,flat,JEM,209711,iPath Gems Index ETN,us,iPath Gems I,0,0,0,-1
0.000,0.00%,0.0,0,3,0.014,60.67万,606745.24,0.000,0.014,flat,0,flat,ADXSW,209720,"Advaxis, Inc.",us,"Advaxis, Inc",0,0,0,-1
