code,name,pe,pb,eps,2017_profit,,2016_profit,,,2015_profit,,2014_profit
AVLR,Avalara Inc,0,20.336242,-9.312075,213000000,46000000,167000000,2000000,44000000,123000000,123000000,0
PPDF,拍拍贷,0,2.350687,-1.813679,3512000000,2474000000,1038000000,1608000000,866000000,172000000,172000000,0
PSTG,Pure Storage Inc,0,10.19987,-0.831813,728000000,288000000,440000000,22000000,266000000,174000000,131267000,42733000
CVNA,Carvana Co.,0,30.953485,-4.608148,859000000,494000000,365000000,259000000,235000000,130000000,88321000,41679000
QUOT,Quotient Technology Inc,0,3.753071,-0.245439,322000000,47000000,275000000,9000000,38000000,237000000,15000000,222000000
SALT,Scorpio Bulkers Inc,0,0.562504,-0.231567,162000000,83598000,78402000,67717000,15881000,62521000,13534000,48987000
YEXT,Yext Inc.,0,32.936547,-0.673809,124000000,34276000,89724000,4554000,29722000,60002000,60002000,0
LLY,礼来,0,9.128006,-0.135203,22871000000,1649000000,21222000000,386000000,1263000000,19959000000,343000000,19616000000
SAIL,Sailpoint Technologies Holdings Inc.,0,8.388826,-0.281028,186000000,54000000,132000000,17356000,36644000,95356000,95356000,0
WP,"Worldpay, Inc.",0,2.75576,-0.165461,4026000000,447000000,3579000000,28000000,419000000,3160000000,583000000,2577000000
CDAY,Ceridian Hcm Holding,0,3.948053,-0.490731,751000000,47000000,704000000,37000000,10000000,694000000,694000000,0
NEWR,New Relic,0,18.342852,-0.629998,263000000,82000000,181000000,11000000,71000000,110000000,46826000,63174000
LYV,Live Nation Entertainment,0,9.4783,-0.550417,10337000000,1982000000,8355000000,873000000,1109000000,7246000000,379000000,6867000000
ZEN,Zendesk Inc.,0,17.594984,-1.196109,430000000,118000000,312000000,15000000,103000000,209000000,82000000,127000000
TDOC,Teladoc Inc,0,7.502331,-2.12849,233000000,110000000,123000000,64384000,45616000,77384000,33856000,43528000
BOX,Box Inc,0,94.939069,-1.091807,399000000,96000000,303000000,9000000,87000000,216000000,92000000,124000000
WDAY,Workday,0,17.267729,-1.581391,1574000000,417000000,1157000000,48000000,369000000,788000000,319000000,469000000
AYX,Alteryx Inc.,0,18.88634,-0.203324,132000000,46210000,85790000,14241000,31969000,53821000,15837000,37984000
CBB,辛辛那提贝尔,0,-2.711944,-1.42973,1288000000,102000000,1186000000,84000000,18000000,1168000000,6000000,1162000000
HUBS,HubSpot,0,25.315103,-1.479164,376000000,105000000,271000000,16000000,89000000,182000000,66000000,116000000
SEND,"SendGrid, Inc.",0,8.563506,-0.375319,112000000,32071000,79929000,10618000,21453000,58476000,15700000,42776000
EVRI,Everi Holdings Inc,0,-5.417994,-0.34809,975000000,116000000,859000000,84000000,32000000,827000000,234000000,593000000
TWLO,Twilio Inc,0,18.794311,-0.959381,399000000,122000000,277000000,12000000,110000000,167000000,78154000,88846000
W,Wayfair,0,-63.780766,-4.054823,4721000000,1341000000,3380000000,211000000,1130000000,2250000000,931000000,1319000000
GWRE,Guidewire Software,0,5.723767,-0.253057,514000000,90000000,424000000,47000000,43000000,381000000,31000000,350000000
NOW,ServiceNow,0,37.117388,-0.653156,1933000000,542000000,1391000000,156000000,386000000,1005000000,322000000,683000000
RNG,Ringcentral Inc.,0,24.772073,-0.424362,463000000,107000000,356000000,22000000,85000000,271000000,71000000,200000000
QTWO,Q2 Holdings Inc,0,17.02128,-0.616949,194000000,44000000,150000000,3000000,41000000,109000000,29871000,79129000
AGS,Playags Inc.,0,7.667405,-0.994608,212000000,45000000,167000000,1000000,44000000,123000000,50860000,72140000
SQ,"Square, Inc",0,32.177671,-0.157248,2214000000,505000000,1709000000,63000000,442000000,1267000000,417000000,850000000
GKOS,Glaukos Corp,0,14.227042,-0.164873,159000000,45000000,114000000,2700000,42300000,71700000,26113000,45587000
INST,"Instructure, Inc.",0,10.559283,-1.667909,159000000,48000000,111000000,10193000,37807000,73193000,28841000,44352000
