2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-03_code,2019-02-03_days,2019-02-05_code,2019-02-05_days,2019-02-26_code,2019-02-26_days
,,,,,,,,,,RJF,2
,,,,,,,,,,RLGT,4
,,,,,,,,,,RMBL,4
,,,,,,,,,,RNST,2
,,,,,,,,,,ROBO,2
,,,,,,,,,,RODM,2
,,,,,,,,,,ROG,2
,,,,,,,,,,RPM,2
,,,,,,,,,,RRR,2
,,,,,,,,,,RS,2
,,,,,,,,,,RTN,3
,,,,,,,,,,SAFM,4
,,,,,,,,,,SCHC,2
,,,,,,,,,,SCHL,3
,,,,,,,,,,SDPI,4
,,,,,,,,,,SE,2
,,,,,,,,,,SEIC,2
,,,,,,,,,,SERV,2
,,,,,,,,,,SGMS,2
,,,,,,,,,,SHM,4
,,,,,,,,,,SIFY,4
,,,,,,,,,,SLGN,2
,,,,,,,,,,SONO,4
,,,,,,,,,,SPDW,2
,,,,,,,,,,SPG,1
,,,,,,,,,,SPGI,2
,,,,,,,,,,SPHB,2
,,,,,,,,,,SPOT,2
,,,,,,,,,,SPWH,3
,,,,,,,,,,SRAX,4
,,,,,,,,,,SSNC,0
,,,,,,,,,,SSTI,3
,,,,,,,,,,STLD,2
,,,,,,,,,,STOR,1
,,,,,,,,,,SYMC,2
,,,,,,,,,,SYNH,2
,,,,,,,,,,TA,3
,,,,,,,,,,TAC,2
,,,,,,,,,,TAN,2
,,,,,,,,,,TBBK,2
,,,,,,,,,,TCX,2
,,,,,,,,,,TD,2
,,,,,,,,,,TDOC,2
,,,,,,,,,,TEI,2
,,,,,,,,,,TELL,4
,,,,,,,,,,TFX,0
,,,,,,,,,,TMDI,2
,,,,,,,,,,TRCO,4
,,,,,,,,,,TREE,2
,,,,,,,,,,TRV,2
,,,,,,,,,,TXMD,2
,,,,,,,,,,TXT,2
,,,,,,,,,,UCBI,3
,,,,,,,,,,UMH,1
,,,,,,,,,,UNIT,2
,,,,,,,,,,UPLD,2
,,,,,,,,,,UQM,2
,,,,,,,,,,USFD,3
,,,,,,,,,,USG,2
,,,,,,,,,,USX,3
,,,,,,,,,,UTF,2
,,,,,,,,,,UTHR,0
,,,,,,,,,,VAR,2
,,,,,,,,,,VEA,2
,,,,,,,,,,VFH,2
,,,,,,,,,,VHI,4
,,,,,,,,,,VIDI,2
,,,,,,,,,,VIGI,2
,,,,,,,,,,VRTV,0
,,,,,,,,,,VSS,2
,,,,,,,,,,VT,2
,,,,,,,,,,VXUS,2
,,,,,,,,,,WAGE,0
,,,,,,,,,,WDC,2
,,,,,,,,,,WIX,0
,,,,,,,,,,WNS,3
,,,,,,,,,,WPG,2
,,,,,,,,,,WSBC,2
,,,,,,,,,,XT,2
,,,,,,,,,,YUM,1
,,,,,,,,,,ZAYO,4
,,,,,,,,,,ZIXI,1
