code,name,pe,roe2013,roe2014,roe2015,roe2016,roe2017,roe2018
02688,新奥能源,39.176,13.12,24.53,15.12,14.37,16.53,0
01469,结好金融,0.0,0,11.12,15.83,22.63,7.57,6.92
01133,哈尔滨电气,14.529000000000002,5.63,4.47,1.54,3.08,1.31,0
00552,中国通信服务,12.289000000000001,10.28,9.34,9.43,9.54,9.58,0
01238,宝龙地产,6.374,8.19,7.37,10.13,10.90,13.17,0
03689,康华医疗,0.0,145.22,82.93,51.33,12.23,12.38,0
02006,锦江酒店,16.237000000000002,5.87,7.21,9.31,8.11,8.02,0
01385,上海复旦,26.515,22.27,19.94,15.86,17.37,13.12,0
01170,信星集团,11.724,0,6.48,8.43,10.62,11.57,21.07
02005,石四药集团,59.493,14.37,18.54,16.85,18.29,19.13,0
02699,新明中国,3.843,22.42,36.85,21.04,0.58,12.31,0
00245,中国民生金融,-37.143,-,-,-,0.70,3.47,0
01129,中国水业集团,-23.788,11.30,21.67,-,2.47,-,0
00475,中发展控股,-8.898,0,-,-,-,-,-
00893,中国铁钛,-0.248,5.00,-,-,-,-,0
00731,森信纸业集团,14.324000000000002,0,3.28,6.23,2.74,5.07,9.35
01733,易大宗,-0.301,-,-,108.31,156.41,33.80,0
00681,中民控股,-4.24,0,4.05,12.86,-,12.42,9.94
00265,东胜中国,0.0,11.33,0.84,0.36,-,-,0
00242,信德集团,13.02,6.65,16.86,2.83,-,5.29,0
00585,意马国际,-5.461,-,0.38,-,-,-,0
01513,丽珠医药,20.76,14.58,13.96,14.33,12.06,41.11,0
02100,百奥家庭互动,12.273,104.06,-,6.37,2.28,-,0
00036,远东控股国际,7.397,-,6.05,8.00,-,7.89,0
02368,鹰美,15.16,0,2.16,9.67,11.38,13.97,18.09
00118,大同机械,-1.3,7.30,-,-,-,2.53,0
00256,冠城钟表珠宝,23.714000000000002,13.10,3.43,7.61,1.01,24.36,0
03908,中金公司,9.992,5.39,13.99,11.88,9.87,7.54,0
02202,万科企业,12.787,19.66,17.86,18.09,18.53,21.14,0
00322,康师傅控股,50.452,14.18,13.20,8.81,6.75,9.88,0
01543,中盈盛达融资担保,10.12,12.30,13.81,7.80,7.91,7.26,0
00079,世纪建业,-9.032,4.32,3.66,-,-,2.88,0
06898,中国铝罐,7.32,12.48,20.00,14.88,18.48,10.93,0
01208,五矿资源,-23.49,6.38,6.16,-,-,12.14,0
00669,创科实业,24.726,14.38,15.27,16.44,17.04,17.16,0
00554,汉思能源,-9.2,-,-,-,340.16,-,0
00503,朗生医药,29.487,10.57,12.20,2.04,4.24,15.32,0
03323,中国建材,33.378,16.29,14.59,2.43,2.51,7.13,0
01522,中国城市轨道科技,34.118,12.22,6.60,1.89,1.22,1.76,0
01222,WANG ON GROUP,5.043,0,15.17,14.04,9.85,9.18,21.10
00992,联想集团,-45.556000000000004,0,27.15,20.29,-,16.60,-
00187,京城机电股份,-4.467,-,2.33,-,-,3.55,0
01027,中国集成控股,0.0,26.53,30.46,5.93,1.42,0.80,0
01778,彩生活,39.333,24.80,13.59,13.37,12.87,18.63,0
02678,天虹纺织,7.946000000000001,33.31,8.88,15.11,23.06,19.49,0
00236,香港生力啤,51.739,4.54,5.89,-,1.48,2.04,0
00025,CHEVALIER INT'L,11.366,0,7.11,19.48,4.07,6.78,10.40
00386,中国石油化工股份,22.344,11.63,7.84,4.81,6.56,7.06,0
00735,中国电力新能源,32.936,3.52,3.52,1.38,4.93,4.75,0
00101,恒隆地产,11.306,5.79,8.84,3.95,4.89,5.97,0
01235,专业旅运,9.836,0,27.96,25.20,16.93,-,0.86
00901,鹰力投资,-6.0,-,-,-,-,-,0
00107,四川成渝高速公路,6.132000000000001,9.22,8.30,8.04,7.93,6.44,0
00019,太古股份公司Ａ,13.258,6.03,5.06,6.15,4.29,10.30,0
01610,中粮肉食,0.0,-,-,12.97,21.46,9.21,0
00968,信义光能,8.299,13.15,14.91,20.99,31.95,23.04,0
01884,ＥＰＲＩＮＴ集团,12.449000000000002,0,13.26,20.08,12.58,8.24,9.78
00851,盛源控股,-48.8,-,-,-,-,"3,512.41",0
02362,金川国际,81.333,16.76,-,-,1.19,5.26,0
00539,冠华国际控股,1.079,0,5.58,7.46,4.43,2.38,4.76
00152,深圳国际,12.776,11.73,12.59,12.11,11.35,16.06,0
01360,MEGAEXPO HLDG,-26.956999999999997,-,23.41,29.10,-,-,0
00603,中油燃气,-17.222,11.32,8.57,-,11.02,7.49,0
00915,道和环球,-25.833000000000002,0,13.62,5.14,-,-,0
02318,中国平安,20.104,15.41,13.56,16.22,16.27,18.82,0
02303,恒兴黄金,100.0,-,-,12.52,32.10,30.37,0
01822,弘达金融控股,-315.0,-,-,-,-,-,0
00191,丽新国际,31.524,15.08,7.48,9.36,4.15,8.08,0
00931,中国天然气,182.857,8.08,59.67,47.30,10.78,-,0
01097,有线宽频,-0.821,-,-,-,-,-,0
03899,中集安瑞科,24.063000000000002,18.52,16.89,8.23,-,7.30,0
03618,重庆农村商业银行,4.717,18.52,16.89,8.23,-,7.30,0
00156,力宝华润,-5.676,0,3.00,9.28,-,9.45,-
00699,神州租车,10.29,-,7.80,19.74,17.76,11.19,0
00765,威发国际集团,-37.308,6.23,4.21,-,11.26,-,0
01538,中奥到家,59.091,63.61,58.66,2.18,-,18.39,0
01446,鸿福堂,50.0,33.69,-,3.40,3.50,3.04,0
02386,中石化炼化工程,18.854,17.43,15.26,13.47,6.61,4.42,0
01637,顺兴集团控股,0.0,0,35.16,16.20,26.17,5.22,15.61
01319,霭华押业信贷,7.5,0,12.66,17.72,13.71,13.98,12.80
00771,自动系统,24.906,2.84,4.30,2.88,4.00,4.79,0
00586,海螺创业,20.995,14.35,15.07,11.96,11.16,16.54,0
00189,东岳集团,21.368000000000002,8.85,8.57,-,10.92,23.87,0
01029,铁货,-0.185,-,-,-,-,45.04,0
02200,浩沙国际,1.7619999999999998,26.53,24.57,15.62,14.48,12.13,0
02638,港灯－ＳＳ,20.197,0,6.51,7.33,7.21,6.72,0
01811,中广核新能源,9.514,7.17,28.52,14.00,11.18,7.06,0
00960,龙湖地产,11.15,21.73,17.49,16.30,14.82,17.85,0
00145,香港建屋贷款,-0.132,-,-,-,-,-,0
00500,先丰服务集团,-11.982999999999999,-,-,-,-,-,0
00827,玖源集团,-4.343999999999999,-,-,-,-,-,0
00178,莎莎国际,31.194000000000003,0,40.22,33.90,16.76,14.72,17.73
00031,航天控股,2.194,13.14,8.33,17.26,12.86,6.86,0
00844,广豪国际,-33.333,9.97,9.51,-,-,-,0
