name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
隆基股份,2687.1227,6276.2099,10846.372,16362.2845,3470.0209999999997,10001.9729,14671.2818,,半导体,陕西,33.14,27.82,27.91,3883451.25,2161457.75,1331777.0,463769.19,1.66,0.61,5.34,5.01,20120411.0,722915.25,2.59,35.26,-24.53,22.21,11.53,80140.0
华润三九,2456.8638,4997.9529,7483.7799,11119.9164,3380.3202,6472.0973,9444.2974,,中成药,深圳,16.53,9.78,9.79,1667796.38,710580.38,325062.63,118090.85,1.21,1.136,10.73,2.33,20000309.0,781959.0,7.99,26.2,15.99,68.54,11.78,23614.0
杰克股份,718.3430000000001,1382.0389,2115.3905,2786.6231,1070.1,2050.6195,3226.6984,,纺织机械,浙江,24.46,0.81,3.08,398476.56,247033.3,78986.5,71676.9,2.33,1.21,7.86,5.0,20170119.0,128019.67,4.16,52.53,58.26,28.25,11.49,6840.0
德展健康,349.8823,795.2697,1362.3697,2220.2948,787.3756,1661.0039,2647.0936,,化学制药,新疆,19.23,10.81,22.41,585197.75,513402.91,55944.44,70704.3,0.32,0.326,2.3,3.63,19980519.0,359905.97,1.61,94.3,15.24,92.7,27.58,17393.0
冠城大通,2427.4894,3748.3571,4835.6825,6896.9893,1166.8831,3033.6151,4937.5822,,全国地产,福建,15.91,14.92,14.92,2392745.75,1818706.75,142461.81,122652.67,0.82,0.205,4.92,0.88,19970508.0,423960.81,2.84,2.11,-41.95,32.04,6.18,62257.0
富临运业,297.7163,563.5691,834.6917,1075.2094,254.4558,478.8492,720.13,,公路,四川,29.75,3.13,3.13,267832.31,30801.16,66076.65,18715.51,0.6,0.156,3.54,1.75,20100210.0,47985.73,1.53,-13.73,-57.77,24.69,6.78,20568.0
众应互联,86.2819,160.7786,287.575,504.92800000000005,174.1943,387.723,593.8024,,互联网,江苏,21.09,2.83,3.26,313055.41,58597.05,2889.4,70440.28,2.16,0.35100000000000003,4.58,2.16,20100831.0,38383.95,1.18,106.49,-14.41,61.48,19.3,31307.0
万和电气,1450.9031,3065.8329,4663.6725,6531.9484,2170.4457,3764.4201,5291.6194,,家用电器,广东,16.4,4.85,5.72,640528.06,345783.97,115260.36,111705.4,1.95,0.644,5.53,2.55,20110128.0,133039.06,2.33,13.46,34.01,28.61,6.97,13179.0
中文传媒,2921.1331,5991.7603,8990.838,13306.0476,2850.9055,6007.7591,8988.9035,,出版业,江西,12.1,13.78,13.78,2349419.75,1579207.88,129283.46,543856.19,3.95,0.8759999999999999,9.31,1.52,20020304.0,591162.44,4.29,-0.02,9.58,36.3,13.43,34180.0
新洋丰,2645.6262,5127.3779,7235.7589,9032.4019,2870.4845,5539.7704,8397.4371,,农药化肥,湖北,12.41,11.73,13.05,884482.81,526294.88,262112.88,60021.7,0.46,0.564,4.72,1.98,19990408.0,390074.56,2.99,16.05,24.03,19.24,8.76,21586.0
中路股份,120.2729,311.3111,476.3554,604.442,109.52600000000001,242.1664,404.6473,,文教休闲,上海,201.91,2.38,3.21,105848.86,31015.74,8006.62,3352.31,0.1,0.043,2.0,5.83,19940128.0,18064.64,0.56,-15.05,-57.59,13.09,3.43,33246.0
闻泰科技,4372.2848,7888.6053,12558.5695,16916.2322,1716.9017,5426.4447,11006.428,,通信设备,湖北,0.0,6.37,6.37,1545120.75,1110709.63,101184.02,238160.3,3.74,-0.266,5.42,5.37,19960828.0,29621.46,0.46,-12.36,-160.13,6.95,-1.54,15416.0
南方汇通,247.9759,531.5744,786.5102,1082.8408,212.5782,504.749,730.3884,,环境保护,贵州,30.63,4.22,4.22,200997.97,72568.97,49016.8,0.0,0.0,0.158,1.99,3.24,19990616.0,32398.5,0.77,-7.14,-27.04,40.38,9.12,29537.0
辉丰股份,3199.8681,6048.8531,8938.6563,3951.5537,845.7727,1647.0383,2338.0619,,农药化肥,江苏,0.0,9.66,15.08,649426.06,278063.78,230062.47,93272.71,0.62,-0.16,2.3,1.29,20101109.0,86638.65,0.57,-73.84,-174.23,32.54,-10.43,60718.0
中旗股份,323.0242,648.4378,907.1737,1295.0597,415.1312,796.3339,1179.3208,,农药化肥,江苏,23.07,0.34,0.73,207096.63,106819.13,41228.75,47191.71,6.43,1.819,15.27,3.66,20161220.0,51508.96,7.02,30.0,67.78,21.2,11.31,8975.0
艾华集团,376.6462,815.2605,1261.7803,1792.503,427.1241,1005.2606,1604.8410000000001,,元器件,湖南,26.53,3.9,3.9,319598.31,226293.84,76649.84,83732.28,2.15,0.58,5.29,3.86,20150515.0,46165.65,1.18,27.19,0.39,30.6,14.01,12645.0
中国巨石,1859.506,4077.4684,6439.3176,8651.5492,2494.8448,5017.8695,7629.3504,,玻璃,浙江,14.85,35.02,35.02,2949950.0,838403.06,1609754.5,343841.72,0.98,0.546,3.9,2.77,19990422.0,639842.31,1.83,18.48,23.26,45.09,25.07,73230.0
迪生力,224.3161,440.1757,605.5798,781.018,205.1993,413.1103,617.9038,,汽车配件,广东,75.75,1.56,3.29,81702.36,60094.53,11108.85,11735.45,0.36,0.061,1.72,3.58,20170620.0,9306.44,0.28,2.04,-33.18,26.07,3.26,24094.0
