name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,roe2018_2,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
中电兴发,2.39,2.52,3.74,0.54,1.91,2.74,4,0.91,,软件服务,安徽,30.19,4.68,7.04,627485.88,392861.59,59193.75,290271.03,4.12,0.056,6.17,1.1,20090929,68666.4,0.98,29.67,74.46,28.52,8.84,48104
盾安环境,1.31,1.26,1.86,0.86,1.49,1.32,2.09,0.91,,工程机械,浙江,36.41,8.4,9.17,1352025.13,703098.06,165211.84,211654.7,2.31,0.044,4.81,1.33,20040705,122965.7,1.34,31.99,3.52,14.83,1.79,74438
天润数娱,1.51,3.61,5.7,0.55,1.75,2.06,0.2,0.91,,互联网,湖南,89.89,8.05,15.33,322503.03,127082.65,432.3,187507.94,1.22,0.016,1.76,3.29,20070208,-13612.95,-0.09,263.02,369.14,51.77,15.92,63567
汇中股份,1.64,5.66,9.66,-0.54,2,6.03,10.83,0.9,3.56,电器仪表,河北,91.18,0.57,1.2,60310.57,39350.98,17544.9,18459,1.54,0.042,4.65,3.29,20140123,25777.97,2.15,24.92,269.94,64.53,17.96,9494
横河模具,6.48,6.83,10.64,2.77,4.41,7.19,8.34,0.9,,塑料,浙江,127.23,0.61,2.09,71989.68,34211.03,21864.35,1255.25,0.06,0.016,1.82,4.59,20160830,14528.05,0.7,10.56,-65.87,22.74,3.13,12177
佳都科技,0.02,0.04,4.02,0.42,1.09,1.76,6.62,0.9,,软件服务,广东,94.39,13.79,16.19,587710.06,463711.31,9279.01,143912.73,0.89,0.02,2,3.4,19960716,16942,0.1,8.33,128.38,14.83,4.33,105434
安德利,6.12,5.45,7.79,1.32,3.18,4.01,6.34,0.9,,百货,安徽,62.79,0.56,1.12,147079.52,52087.35,57158.18,24486.02,2.19,0.05,5.49,2.28,20160822,28227.15,2.52,10.98,-28.59,18.8,1.05,10986
东杰智能,-4.18,-7.54,-7.84,2.29,4.13,4.98,5.54,0.9,,专用机械,山西,60.56,1.34,1.63,155325.55,63378.32,30720.3,68945.75,4.23,0.07,6.61,2.18,20150630,22309.45,1.37,-38.7,-34.08,23.65,10.07,17000
振东制药,1.78,2.02,3.87,1.08,2.98,4.42,5.44,0.9,,中成药,山西,21.28,8.51,10.39,743768.75,326912.25,101785.77,431129.19,4.15,0.049,5.38,0.77,20110107,68281.63,0.66,7.6,-11.83,64.41,6.56,23409
恒基达鑫,2.55,2.19,3.84,0.98,3.29,4.09,5.39,0.9,,仓储物流,广东,53.65,3.98,4.05,153659.52,44267.87,77580.72,41984.12,1.04,0.027,3.01,1.93,20101102,34822.94,0.86,6.87,-4.4,39.98,19.77,26412
睿康股份,4.55,6.04,6.3,1.04,2.29,3.16,5,0.9,,电气设备,江苏,50.82,5.8,7.18,317955.88,253760.5,46402.82,14979.42,0.21,0.019,2.1,1.84,20120808,56128.11,0.78,16.46,-10.39,17.82,2.41,18146
南山铝业,1.02,1.92,4.14,0.89,2.32,4.07,4.92,0.9,,铝,山东,21.38,70.88,92.51,4602932,1549926.75,2544200,1467972.5,1.59,0.032,3.56,0.77,19991223,815109,0.88,31.63,3.81,19.15,6.52,242167
嘉寓股份,2.11,3.52,5.38,0.76,1.44,4.93,4.33,0.9,,装修装饰,北京,53.77,7.14,7.17,582038.44,500008.41,44395.73,14849.19,0.21,0.019,2.07,1.95,20100902,56540.57,0.79,54.06,23.57,15.31,2.57,32953
天华超净,1.41,2.45,2,0.82,1.52,2.75,3.83,0.9,2.4,元器件,江苏,82.77,1.69,3.45,101464.81,45889.48,23477.26,27892.84,0.81,0.059,2.44,3.98,20140731,19806.99,0.57,11.89,63.17,24.37,5.35,24377
百利电气,1.55,2.24,3.04,0.92,2.02,2.66,3.65,0.9,,电气设备,天津,70.43,7.98,8.11,278445.78,195156.22,34326.55,75342.49,0.93,0.02,2.25,2.56,20010615,22972.95,0.28,17.14,1.86,19.8,5.31,24502
神农基因,0.36,-1.77,1.18,0.36,0.47,-0.88,-1.15,0.9,,种植业,海南,61.48,8.83,10.24,248530.22,151425.63,31426.76,28162.99,0.28,0.013,1.39,2.22,20110316,10273.19,0.1,-86.22,148.63,28.64,19.45,59085
明阳电路,,,27.81,,12.53,18.49,22.17,0.89,,元器件,深圳,105.2,0.46,1.85,160515.31,111409.97,40412.32,86899.8,4.7,0.057,6.35,3.78,20180201,17069.27,0.92,0,0,24.98,4.17,26695
中远海控,-35.5,-49.83,-54.06,1.43,9.14,12.98,12.87,0.89,,水运,天津,61.28,76.36,102.16,12935889,3479230,5035714,2771864.25,2.71,0.018,1.97,2.2,20070626,-1632513.25,-1.6,9.06,-33.04,7.89,0.83,312762
