name,net_profits_2016_2,net_profits_2016_3,net_profits_2016_4,net_profits_2017_1,net_profits_2017_2,net_profits_2017_3,net_profits_2017_4,net_profits_2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
海伦钢琴,17.8445,26.2608,33.2848,10.0136,20.225,30.9676,40.9805,14.3031,文教休闲,浙江,37.9,2.51,2.51,101715.97,69638.03,17270.63,34978.73,1.39,0.057,3.38,2.55,20120619.0,21777.35,0.87,22.57,42.84,28.75,12.69,28930.0
亚厦股份,159.2348,267.3802,319.2939,74.061,177.7398,301.7579,357.6869,82.7281,装修装饰,浙江,26.2,12.52,13.4,1875978.63,1593443.5,72511.11,183730.72,1.37,0.062,5.65,1.15,20100323.0,405948.38,3.03,16.53,11.7,13.61,4.43,40718.0
齐峰新材,75.4686,94.4821,141.9328,38.3605,92.2216,129.0656,160.5114,,造纸,山东,36.11,4.3,4.95,433361.31,273020.09,145285.55,199039.47,4.02,0.045,6.95,0.93,20101210.0,83338.4,1.68,12.7,-42.06,12.71,2.56,31324.0
光环新网,132.3498,212.1767,335.1598,85.8243,209.5985,325.1351,435.8621,138.0078,电信运营,北京,39.54,13.88,14.46,1077621.75,303860.09,381745.44,409161.66,2.83,0.095,4.54,3.32,20140129.0,96993.77,0.67,54.33,60.8,20.02,10.32,60290.0
贵研铂业,40.9561,56.9374,83.0206,28.2151,61.076,88.6066,119.32799999999999,19.9317,小金属,云南,47.66,3.39,3.39,583017.75,463666.56,81140.15,116742.17,3.44,0.059000000000000004,5.77,1.94,20030516.0,45337.23,1.34,0.01,-29.36,3.23,0.52,36498.0
山东华鹏,30.0424,48.7542,51.361000000000004,9.7715,23.5341,34.5149,26.3647,2.6411,玻璃,山东,246.53,3.16,3.2,294672.03,67740.32,98893.9,60313.61,1.89,0.008,4.22,1.93,20150423.0,39794.55,1.24,17.12,-72.97,19.99,1.36,20124.0
南钢股份,145.5571,227.6207,353.7352,548.8886,1208.1563,2046.6502,3200.3494,1007.8782,普钢,江苏,5.41,38.86,44.19,4051980.0,1698666.75,2042718.63,183154.0,0.41,0.23,2.86,1.73,20000919.0,561111.88,1.27,21.9,83.62,19.83,9.72,154350.0
中科曙光,61.5545,74.561,224.2502,18.9523,67.7409,75.7024,308.8227,22.805999999999997,电脑设备,天津,380.14,6.43,6.43,935098.0,620031.81,109222.88,157163.75,2.44,0.035,4.92,10.97,20141106.0,88027.25,1.37,78.91,20.33,17.62,1.55,77983.0
中泰化学,272.2392,712.7564,1843.4744,697.5218,1244.3602,2045.3675,2402.3160000000003,424.5528,化工原料,新疆,12.32,20.34,21.46,5923530.0,2266192.5,2653745.75,927993.63,4.32,0.198,8.06,1.21,20061208.0,544219.31,2.54,52.74,-39.13,15.26,4.13,87479.0
通富微电,85.4883,124.1532,180.8146,36.0291,85.6766,124.7005,122.1294,36.6266,半导体,江苏,92.53,9.72,11.54,1241925.25,443676.06,572635.25,374403.72,3.25,0.032,5.12,2.3,20070816.0,91820.77,0.8,13.47,1.66,17.78,2.23,82918.0
东方铁塔,58.1116,80.4159,136.495,21.2576,73.8305,135.3816,251.2615,26.6513,钢加工,山东,71.94,6.18,12.91,1087842.75,237849.75,204279.25,456624.44,3.54,0.021,5.43,1.09,20110211.0,89516.25,0.69,-10.76,25.37,30.24,7.09,32037.0
雅克科技,30.2877,41.2901,67.8409,23.77,42.6344,50.2031,34.528,17.1506,化工原料,江苏,139.32,1.83,4.63,186088.36,75898.02,42376.46,70392.36,1.52,0.05,4.56,4.53,20100525.0,45740.76,0.99,5.75,-27.85,24.83,5.57,19038.0
中航重机,73.4245,108.7065,242.4631,49.0599,108.4761,162.8334,164.5207,27.266,机械基件,贵州,57.64,7.78,7.78,1245297.88,848909.13,221736.72,148711.47,1.91,0.035,4.85,1.66,19961106.0,136924.77,1.76,-18.25,-44.42,25.14,2.57,65878.0
中航电子,127.8555,221.9079,460.4136,-26.0782,145.774,220.7435,542.4395,-59.5597,航空,北京,0.0,17.59,17.59,2085626.63,1547930.0,302097.94,141866.91,0.81,-0.034,4.02,3.54,20010706.0,300167.03,1.71,-0.83,-128.39,28.67,-6.6,56830.0
新黄浦,80.7556,134.503,102.2299,30.3194,618.606,655.3043,644.9768,28.3772,区域地产,上海,54.16,6.73,6.73,1048195.81,655135.94,54341.73,101487.3,1.51,0.042,6.29,1.45,19930326.0,230294.22,3.42,-56.7,-6.41,25.32,6.83,32797.0
五矿发展,112.4269,29.8863,28.9545,9.2597,18.813,38.2698,34.5121,22.6609,商贸代理,北京,101.82,10.72,10.72,2448145.75,2082173.75,130185.81,417867.06,3.9,0.021,7.05,1.22,19970528.0,-117025.7,-1.09,-6.19,144.73,3.56,0.22,73781.0
科新机电,10.6661,13.4345,31.8897,1.0447,4.9561,5.0651,5.9851,2.1579,专用机械,四川,176.37,1.67,2.35,68834.6,45817.73,19465.13,26435.2,1.13,0.009000000000000001,2.34,2.78,20100708.0,6236.65,0.27,36.66,106.55,17.96,2.51,20267.0
佳隆股份,24.2418,30.1005,32.2792,6.0939,18.0315,21.9079,21.4144,11.2394,食品,广东,62.85,6.82,9.36,124332.45,27355.08,38452.6,5495.26,0.06,0.012,1.23,2.46,20101102.0,11180.71,0.12,40.61,84.44,44.38,12.98,64572.0
拓日新能,58.2032,84.3926,128.7121,31.3105,87.0887,120.6518,163.1639,5.7562,半导体,深圳,165.93,12.16,12.36,592030.06,220631.41,273005.31,131576.06,1.06,0.005,2.3,1.35,20080228.0,27443.22,0.22,-44.99,-81.62,37.3,3.21,67900.0
雷科防务,43.6074,64.2162,105.3128,26.794,50.4643,76.0778,122.5626,27.7586,通信设备,江苏,69.73,10.09,11.56,417179.75,205415.05,9863.13,194778.63,1.69,0.03,3.3,2.03,20100528.0,52724.45,0.46,8.49,3.6,57.82,21.7,55227.0
北纬科技,22.5919,,78.8305,29.3795,77.6546,110.8124,129.6622,16.9874,互联网,北京,51.27,4.44,5.67,135951.3,72705.31,20103.25,23736.7,0.42,0.03,2.16,2.84,20070810.0,39571.32,0.7,-51.75,-42.18,50.1,26.31,60338.0
