name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
海达股份,5.19,7.44,9.93,2.74,6.86,11.53,15.41,3.96,橡胶,江苏,17.3,4.53,5.54,220327.34,146313.45,36424.76,20381.48,0.37,0.084,2.13,2.74,20120601.0,35484.3,0.64,104.65,97.97,28.96,9.77,15204.0
福晶科技,5.19,7.92,10.39,4.65,9.45,14.26,17.73,4.76,元器件,福建,38.85,4.21,4.28,91629.07,41263.68,38048.55,6676.82,0.16,0.09,1.89,7.4,20080319.0,25073.35,0.59,17.22,16.6,59.51,30.79,46451.0
中设集团,5.17,6.83,11.03,2.51,6.16,8.86,13.84,2.68,建筑施工,江苏,23.25,3.09,3.14,524464.44,431471.56,38131.53,90894.8,2.9,0.18899999999999997,7.03,2.5,20141013.0,105774.85,3.37,31.15,20.8,28.46,10.18,11706.0
上海沪工,5.17,8.35,11.13,2.83,6.71,9.54,10.48,0.14,专用机械,上海,788.33,0.5,2.0,87457.65,65933.5,12375.16,17166.15,0.86,0.005,3.27,4.66,20160607.0,24577.61,1.23,2.67,-94.68,21.71,0.63,17007.0
人福医药,5.16,6.33,8.28,,3.52,15.89,15.29,1.29,化学制药,湖北,23.11,12.86,13.54,3674044.0,1614300.63,414815.88,493746.09,3.65,0.11,8.63,1.41,19970606.0,507153.56,3.75,33.28,-10.21,41.02,4.0,66861.0
吴通控股,5.16,7.0,6.6,1.82,3.4,6.11,8.29,1.77,通信设备,江苏,23.8,8.25,12.75,354087.41,128905.88,28255.0,88094.02,0.69,0.039,2.17,1.69,20120229.0,57888.11,0.45,45.74,3.28,21.28,6.88,59048.0
新易盛,5.16,8.29,10.57,2.91,6.07,9.07,10.21,-0.33,通信设备,四川,0.0,1.27,2.38,134787.23,97377.32,30263.74,37418.01,1.57,-0.02,4.59,3.25,20160303.0,48664.65,2.04,-7.32,-112.17,14.96,-2.05,19877.0
爱建集团,5.16,7.45,9.72,1.97,5.32,8.53,11.74,1.98,多元金融,上海,21.18,14.34,16.22,1801626.38,514728.09,46914.03,405109.97,2.5,0.109,5.51,1.68,19930426.0,269764.47,1.66,34.53,38.13,34.16,135.52,73292.0
泰格医药,5.16,6.5,8.64,2.59,5.08,8.42,12.02,3.63,医疗保健,浙江,78.75,3.33,5.0,393426.38,156827.06,20763.81,130525.17,2.61,0.192,5.28,11.45,20120817.0,76487.78,1.53,33.16,121.07,44.93,20.27,14069.0
天域生态,5.16,,18.3,1.95,3.34,4.06,9.38,-0.35,环境保护,重庆,0.0,1.22,2.42,246001.75,196795.05,20293.45,65438.71,2.71,-0.019,5.39,1.99,20170327.0,42215.46,1.75,-21.95,-119.66,28.37,-2.87,20053.0
国投资本,5.15,7.82,9.3,2.14,4.67,6.89,7.13,1.36,证券,上海,19.88,36.94,42.27,16279722.0,13697350.0,27884.69,2069310.75,4.9,0.11900000000000001,8.69,1.09,19970519.0,893764.81,2.11,28.94,-11.61,3.07,178.58,46288.0
苏州高新,5.14,5.62,5.76,1.87,4.5,4.35,8.18,1.73,园区开发,江苏,13.22,11.94,11.94,3282124.75,2595130.25,169408.31,177177.5,1.48,0.1,5.15,1.2,19960815.0,254401.63,2.13,18.49,34.04,32.19,15.3,65082.0
