序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1128,00719,山东新华制药股份,5.14,0.0,0.0,0.29,57.00万,7.34,5.14,5.05,5.16,4.96,0,282百万人民币,147百万人民币,92.07百万人民币,90.59百万人民币
1129,03389,亨得利,0.35,0.0,0.0,0.12,579.20万,--,0.35,0.35,0.355,0.35,0,36.07百万人民币,475百万人民币,553百万人民币,1033百万人民币
1130,00529,SISInt'l,4.28,0.0,0.0,0.0,--,3.23,4.28,0.0,0.0,0.0,0,448百万港币,278百万港币,282百万港币,186百万港币
1131,00246,瑞金矿业,8.81,0.0,0.0,0.0,--,140.55,8.81,0.0,0.0,0.0,0,0,0,17.99百万人民币,-602百万人民币
1132,00247,TSTProperties,25.5,0.0,0.0,0.0,--,4.13,25.5,0.0,0.0,0.0,0,10627百万港币,7756百万港币,10613百万港币,10320百万港币
1133,00531,顺诚,0.72,0.0,0.0,0.02,51.10万,3.12,0.72,0.72,0.72,0.7,0,106百万美元,11.33百万美元,7.06百万美元,22.21百万美元
1134,00712,卡姆丹克太阳能,0.09,0.0,0.0,0.01,31.00万,--,0.092,0.09,0.092,0.09,0,-131百万人民币,-1008百万人民币,-435百万人民币,-90.32百万人民币
1135,06828,北京燃气蓝天,0.5,0.0,0.0,0.12,1520.80万,--,0.5,0.5,0.51,0.5,0,-59.84百万港币,99.5百万港币,1.9百万港币,-70.48百万港币
1136,00715,中泛控股,0.4,0.0,0.0,0.0,49.40万,90.91,0.4,0.395,0.4,0.395,0,86.56百万港币,257百万港币,153百万港币,120百万港币
1137,00723,永保林业,0.02,0.0,0.0,0.0,5000,8.80,0.022000000000000002,0.0,0.0,0.0,21.68百万港币,-32百万港币,-38.25百万港币,-55.38百万港币,0
1138,06188,迪信通,2.38,0.0,0.0,0.0,--,4.14,2.38,0.0,0.0,0.0,0,401百万人民币,442百万人民币,430百万人民币,430百万人民币
1139,00743,亚洲水泥(中国),5.2,0.0,0.0,0.08,126.55万,5.31,5.2,5.21,5.21,5.12,0,985百万人民币,330百万人民币,-247百万人民币,1091百万人民币
1140,00745,中国国家文化产业,0.02,0.0,0.0,0.13,1305.40万,--,0.021,0.021,0.022000000000000002,0.021,-407百万港币,-279百万港币,197百万港币,-140百万港币,0
1141,00747,沈阳公用发展股份,0.3,0.0,0.0,0.03,20.80万,--,0.3,0.295,0.3,0.285,0,-27.71百万人民币,12.03百万人民币,3.72百万人民币,45.22百万人民币
1142,00750,兴业太阳能,2.4,0.0,0.0,0.12,102.60万,11.64,2.4,2.4,2.4,2.35,0,270百万人民币,627百万人民币,447百万人民币,699百万人民币
1143,00737,合和公路基建,4.78,0.0,0.0,0.0,--,17.13,4.78,0.0,0.0,0.0,0,763百万港币,664百万港币,717百万港币,769百万港币
1144,00736,中国置业投资,0.03,0.0,0.0,0.13,625.50万,--,0.028999999999999998,0.027999999999999997,0.028999999999999998,0.027000000000000003,-564百万港币,-27.96百万港币,-95.79百万人民币,-7.26百万人民币,0
1145,06183,中国绿宝,1.19,0.0,0.0,0.27,303.20万,5.77,1.19,1.19,1.19,1.14,0,188百万人民币,226百万人民币,221百万人民币,0
1146,00730,ShougangGrand,0.17,0.0,0.0,0.01,20.00万,--,0.17300000000000001,0.17300000000000001,0.17300000000000001,0.17300000000000001,0,9.79百万港币,-84.23百万港币,-78.1百万港币,12.26百万港币
1147,00240,利基控股,0.57,0.0,0.0,0.08,103.00万,3.85,0.57,0.57,0.57,0.56,0,257百万港币,178百万港币,97.07百万港币,54.52百万港币
1148,00533,金利来集团,3.2,0.0,0.0,0.01,12.90万,9.75,3.2,3.2,3.23,3.2,0,388百万港币,452百万港币,457百万港币,501百万港币
1149,06880,腾邦控股,1.64,0.0,0.0,0.0,--,23.43,1.64,0.0,0.0,0.0,0,41.32百万港币,-15.01百万港币,16百万港币,0
1150,00684,亚伦国际,2.05,0.0,0.0,0.0,--,14.75,2.05,0.0,0.0,0.0,55.45百万港币,84.23百万港币,143百万港币,85.93百万港币,0
1151,00686,熊猫绿能,0.53,0.0,0.0,0.04,328.40万,23.14,0.53,0.53,0.53,0.51,0,174百万人民币,383百万人民币,373百万人民币,479百万港币
1152,00254,国家联合资源,0.14,0.0,0.0,0.0,--,--,0.142,0.0,0.0,0.0,0,0,0,-36.84百万港币,-56.84百万港币
1153,00691,山水水泥,6.29,0.0,0.0,0.0,--,22.81,6.29,0.0,0.0,0.0,0,0,238百万人民币,-4869百万人民币,1813百万人民币
1154,00258,汤臣集团,2.81,0.0,0.0,0.0,6.60万,4.05,2.81,2.8,2.82,2.8,0,2401百万港币,1760百万港币,1207百万港币,221百万港币
1155,00679,亚洲联网科技,1.4,0.0,0.0,0.0,--,2.86,1.4,0.0,0.0,0.0,0,281百万港币,1050百万港币,34.21百万港币,14.32百万港币
1156,00674,中国唐商,0.22,0.0,0.0,0.0,3.60万,--,0.22,0.201,0.201,0.201,-4.78百万港币,-88.35百万港币,-133百万港币,-472百万港币,0
1157,00675,坚宝国际,1.0,0.0,0.0,0.01,3.00万,32.15,1.0,1.0,1.0,1.0,0,9.15百万港币,-8.3百万港币,204936百万港币,11.55百万港币
1158,00676,创信国际,0.98,0.0,0.0,0.0,--,156.77,0.98,0.0,0.0,0.0,0,773000百万美元,579000百万美元,1.33百万美元,1.57百万美元
1159,00677,金源米业,0.47,0.0,0.0,0.0,--,11.92,0.465,0.0,0.0,0.0,53.18百万港币,70.93百万港币,-35.25百万港币,124百万港币,0
1160,00692,中国家居,0.51,0.0,0.0,0.0,--,--,0.51,0.0,0.0,0.0,0,0,-300百万港币,-1037百万港币,-708百万港币
1161,00695,东吴水泥,1.34,0.0,0.0,0.0,1.00万,23.78,1.34,1.34,1.34,1.34,0,50.49百万人民币,8.63百万人民币,-13.02百万人民币,11.49百万人民币
1162,00704,和嘉资源,0.29,0.0,0.0,0.44,1138.00万,6.50,0.295,0.29,0.295,0.29,0,127百万港币,68.93百万港币,-139百万港币,-1096百万港币
