序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
249,03623,中国金融发展,1.01,2.02,0.02,0.16,82.40万,28.08,0.99,0.97,1.02,0.95,0,32.34百万,32.02百万,35.22百万,32.59百万
250,01170,信星集团,2.04,2.0,0.04,0.06,40.00万,5.54,2.0,2.0,2.06,2.0,228百万,163百万,132百万,102百万,0
251,02268,优源控股,3.06,2.0,0.06,0.42,523.90万,3.19,3.0,3.01,3.07,2.97,0,1081百万,387百万,286百万,322百万
252,02005,石四药集团,8.21,1.99,0.16,0.18,548.40万,35.13,8.05,7.88,8.26,7.88,0,851百万,641百万,542百万,696百万
253,02699,新明中国,1.03,1.98,0.02,0.05,86.60万,6.61,1.01,1.0,1.05,0.99,0,544百万,206百万,767百万,0
254,02139,甘肃银行,2.59,1.97,0.05,0.0,10.60万,4.84,2.54,2.54,2.79,2.47,0,8053百万,0,0,0
255,00245,中国民生金融,0.26,1.96,0.01,0.11,3222.20万,39.39,0.255,0.255,0.28,0.255,0,259百万,51.43百万,-44.53百万,-43.3百万
256,01129,中国水业集团,1.57,1.95,0.03,0.16,256.20万,--,1.54,1.5,1.58,1.49,0,45.11百万,125百万,-50.66百万,291百万
257,01451,万成集团股份,1.05,1.94,0.02,0.55,110.40万,12.00,1.03,1.02,1.07,0.99,0,0,0,0,0
258,03689,康华医疗,9.47,1.94,0.18,0.01,4600,16.88,9.29,9.27,9.48,9.27,0,218百万,198百万,0,0
259,00893,中国铁钛,0.16,1.94,0.0,0.08,165.70万,--,0.155,0.154,0.158,0.152,0,-415百万,-802百万,-1010百万,-501百万
260,00731,森信纸业集团,0.53,1.92,0.01,0.02,22.40万,3.12,0.52,0.52,0.53,0.52,320百万,202百万,151百万,245百万,0
261,00265,东胜旅游,0.27,1.92,0.01,0.03,357.00万,--,0.26,0.26,0.275,0.25,0,-57.92百万,-179百万,-104000百万,3.33百万
262,01733,易大宗,0.53,1.92,0.01,0.05,144.33万,1.81,0.52,0.52,0.53,0.51,0,1162百万,1166百万,-1751百万,-1164百万
263,00681,中民控股,0.11,1.92,0.0,0.01,131.40万,3.76,0.10400000000000001,0.102,0.106,0.10099999999999999,257百万,207百万,-97.72百万,251百万,0
264,06080,荣智控股,0.53,1.92,0.01,0.17,161.40万,35.33,0.52,0.5,0.54,0.5,17.15百万,0,0,0,0
265,00242,信德集团,3.19,1.92,0.06,0.12,377.60万,6.69,3.13,3.11,3.2,3.06,0,1918百万,529百万,1403百万,4172百万
266,00585,意马国际,1.6,1.91,0.03,0.49,335.43万,--,1.57,1.55,1.63,1.5,0,-449百万,-408百万,-81.24百万,3.46百万
267,01513,丽珠医药,40.15,1.9,0.75,0.32,78.08万,12.75,39.4,39.4,40.5,39.2,0,5658百万,876百万,693百万,585百万
268,06885,金马能源,4.85,1.89,0.09,0.5,67.30万,3.26,4.76,5.0,5.0,4.7,0,739百万,0,0,0
269,02100,百奥家庭互动,0.54,1.89,0.01,0.02,49.20万,--,0.53,0.53,0.54,0.52,0,-51.73百万,1.94百万,56.3百万,200百万
