,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
202,000630,铜陵有色,0.85,1.39,2.31,,铜,安徽,51.73,95.6,105.27,4750635.5,2487264.25,1522326.13,241147.45,0.23,0.038,1.62,1.6,19961120,310098.25,0.29,-6.61,315.39,4.41,0.65,451407.0
203,000630,铜陵有色,0.85,1.39,2.31,,铜,安徽,51.73,95.6,105.27,4750635.5,2487264.25,1522326.13,241147.45,0.23,0.038,1.62,1.6,19961120,310098.25,0.29,-6.61,315.39,4.41,0.65,451407.0
204,000651,格力电器,6.93,18.01,26.37,,家用电器,广东,13.34,59.7,60.16,22072378.0,17467548.0,1727772.0,18340.06,0.03,2.57,9.75,4.69,19961118,4870734.5,8.1,34.51,37.68,31.37,13.94,363550.0
205,000686,东北证券,1.22,,4.05,4.25,证券,吉林,27.55,23.4,23.4,5993884.5,0.0,70768.06,574978.75,2.46,0.285,6.7,1.17,19970227,505725.31,2.16,9.92,-49.28,0.0,13.54,118400.0
206,000709,河钢股份,1.42,2.76,4.74,,普钢,河北,12.12,106.17,106.19,18778436.0,5477618.5,10127093.0,2320581.5,2.19,0.207,4.32,0.77,19970416,1014572.81,0.96,47.02,135.18,11.84,2.53,433034.0
207,000723,美锦能源,4.28,6.98,11.35,13.78,焦炭加工,山西,20.94,10.81,41.06,1381764.63,503530.84,641500.38,176094.59,0.43,0.259,1.88,2.89,19970515,174019.25,0.42,72.12,56.69,25.11,8.7,40600.0
208,000728,国元证券,1.15,2.49,4.26,4.74,证券,安徽,25.41,29.46,33.65,7967884.0,0.0,140323.52,1261040.25,3.75,0.4,7.54,1.21,19970616,499523.06,1.48,4.0,-14.35,0.0,34.29,117021.0
209,000738,航发控制,0.73,2.83,3.59,4.24,航空,江苏,90.01,11.46,11.46,717618.25,431146.09,187273.56,266719.88,2.33,0.19,4.48,3.82,19970626,123794.97,1.08,1.98,4.21,27.73,8.52,98612.0
210,000750,国海证券,1.56,2.61,4.02,,证券,广西,24.22,42.16,42.16,6862083.0,0.0,16227.98,627598.13,1.49,0.133,3.26,1.32,19970709,169659.95,0.4,-22.56,-42.66,0.0,25.3,159701.0
211,000768,中航飞机,-0.57,0.59,0.82,2.99,航空,陕西,110.77,27.69,27.69,4073876.5,3280496.0,477653.09,1013714.63,3.66,0.17,5.68,3.32,19970626,157563.81,0.57,18.98,14.1,7.26,1.52,168671.0
212,000776,广发证券,2.62,5.32,7.61,10.12,证券,广东,14.43,59.19,76.21,35690464.0,0.0,94062.46,3186481.75,4.18,1.128,11.13,1.46,19970611,2576785.5,3.38,4.17,7.04,0.0,39.84,150100.0
213,000783,长江证券,1.65,3.83,5.6,,证券,湖北,20.01,55.29,55.29,11124832.0,0.0,31091.27,1046489.0,1.89,0.26899999999999996,4.8,1.49,19970731,546828.81,0.99,5.04,-14.8,0.0,34.02,210216.0
214,000792,盐湖股份,-1.09,-2.18,-3.65,-20.55,化工原料,青海,0.0,27.5,27.86,8241853.0,1641249.63,5264180.5,947820.81,3.4,-1.493,6.73,2.03,19970904,436744.66,1.57,12.88,-1318.77,33.52,-35.55,104550.0
215,000826,启迪桑德,2.23,5.17,5.76,,环境保护,湖北,26.86,8.47,10.22,3204177.25,1233058.38,195923.19,659202.88,6.45,0.87,12.16,2.39,19980225,440071.09,4.31,21.91,16.02,29.73,12.73,43908.0
216,000839,中信国安,0.82,3.43,3.63,,综合类,北京,82.2,39.19,39.2,1639215.38,537699.63,27358.1,101416.63,0.26,0.063,1.74,3.99,19971031,136113.06,0.35,22.89,13.2,20.49,7.73,252153.0
217,000895,双汇发展,5.82,15.62,23.45,29.54,食品,河南,19.39,32.99,33.0,2308906.5,1001653.5,1149980.75,188505.34,0.57,1.3090000000000002,4.43,5.73,19981210,760197.06,2.3,-2.65,-1.95,18.91,8.56,56183.0
218,000898,鞍钢股份,2.32,3.94,6.88,11.21,普钢,辽宁,7.76,61.49,72.35,8920400.0,2857600.0,4800600.0,3151900.0,4.36,0.775,6.91,0.87,19971225,760400.0,1.05,45.66,246.84,13.72,6.65,100964.0
219,000938,紫光股份,1.31,3.31,4.56,,软件服务,北京,52.36,2.06,10.42,4089620.75,1923148.63,38908.73,2106400.25,20.21,1.08,23.68,3.19,19991104,225695.67,2.17,52.1,116.67,22.96,4.17,38590.0
220,000959,首钢股份,1.86,3.62,6.89,8.36,普钢,北京,11.17,29.67,52.89,13415852.0,2059292.75,8621840.0,2009251.38,3.8,0.418,4.99,0.93,19991216,-552427.75,-1.04,43.97,451.33,13.17,3.67,107500.0
221,000961,中南建设,1.09,2.56,2.91,,建筑施工,江苏,49.88,37.0,37.1,15074722.0,14343288.0,227739.95,259748.5,0.7,0.109,3.73,1.94,20000301,725642.31,1.96,-0.97,-17.27,17.87,2.12,58300.0
222,000963,华东医药,6.95,13.58,18.35,21.2,化学制药,浙江,36.98,8.68,9.72,1598710.63,1279272.13,197713.59,294158.53,3.03,1.831,8.63,7.84,20000127,398731.34,4.1,9.66,23.01,26.12,6.39,20600.0
223,000983,西山煤电,2.72,,7.55,,煤炭开采,山西,13.16,31.51,31.51,5771195.0,1792082.25,2168136.75,93211.74,0.3,0.436,5.77,1.33,20000726,1115745.25,3.54,62.28,576.64,34.65,6.53,155130.0
224,001979,招商蛇口,3.62,6.2,6.64,17.87,全国地产,深圳,13.8,19.0,79.04,33262092.0,28658524.0,283885.88,1971441.25,2.49,1.546,8.65,2.47,20151230,3322457.25,4.2,18.69,27.54,37.66,16.2,85000.0
225,002007,华兰生物,5.7,10.07,13.86,17.58,生物制药,河南,34.79,8.03,9.3,521931.25,366923.69,95981.71,39452.31,0.42,0.883,5.02,6.12,20040625,288730.03,3.1,22.41,5.19,62.42,34.66,61000.0
226,002008,大族激光,2.72,14.98,21.78,,电器仪表,深圳,28.24,9.92,10.67,1561020.13,1047977.13,133630.38,79206.18,0.74,1.4080000000000001,6.55,8.09,20040625,421052.91,3.95,78.69,137.31,43.0,16.85,70399.0
227,002008,大族激光,2.72,14.98,21.78,,电器仪表,深圳,28.24,9.92,10.67,1561020.13,1047977.13,133630.38,79206.18,0.74,1.4080000000000001,6.55,8.09,20040625,421052.91,3.95,78.69,137.31,43.0,16.85,70399.0
228,002024,苏宁易购,0.11,0.38,0.83,5.33,电器连锁,江苏,30.04,50.49,93.1,15727669.0,8038279.0,1437307.38,3598048.75,3.86,0.452,8.48,1.6,20040721,2003398.75,2.15,26.48,498.02,14.1,2.24,344400.0
229,002027,分众传媒,12.2,36.61,47.2,,影视音像,广东,27.17,58.04,122.32,1261868.5,996725.0,31904.36,18293.81,0.01,0.32,0.85,13.65,20040804,763757.19,0.62,15.74,24.45,72.28,44.87,55515.0
230,002044,美年健康,-3.29,0.86,6.22,,医疗保健,江苏,241.55,10.62,26.01,808202.69,312355.03,132129.81,265.76,0.0,0.09,2.5,10.7,20050518,104771.8,0.4,58.78,126.54,46.22,7.23,26000.0
231,002065,东华软件,5.22,6.74,9.86,,软件服务,北京,21.0,27.95,31.4,1439059.13,1172929.13,31982.93,234153.05,0.75,0.287,2.84,2.83,20060823,317053.63,1.01,17.71,42.5,33.4,21.3,119266.0
232,002074,国轩高科,4.87,10.36,14.24,,电气设备,江苏,27.65,6.31,11.37,1280474.38,728787.69,273518.66,131342.77,1.16,0.73,7.31,2.84,20061018,242827.25,2.14,9.7,-13.27,37.24,17.04,69218.0
