,code,name,roe_2017_1,roe_2017_2,roe_2017_3,roe_2017_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3409,002916,深南电路,,13.76,18.91,14.14,元器件,深圳,51.38,0.7,2.8,744339.0,388232.59,285408.22,212300.27,7.58,2.13,11.31,7.27,20171213.0,66813.99,2.39,23.67,63.44,22.4,7.88,57100.0
3410,603605,珀莱雅,,13.7,18.32,,日用化工,浙江,37.22,0.5,2.0,176726.31,92891.28,26144.46,13368.42,0.67,0.629,4.57,6.82,20171115.0,37375.73,1.87,0.0,0.0,62.7,10.36,48130.0
3411,603466,风语筑,,13.68,20.47,,文教休闲,上海,43.5,0.36,1.46,193517.22,163840.27,21432.76,34495.55,2.36,1.37,6.68,8.78,20171020.0,25636.81,1.76,0.0,0.0,29.47,12.19,37538.0
3412,300738,奥飞数据,,13.62,,,电信运营,广东,74.06,0.16,0.65,33440.9,0.0,0.0,0.0,0.0,0.76,5.24,14.31,20180119.0,0.0,0.0,0.0,0.0,0.0,17.33,32672.0
3413,300700,岱勒新材,,13.56,13.95,20.87,矿物制品,湖南,51.16,0.21,0.82,99341.38,68426.93,21757.22,23927.61,2.9,1.66,6.47,10.68,20170912.0,19021.22,2.31,134.82,183.33,48.56,25.57,12100.0
3414,603612,索通发展,,13.56,16.09,23.1,矿物制品,山东,18.77,0.6,2.43,442961.91,211930.97,142450.38,109865.05,4.52,2.66,9.75,4.34,20170718.0,104452.3,4.3,66.94,516.06,29.31,16.69,28154.0
3415,300713,英可瑞,,13.46,22.69,,电气设备,深圳,45.58,0.11,0.53,48435.67,46137.4,562.05,7440.43,1.4,1.214,16.05,4.6,20171101.0,17653.26,3.32,0.0,0.0,43.32,24.04,11077.0
3416,002892,科力尔,,13.44,9.61,,电气设备,湖南,40.01,0.18,0.84,67042.0,49512.68,15872.62,35643.1,4.26,0.638,6.64,5.13,20170817.0,10611.71,1.27,0.0,0.0,27.11,12.35,17150.0
3417,002918,蒙娜丽莎,,13.33,22.95,,其他建材,广东,22.39,0.39,1.58,251588.5,194264.8,36481.32,33384.01,2.12,1.496,14.06,3.18,20171219.0,54358.8,3.45,0.0,0.0,35.89,11.44,29374.0
3418,300703,创源文化,,13.21,7.02,,文教休闲,浙江,45.82,0.2,0.8,80598.07,61087.23,16334.4,37724.14,4.72,0.66,7.29,4.14,20170919.0,8681.78,1.09,0.0,0.0,31.98,7.81,14077.0
3419,300690,双一科技,,13.16,10.09,11.85,电气设备,山东,32.3,0.17,0.69,105761.3,85889.3,15717.12,60049.26,8.66,1.91,13.45,3.83,20170808.0,22396.92,3.23,24.0,2.64,43.72,18.59,12016.0
3420,002884,凌霄泵业,,13.04,11.41,,专用机械,广东,23.41,0.19,0.77,125095.22,113225.95,9585.25,54444.19,7.03,2.1,14.82,3.56,20170711.0,42108.85,5.44,0.0,0.0,29.33,18.55,14337.0
3421,002884,凌霄泵业,,13.04,11.41,,专用机械,广东,23.41,0.19,0.77,125095.22,113225.95,9585.25,54444.19,7.03,2.1,14.82,3.56,20170711.0,42108.85,5.44,0.0,0.0,29.33,18.55,14337.0
3422,603055,台华新材,,12.84,12.4,,纺织,浙江,21.9,0.68,5.48,350262.25,201474.06,118167.81,72129.5,1.32,0.57,4.0,3.62,20170921.0,91141.0,1.66,0.0,0.0,28.34,13.47,65463.0
3423,002911,佛燃股份,,12.78,17.24,14.52,供气供热,广东,41.79,0.56,5.56,520045.91,160967.56,266746.31,65888.21,1.19,0.69,4.3,6.07,20171122.0,100769.68,1.81,13.89,3.04,20.2,8.09,38472.0
3424,603607,京华激光,,12.73,17.93,11.68,造纸,浙江,40.61,0.23,0.91,85027.31,66271.11,9075.6,46047.09,5.06,1.15,7.76,4.75,20171025.0,14627.05,1.61,21.7,23.14,30.81,15.41,15361.0
3425,300740,御家汇,,12.65,,29.35,日用化工,湖南,56.41,0.4,1.6,85748.68,71829.68,10485.24,11904.9,0.74,0.991,4.5,12.42,20180208.0,29267.01,1.83,40.61,114.85,52.63,9.63,26000.0
3426,601019,山东出版,,12.57,16.97,,出版业,山东,16.15,2.67,20.87,1068312.38,725092.69,163901.67,-16731.32,-0.08,0.462,3.12,3.19,20171122.0,384289.41,1.84,0.0,0.0,35.41,15.33,245615.0
3427,300739,明阳电路,,12.53,18.49,,元器件,深圳,41.07,0.31,1.23,96984.0,54019.57,36262.06,26068.9,2.12,0.7559999999999999,5.45,7.6,20180201.0,14147.72,1.15,0.0,0.0,32.15,11.74,61548.0
3428,300685,艾德生物,,12.52,10.88,14.48,生物制药,福建,99.26,0.2,0.8,69484.81,50936.4,12986.8,39687.85,4.96,1.38,8.12,14.38,20170802.0,15549.07,1.94,30.59,40.33,92.36,28.47,12324.0
3429,002891,中宠股份,,12.45,8.73,10.62,饲料,山东,47.62,0.25,1.0,100509.2,57850.36,17169.53,40538.34,4.05,0.88,6.93,5.06,20170821.0,17034.73,1.7,28.37,9.51,24.81,7.26,13387.0
3430,603136,天目湖,,12.37,10.41,,旅游景点,江苏,29.59,0.2,0.8,131533.55,42980.46,75561.21,35576.37,4.45,1.3,9.39,4.11,20170927.0,28497.36,3.56,0.0,0.0,68.22,22.31,19990.0
3431,603676,卫信康,,12.35,9.25,,化学制药,西藏,75.49,0.63,4.23,93081.96,63901.9,15571.84,25683.25,0.61,0.21,1.97,9.32,20170721.0,12497.96,0.3,0.0,0.0,59.47,27.47,29886.0
3432,300698,万马科技,,12.16,7.88,,通信设备,浙江,98.11,0.34,1.34,58830.53,48003.17,5912.91,15938.4,1.19,0.29,2.85,10.31,20170831.0,8173.81,0.61,0.0,0.0,42.04,10.61,32250.0
3433,603363,傲农生物,,11.98,11.42,13.37,饲料,福建,84.89,0.6,4.26,253808.34,117686.9,71882.36,19540.35,0.46,0.29,1.92,11.19,20170926.0,17489.06,0.41,-1.52,18.32,18.86,2.21,31735.0
3434,002931,锋龙股份,,11.88,,21.57,汽车配件,浙江,36.4,0.22,0.89,33967.37,20617.76,10713.78,5462.35,0.61,0.5379999999999999,3.32,5.89,20180403.0,9271.44,1.04,24.62,12.35,35.62,15.26,46005.0
3435,600933,爱柯迪,,11.87,17.35,,汽车配件,浙江,23.62,1.38,8.45,287977.84,135828.06,89258.43,49523.55,0.59,0.415,2.86,4.57,20171117.0,72349.85,0.86,0.0,0.0,39.89,22.38,119368.0
3436,300735,光弘科技,,11.85,18.78,,通信设备,广东,45.1,0.89,3.55,106216.22,48046.23,48601.87,23199.53,0.65,0.397,4.53,5.27,20171229.0,22749.5,0.64,0.0,0.0,27.77,14.27,58700.0
3437,603912,佳力图,,11.79,16.9,13.2,专用机械,江苏,51.96,0.37,1.5,89864.7,76654.46,8219.07,33454.15,2.23,0.7,4.21,6.76,20171101.0,12371.3,0.82,9.51,40.75,42.82,17.88,23945.0
3438,300718,长盛轴承,,11.71,16.43,,机械基件,浙江,34.24,0.25,1.0,65926.93,35170.96,21691.15,11251.0,1.13,0.93,10.16,4.18,20171106.0,33853.01,3.39,0.0,0.0,38.29,22.22,14803.0
3439,603721,中广天择,,11.71,10.64,11.8,影视音像,湖南,41.62,0.25,1.0,65284.66,51176.95,1858.75,25594.15,2.56,0.76,5.4,4.91,20170811.0,16278.4,1.63,-13.31,59.16,29.96,16.24,11171.0
3440,603507,振江股份,,11.66,16.75,,钢加工,江苏,27.95,0.31,1.26,119813.13,76824.28,32788.73,23208.65,1.85,0.8390000000000001,6.67,4.68,20171106.0,28129.02,2.24,0.0,0.0,30.01,13.73,32576.0
3441,300702,天宇股份,,11.54,8.2,,化学制药,浙江,36.57,0.3,1.2,227654.02,142482.38,60854.73,69462.38,5.79,1.18,10.76,4.01,20170919.0,43640.03,3.64,0.0,0.0,39.88,12.02,23079.0
3442,300715,凯伦股份,,11.44,16.45,11.67,其他建材,江苏,72.19,0.18,0.72,66563.77,49361.43,14090.9,19453.36,2.7,0.78,5.3,8.43,20171026.0,10222.87,1.42,46.57,10.77,37.59,11.31,11200.0
3443,300725,药石科技,,11.44,17.64,,化工原料,江苏,116.9,0.18,0.73,36124.62,22444.4,8258.13,17407.75,2.37,0.718,6.75,16.57,20171110.0,6652.74,0.91,0.0,0.0,64.88,26.89,13415.0
3444,300736,百华悦邦,,11.38,16.7,,通信设备,北京,57.83,0.14,0.54,26685.9,18568.92,680.9,3810.1,0.7,0.603,5.0,9.29,20180109.0,10620.51,1.96,0.0,0.0,33.02,6.24,12000.0
3445,002898,赛隆药业,,11.33,7.8,,化学制药,广东,68.11,0.4,1.6,68440.71,49048.96,6112.75,30446.93,1.9,0.293,3.87,6.88,20170912.0,13025.37,0.81,0.0,0.0,69.99,18.81,29859.0
3446,300711,广哈通信,,11.26,13.17,,通信设备,广东,87.08,0.36,1.44,34718.62,30575.38,1612.71,2483.85,0.17,0.245,2.48,11.48,20171101.0,11660.6,0.81,0.0,0.0,53.03,20.22,71217.0
3447,300726,宏达电子,,11.09,16.06,,元器件,湖南,80.17,0.4,4.0,100780.3,80427.53,8466.57,30503.05,0.76,0.366,2.53,15.47,20171121.0,23141.2,0.58,0.0,0.0,70.73,39.73,79196.0
3448,603278,大业股份,,10.91,16.09,9.64,钢加工,山东,29.36,0.52,2.08,281651.06,205828.97,63409.53,68248.06,3.28,0.82,6.55,2.83,20171113.0,42338.26,2.04,34.52,-8.11,17.0,6.97,30557.0
3449,603106,恒银金融,,10.87,7.92,,电脑设备,天津,39.49,0.7,2.8,212309.42,190471.27,16428.07,98290.57,3.51,0.59,5.56,4.17,20170920.0,27721.1,0.99,0.0,0.0,33.95,11.23,36000.0
